calc_time,funding_interval_hours,last_funding_rate
1685577600008,8,0.00009984
1685606400012,8,0.00010000
1685635200000,8,0.00010000
1685664000000,8,0.00010000
1685692800006,8,0.00010000
1685721600012,8,0.00010000
1685750400000,8,0.00010000
1685779200011,8,0.00010000
1685808000003,8,0.00010000
1685836800000,8,0.00010000
1685865600000,8,0.00010000
1685894400000,8,0.00010000
1685923200005,8,0.00010000
1685952000000,8,0.00010000
1685980800000,8,0.00010000
1686009600000,8,-0.00007427
1686038400009,8,-0.00014210
1686067200013,8,0.00010000
1686096000000,8,0.00007253
1686124800016,8,-0.00003288
1686153600000,8,0.00008505
1686182400006,8,0.00010000
1686211200000,8,0.00010000
1686240000000,8,0.00006684
1686268800000,8,0.00010000
1686297600000,8,0.00010000
1686326400000,8,0.00010000
1686355200000,8,0.00010000
1686384000000,8,-0.00003699
1686412800000,8,-0.00013816
1686441600001,8,-0.00020600
1686470400000,8,-0.00000749
1686499200000,8,-0.00039207
1686528000000,8,0.00004136
1686556800000,8,-0.00005643
1686585600001,8,-0.00000139
1686614400000,8,0.00001724
1686643200000,8,0.00000812
1686672000000,8,0.00010000
1686700800000,8,0.00010000
1686729600000,8,-0.00002153
1686758400000,8,0.00006403
1686787200000,8,-0.00002484
1686816000000,8,-0.00000504
1686844800000,8,0.00008807
1686873600000,8,0.00010000
1686902400000,8,0.00010000
1686931200000,8,0.00001029
1686960000000,8,-0.00000896
1686988800000,8,0.00007003
1687017600000,8,0.00010000
1687046400000,8,0.00010000
1687075200000,8,0.00010000
1687104000000,8,0.00010000
1687132800000,8,0.00008635
1687161600000,8,0.00002494
1687190400000,8,0.00010000
1687219200001,8,0.00003542
1687248000000,8,0.00001779
1687276800000,8,-0.00009567
1687305600000,8,0.00010000
1687334400000,8,0.00010000
1687363200000,8,0.00010000
1687392000000,8,0.00006528
1687420800001,8,0.00004221
1687449600000,8,0.00010000
1687478400000,8,0.00001441
1687507200000,8,0.00010000
1687536000000,8,-0.00000278
1687564800000,8,0.00010000
1687593600000,8,0.00009794
1687622400000,8,0.00005975
1687651200000,8,0.00003542
1687680000000,8,0.00010000
1687708800000,8,0.00004027
1687737600000,8,0.00007695
1687766400000,8,-0.00001806
1687795200000,8,-0.00021344
1687824000000,8,-0.00026338
1687852800000,8,-0.00032035
1687881600000,8,-0.00027911
1687910400000,8,-0.00028447
1687939200000,8,-0.00037346
1687968000000,8,-0.00048781
1687996800000,8,-0.00046345
1688025600000,8,-0.00018533
1688054400000,8,-0.00000138
1688083200000,8,-0.00028058
1688112000000,8,-0.00008471
1688140800001,8,-0.00032269
