calc_time,funding_interval_hours,last_funding_rate
1759276800000,8,-0.00066442
1759305600000,8,-0.00013020
1759334400000,8,-0.00001966
1759363200000,8,0.00010000
1759392000013,8,0.00007923
1759420800000,8,0.00010000
1759449600006,8,0.00009164
1759478400006,8,0.00007193
1759507200000,8,-0.00012513
1759536000001,8,0.00001223
1759564800000,8,-0.00040554
1759593600000,8,-0.00049583
1759622400000,8,-0.00052899
1759651200003,8,-0.00052131
1759680000009,8,-0.00059475
1759708800004,8,-0.00089188
1759737600002,8,-0.00096986
1759766400004,8,-0.00037878
1759795200000,8,-0.00066557
1759824000003,8,-0.00047055
1759852800000,8,-0.00037081
1759881600000,8,-0.00044693
1759910400006,8,-0.00046235
1759939200002,8,-0.00035081
1759968000001,8,-0.00038980
1759996800000,8,-0.00075497
1760025600000,8,-0.00042598
1760054400005,8,-0.00030138
1760083200002,8,-0.00020897
1760112000014,8,-0.00027705
1760140800000,8,-0.00190479
1760169600003,8,-0.00271902
1760198400000,8,-0.00255818
1760227200004,8,-0.00185361
1760256000002,8,-0.00116881
1760284800000,8,-0.00222975
1760313600003,8,-0.00287209
1760342400002,8,-0.00217715
1760371200003,8,-0.00110079
1760400000000,8,-0.00091822
1760428800000,8,-0.00116849
1760457600000,8,-0.00101886
1760486400006,8,-0.00121631
1760515200002,8,-0.00093116
1760544000000,8,-0.00104924
1760572800000,8,-0.00068256
1760601600003,8,-0.00062634
1760630400002,8,-0.00068215
1760659200001,8,-0.00052727
1760688000005,8,-0.00051083
1760716800003,8,-0.00121061
1760745600000,8,-0.00131797
1760774400002,8,-0.00112164
1760803200001,8,-0.00113726
1760832000001,8,-0.00125184
1760860800001,8,-0.00095327
1760889600001,8,-0.00043731
1760918400004,8,-0.00102988
1760947200001,8,-0.00076691
1760976000000,8,-0.00102097
1761004800009,8,-0.00080909
1761033600000,8,-0.00081690
1761062400000,8,-0.00044147
1761091200004,8,-0.00087086
1761120000000,8,-0.00139382
1761148800000,8,-0.00184290
1761177600000,8,-0.00178457
1761206400001,8,-0.00038373
1761235200004,8,-0.00081369
1761264000000,8,-0.00085336
1761292800000,8,-0.00071730
1761321600009,8,-0.00079337
1761350400000,8,-0.00066413
1761379200001,8,-0.00058406
1761408000001,8,-0.00054833
1761436800001,8,-0.00064503
1761465600001,8,-0.00047800
1761494400000,8,-0.00069602
1761523200000,8,-0.00043654
1761552000005,8,-0.00031126
1761580800000,8,-0.00048858
1761609600000,8,-0.00051106
1761638400000,8,-0.00068070
1761667200004,8,-0.00061330
1761696000004,8,-0.00048277
1761724800005,8,-0.00049789
1761753600000,8,-0.00024353
1761782400004,8,-0.00028053
1761811200008,8,-0.00026341
1761840000001,8,-0.00052340
1761868800000,8,-0.00082922
1761897600008,8,-0.00053514
1761926400007,8,-0.00027588
