calc_time,funding_interval_hours,last_funding_rate
1680307200000,8,0.00010000
1680336000000,8,0.00010000
1680364800018,8,0.00010000
1680393600013,8,0.00008529
1680422400014,8,0.00010000
1680451200001,8,0.00006834
1680480000000,8,0.00006380
1680508800013,8,2.3E-7
1680537600011,8,0.00010000
1680566400002,8,-0.00000333
1680595200017,8,0.00001005
1680624000008,8,-0.00009500
1680652800000,8,0.00010000
1680681600016,8,0.00010000
1680710400004,8,0.00001841
1680739200000,8,0.00010000
1680768000011,8,0.00010000
1680796800000,8,0.00010000
1680825600006,8,0.00010000
1680854400005,8,0.00010000
1680883200000,8,0.00007806
1680912000000,8,0.00009458
1680940800014,8,0.00008062
1680969600018,8,0.00010000
1680998400013,8,0.00010000
1681027200024,8,0.00010000
1681056000010,8,0.00010000
1681084800000,8,0.00009565
1681113600010,8,0.00010000
1681142400006,8,0.00010000
1681171200008,8,0.00010000
1681200000007,8,0.00010000
1681228800016,8,0.00010000
1681257600006,8,0.00010000
1681286400008,8,0.00010000
1681315200014,8,0.00010000
1681344000027,8,0.00010000
1681372800010,8,0.00010000
1681401600000,8,0.00010000
1681430400001,8,0.00010000
1681459200008,8,0.00055791
1681488000007,8,0.00020046
1681516800007,8,0.00013486
1681545600007,8,0.00044505
1681574400011,8,0.00038224
1681603200014,8,0.00055995
1681632000007,8,0.00020860
1681660800002,8,0.00034083
1681689600017,8,0.00010000
1681718400006,8,0.00045239
1681747200000,8,0.00036210
1681776000013,8,0.00023783
1681804800017,8,0.00033795
1681833600000,8,0.00023562
1681862400022,8,0.00010000
1681891200014,8,0.00018602
1681920000000,8,0.00010000
1681948800010,8,0.00010000
1681977600012,8,0.00010000
1682006400012,8,0.00010000
1682035200009,8,0.00010000
1682064000009,8,0.00010000
1682092800003,8,0.00008082
1682121600000,8,0.00010000
1682150400000,8,0.00010000
1682179200016,8,0.00003719
1682208000009,8,-0.00003924
1682236800020,8,0.00004092
1682265600007,8,0.00004308
1682294400000,8,-0.00004329
1682323200008,8,0.00001852
1682352000006,8,-0.00001437
1682380800014,8,0.00004275
1682409600009,8,0.00001176
1682438400015,8,0.00007804
1682467200015,8,0.00005298
1682496000013,8,0.00007555
1682524800001,8,0.00003906
1682553600014,8,-0.00006443
1682582400008,8,0.00007612
1682611200005,8,0.00001594
1682640000011,8,-0.00001619
1682668800007,8,0.00004218
1682697600006,8,0.00010000
1682726400004,8,0.00005242
1682755200016,8,0.00001848
1682784000001,8,0.00001185
1682812800008,8,-0.00001624
1682841600000,8,0.00004107
1682870400010,8,0.00004418
