calc_time,funding_interval_hours,last_funding_rate
1635724800009,8,0.00010000
1635753600014,8,0.00036706
1635782400001,8,0.00020709
1635811200000,8,0.00048617
1635840000007,8,0.00060322
1635868800010,8,0.00090417
1635897600019,8,0.00081697
1635926400000,8,0.00069858
1635955200005,8,0.00053884
1635984000006,8,0.00091223
1636012800004,8,0.00053835
1636041600004,8,0.00058105
1636070400000,8,0.00036948
1636099200013,8,0.00065098
1636128000016,8,0.00036879
1636156800010,8,0.00016320
1636185600000,8,0.00057122
1636214400007,8,0.00010000
1636243200013,8,0.00013489
1636272000005,8,0.00063099
1636300800004,8,0.00053190
1636329600001,8,0.00093810
1636358400000,8,0.00076569
1636387200000,8,0.00088261
1636416000000,8,0.00081117
1636444800014,8,0.00080107
1636473600001,8,0.00053982
1636502400000,8,0.00056573
1636531200003,8,0.00062773
1636560000001,8,0.00065102
1636588800008,8,0.00010000
1636617600012,8,0.00010000
1636646400007,8,0.00010000
1636675200000,8,0.00018406
1636704000000,8,0.00038903
1636732800004,8,0.00021202
1636761600000,8,0.00023073
1636790400004,8,0.00021698
1636819200006,8,0.00033718
1636848000010,8,0.00029658
1636876800001,8,0.00029158
1636905600000,8,0.00028416
1636934400008,8,0.00015655
1636963200000,8,0.00049881
1636992000000,8,0.00047372
1637020800000,8,0.00035628
1637049600001,8,0.00010000
1637078400018,8,0.00010000
1637107200005,8,0.00010000
1637136000007,8,0.00010000
1637164800003,8,0.00010000
1637193600017,8,0.00010000
1637222400007,8,0.00010000
1637251200011,8,0.00010000
1637280000000,8,0.00010000
1637308800000,8,0.00010000
1637337600005,8,0.00010000
1637366400012,8,0.00010000
1637395200000,8,0.00010000
1637424000007,8,0.00013119
1637452800000,8,0.00010000
1637481600006,8,0.00010000
1637510400000,8,0.00020186
1637539200004,8,0.00010000
1637568000000,8,0.00010000
1637596800000,8,0.00010000
1637625600004,8,0.00010000
1637654400010,8,0.00012152
1637683200005,8,0.00010000
1637712000001,8,0.00032156
1637740800003,8,0.00020011
1637769600010,8,0.00031840
1637798400000,8,0.00020630
1637827200010,8,0.00041085
1637856000000,8,0.00028572
1637884800000,8,0.00058181
1637913600000,8,0.00038419
1637942400016,8,0.00010000
1637971200005,8,0.00010000
1638000000008,8,0.00010000
1638028800007,8,0.00010000
1638057600018,8,0.00010000
1638086400000,8,0.00010000
1638115200004,8,0.00010000
1638144000002,8,0.00010000
1638172800004,8,0.00010000
1638201600000,8,0.00010000
1638230400000,8,0.00010000
1638259200006,8,0.00010000
1638288000000,8,0.00010000
