calc_time,funding_interval_hours,last_funding_rate
1740787200000,8,0.00006070
1740816000000,8,0.00000746
1740844800001,8,0.00004032
1740873600000,8,0.00002516
1740902400000,8,0.00007467
1740931200000,8,0.00004881
1740960000001,8,0.00010000
1740988800000,8,0.00008470
1741017600000,8,0.00006869
1741046400001,8,-0.00024457
1741075200005,8,-0.00037182
1741104000000,8,-0.00041858
1741132800000,8,-0.00011102
1741161600000,8,-0.00023251
1741190400000,8,-0.00009907
1741219200000,8,-0.00001963
1741248000001,8,0.00006057
1741276800000,8,0.00003195
1741305600000,8,0.00001998
1741334400001,8,0.00003604
1741363200000,8,-0.00000767
1741392000000,8,0.00005265
1741420800001,8,-0.00003524
1741449600001,8,-0.00012959
1741478400001,8,0.00006537
1741507200000,8,-0.00000672
1741536000000,8,-0.00010440
1741564800000,8,-0.00031252
1741593600000,8,-0.00019534
1741622400000,8,-0.00015464
1741651200000,8,-0.00007422
1741680000000,8,-0.00005278
1741708800001,8,0.00006259
1741737600000,8,0.00004556
1741766400000,8,-0.00002562
1741795200001,8,-0.00001805
1741824000000,8,0.00001394
1741852800000,8,-0.00000992
1741881600000,8,0.00003423
1741910400000,8,-0.00002284
1741939200000,8,0.00003308
1741968000000,8,0.00004456
1741996800000,8,-0.00002726
1742025600000,8,-0.00003619
1742054400000,8,-0.00020421
1742083200000,8,0.00000418
1742112000000,8,-0.00002758
1742140800000,8,-0.00028621
1742169600000,8,-0.00019707
1742198400000,8,-0.00017139
1742227200000,8,-0.00030160
1742256000000,8,0.00002693
1742284800000,8,0.00002512
1742313600000,8,-0.00007391
1742342400000,8,0.00001619
1742371200000,8,0.00010000
1742400000000,8,0.00010000
1742428800000,8,0.00010000
1742457600000,8,-8.1E-7
1742486400000,8,-0.00018911
1742515200000,8,-0.00020934
1742544000000,8,0.00004365
1742572800000,8,-0.00011967
1742601600000,8,0.00005015
1742630400004,8,0.00004940
1742659200000,8,0.00010000
1742688000000,8,0.00010000
1742716800000,8,0.00010000
1742745600000,8,3.7E-7
1742774400000,8,0.00004762
1742803200000,8,0.00010000
1742832000000,8,0.00010000
1742860800001,8,0.00004750
1742889600000,8,0.00003985
1742918400000,8,0.00005945
1742947200000,8,0.00007970
1742976000000,8,-0.00001606
1743004800001,8,0.00004544
1743033600001,8,0.00010000
1743062400001,8,0.00000662
1743091200002,8,-0.00006813
1743120000001,8,-0.00011691
1743148800001,8,0.00002846
1743177600000,8,-0.00009608
1743206400000,8,-0.00024923
1743235200000,8,-0.00009148
1743264000000,8,-0.00010204
1743292800000,8,-0.00016268
1743321600000,8,-0.00027717
1743350400000,8,-0.00019832
1743379200000,8,-0.00018997
1743408000000,8,-0.00010020
1743436800000,8,-0.00013575
