calc_time,funding_interval_hours,last_funding_rate
1764547200000,8,-0.00018719
1764576000004,8,-0.00024346
1764604800000,8,-0.00019907
1764633600004,8,0.00006909
1764662400000,8,0.00010000
1764691200000,8,0.00010000
1764720000000,8,0.00010000
1764748800000,8,0.00010000
1764777600005,8,0.00010000
1764806400012,8,0.00010000
1764835200000,8,0.00010000
1764864000011,8,0.00010000
1764892800000,8,-0.00001324
1764921600000,8,0.00007055
1764950400010,8,0.00005352
1764979200001,8,0.00007503
1765008000001,8,0.00003037
1765036800008,8,-0.00000891
1765065600000,8,0.00010000
1765094400004,8,0.00010000
1765123200000,8,-0.00021771
1765152000000,8,-0.00023449
1765180800000,8,0.00010000
1765209600001,8,0.00006160
1765238400001,8,-0.00026652
1765267200001,8,-0.00019882
1765296000007,8,0.00001055
1765324800007,8,0.00010000
1765353600002,8,-0.00003769
1765382400012,8,0.00002202
1765411200001,8,-0.00000893
1765440000000,8,-0.00045984
1765468800000,8,-0.00026749
1765497600005,8,0.00004420
1765526400007,8,0.00010000
1765555200002,8,-0.00013592
1765584000001,8,-0.00026290
1765612800006,8,-0.00020011
1765641600000,8,-0.00026365
1765670400000,8,-0.00022765
1765699200003,8,-0.00019369
1765728000005,8,-0.00052237
1765756800000,8,-0.00013839
1765785600000,8,-0.00001549
1765814400000,8,-0.00002162
1765843200002,8,-0.00019227
1765872000000,8,-0.00036868
1765900800002,8,-0.00009555
1765929600004,8,-0.00050173
1765958400000,8,0.00002774
1765987200000,8,0.00003530
1766016000005,8,-0.00036572
1766044800007,8,-0.00022402
1766073600001,8,-0.00000678
1766102400000,8,-0.00026456
1766131200001,8,-0.00010928
1766160000000,8,-0.00007699
1766188800005,8,0.00000279
1766217600000,8,0.00010000
1766246400002,8,0.00010000
1766275200000,8,0.00010000
1766304000009,8,0.00010000
1766332800000,8,-0.00022640
1766361600000,8,0.00010000
1766390400005,8,-0.00003456
1766419200009,8,-0.00037800
1766448000000,8,-0.00016743
1766476800000,8,0.00000120
1766505600001,8,-0.00023953
1766534400001,8,0.00000470
1766563200001,8,-0.00018749
1766592000000,8,-0.00007609
1766620800000,8,0.00010000
1766649600001,8,0.00010000
1766678400005,8,0.00010000
1766707200004,8,0.00010000
1766736000001,8,0.00006506
1766764800007,8,-0.00018181
1766793600000,8,-0.00014094
1766822400000,8,0.00007636
1766851200011,8,0.00010000
1766880000008,8,-0.00003106
1766908800000,8,-0.00008991
1766937600000,8,0.00007706
1766966400016,8,0.00010000
1766995200001,8,0.00002279
1767024000000,8,0.00001479
1767052800005,8,-0.00051419
1767081600001,8,-0.00052502
1767110400003,8,0.00010000
1767139200004,8,-0.00020382
1767168000001,8,0.00010000
1767196800001,8,-0.00001841
