calc_time,funding_interval_hours,last_funding_rate
1677628800016,8,-0.00024988
1677657600000,8,-0.00003397
1677686400008,8,-0.00014514
1677715200009,8,-0.00016890
1677744000013,8,-0.00009295
1677772800000,8,-0.00024462
1677801600000,8,-0.00013846
1677830400013,8,-0.00057293
1677859200000,8,-0.00020897
1677888000001,8,-0.00029234
1677916800008,8,-0.00017151
1677945600012,8,-0.00017463
1677974400000,8,-0.00013201
1678003200000,8,-0.00026648
1678032000015,8,-0.00014291
1678060800007,8,-0.00022328
1678089600017,8,-0.00029219
1678118400000,8,-0.00037325
1678147200009,8,-0.00038386
1678176000016,8,-0.00010738
1678204800017,8,-0.00021745
1678233600000,8,-0.00029844
1678262400014,8,-0.00039494
1678291200021,8,-0.00024985
1678320000010,8,-0.00031935
1678348800013,8,-0.00048288
1678377600002,8,-0.00021865
1678406400000,8,-0.00041792
1678435200000,8,-0.00036048
1678464000005,8,-0.00008162
1678492800011,8,-0.00008473
1678521600003,8,-0.00039085
1678550400011,8,-0.00038890
1678579200001,8,-0.00056991
1678608000000,8,-0.00031259
1678636800005,8,-0.00057987
1678665600010,8,-0.00051058
1678694400018,8,-0.00050754
1678723200003,8,-0.00050688
1678752000010,8,-0.00017971
1678780800009,8,-0.00026993
1678809600010,8,-0.00017152
1678838400011,8,0.00003777
1678867200000,8,0.00008820
1678896000012,8,-0.00024536
1678924800004,8,-0.00010462
1678953600018,8,-0.00019039
1678982400005,8,-0.00037909
1679011200017,8,-0.00051547
1679040000010,8,-0.00038833
1679068800003,8,-0.00023499
1679097600012,8,-0.00027447
1679126400000,8,-0.00011972
1679155200016,8,-0.00017779
1679184000013,8,-0.00018801
1679212800024,8,-0.00013616
1679241600000,8,-0.00028438
1679270400005,8,-0.00025516
1679299200012,8,-0.00011832
1679328000015,8,-0.00023826
1679356800006,8,-0.00060244
1679385600004,8,-0.00032223
1679414400003,8,-0.00022154
1679443200000,8,-0.00044037
1679472000003,8,-0.00022773
1679500800000,8,-0.00021507
1679529600016,8,-0.00025132
1679558400001,8,-0.00033564
1679587200013,8,-0.00011851
1679616000013,8,-0.00019512
1679644800012,8,-0.00014335
1679673600027,8,0.00010000
1679702400015,8,-0.00047397
1679731200011,8,-0.00032908
1679760000011,8,-0.00020760
1679788800000,8,-0.00033367
1679817600015,8,-0.00016391
1679846400000,8,-0.00019568
1679875200019,8,-0.00051809
1679904000009,8,-0.00040207
1679932800000,8,-0.00041690
1679961600007,8,-0.00026274
1679990400000,8,-0.00003401
1680019200013,8,0.00005762
1680048000010,8,-0.00005274
1680076800006,8,-0.00006744
1680105600014,8,-0.00040864
1680134400000,8,-0.00022492
1680163200000,8,-0.00013139
1680192000006,8,-0.00005783
1680220800003,8,-0.00023970
1680249600006,8,-0.00025870
1680278400011,8,-0.00011847
