calc_time,funding_interval_hours,last_funding_rate
1759276800000,8,0E-8
1759305600000,8,0E-8
1759334400000,8,0E-8
1759363200000,8,0E-8
1759392000013,8,0E-8
1759420800000,8,0E-8
1759449600006,8,0.00021025
1759478400006,8,0.00009993
1759507200000,8,0.00002968
1759536000001,8,0.00009490
1759564800000,8,0.00003472
1759593600000,8,0.00003987
1759622400000,8,0.00004607
1759651200003,8,0E-8
1759680000009,8,0E-8
1759708800004,8,0E-8
1759737600002,8,0.00006884
1759766400004,8,0.00003841
1759795200000,8,0E-8
1759824000003,8,0E-8
1759852800000,8,0.00006251
1759881600000,8,0E-8
1759910400006,8,0E-8
1759939200002,8,0E-8
1759968000001,8,0E-8
1759996800000,8,0E-8
1760025600000,8,0E-8
1760054400005,8,0E-8
1760083200002,8,0E-8
1760112000014,8,0E-8
1760140800000,8,0.00000276
1760169600003,8,0E-8
1760198400000,8,0E-8
1760227200004,8,0E-8
1760256000002,8,0E-8
1760284800000,8,-0.00005331
1760313600003,8,0E-8
1760342400002,8,-0.00030569
1760371200003,8,0E-8
1760400000000,8,-0.00027668
1760428800000,8,0E-8
1760457600000,8,-0.00016775
1760486400006,8,-0.00020435
1760515200002,8,0E-8
1760544000000,8,0E-8
1760572800000,8,0E-8
1760601600003,8,0E-8
1760630400002,8,0E-8
1760659200001,8,0E-8
1760688000005,8,0E-8
1760716800003,8,-0.00016779
1760745600000,8,0E-8
1760774400002,8,-0.00013138
1760803200001,8,-0.00008672
1760832000001,8,-0.00001193
1760860800001,8,0E-8
1760889600001,8,-0.00008195
1760918400004,8,-0.00021765
1760947200001,8,-0.00003486
1760976000000,8,-0.00035218
1761004800009,8,-0.00002886
1761033600000,8,0E-8
1761062400000,8,0E-8
1761091200004,8,0E-8
1761120000000,8,-0.00014817
1761148800000,8,-0.00007842
1761177600000,8,-0.00006940
1761206400001,8,0E-8
1761235200004,8,0E-8
1761264000000,8,-0.00020182
1761292800000,8,-0.00003383
1761321600009,8,-0.00021638
1761350400000,8,-0.00015562
1761379200001,8,-0.00009134
1761408000001,8,-0.00002384
1761436800001,8,0E-8
1761465600001,8,0E-8
1761494400000,8,0E-8
1761523200000,8,0E-8
1761552000005,8,0E-8
1761580800000,8,0E-8
1761609600000,8,0E-8
1761638400000,8,-0.00011396
1761667200004,8,0E-8
1761696000004,8,-0.00029777
1761724800005,8,-0.00023533
1761753600000,8,0E-8
1761782400004,8,0E-8
1761811200008,8,0E-8
1761840000001,8,-0.00009470
1761868800000,8,-0.00030437
1761897600008,8,-0.00010318
1761926400007,8,0E-8
