calc_time,funding_interval_hours,last_funding_rate
1682899200004,8,0.00002435
1682928000008,8,-0.00006370
1682956800014,8,0.00000566
1682985600015,8,0.00000968
1683014400018,8,0.00006135
1683043200000,8,0.00001204
1683072000009,8,0.00008568
1683100800003,8,0.00005435
1683129600011,8,0.00005701
1683158400000,8,0.00010000
1683187200000,8,0.00009992
1683216000011,8,0.00004314
1683244800002,8,0.00003731
1683273600000,8,0.00009909
1683302400000,8,0.00008548
1683331200009,8,0.00010000
1683360000000,8,0.00010000
1683388800000,8,0.00010000
1683417600000,8,0.00004321
1683446400000,8,0.00004047
1683475200006,8,0.00006046
1683504000000,8,0.00000720
1683532800007,8,0.00000407
1683561600015,8,0.00003902
1683590400015,8,0.00005110
1683619200000,8,0.00006841
1683648000000,8,0.00000378
1683676800007,8,0.00003752
1683705600003,8,0.00004785
1683734400000,8,0.00003792
1683763200011,8,0.00001596
1683792000000,8,0.00006926
1683820800005,8,0.00005207
1683849600020,8,0.00003633
1683878400001,8,0.00003964
1683907200010,8,0.00002762
1683936000000,8,-1.0E-7
1683964800000,8,0.00005385
1683993600026,8,0.00004494
1684022400029,8,0.00001715
1684051200010,8,0.00003039
1684080000008,8,0.00003537
1684108800006,8,0.00004407
1684137600005,8,-0.00001576
1684166400008,8,-0.00000190
1684195200021,8,0.00008660
1684224000000,8,0.00003165
1684252800000,8,0.00005800
1684281600010,8,0.00008392
1684310400000,8,0.00007029
1684339200001,8,0.00004461
1684368000000,8,0.00010000
1684396800026,8,0.00010000
1684425600019,8,0.00008342
1684454400000,8,0.00002716
1684483200002,8,0.00004474
1684512000000,8,0.00003815
1684540800005,8,0.00005313
1684569600014,8,0.00002455
1684598400020,8,-0.00000849
1684627200014,8,0.00004776
1684656000001,8,0.00007262
1684684800015,8,0.00005071
1684713600028,8,0.00003019
1684742400000,8,0.00000210
1684771200012,8,0.00004770
1684800000006,8,0.00010000
1684828800014,8,0.00010000
1684857600008,8,0.00010000
1684886400000,8,0.00010000
1684915200025,8,0.00002067
1684944000008,8,0.00004362
1684972800000,8,0.00005820
1685001600025,8,0.00010000
1685030400016,8,0.00010000
1685059200000,8,0.00010000
1685088000024,8,0.00009583
1685116800012,8,0.00004953
1685145600012,8,0.00007146
1685174400018,8,0.00008564
1685203200008,8,0.00007362
1685232000017,8,0.00009880
1685260800015,8,0.00010000
1685289600000,8,0.00010000
1685318400000,8,0.00010000
1685347200020,8,0.00010000
1685376000011,8,0.00010000
1685404800003,8,0.00006187
1685433600000,8,0.00009036
1685462400003,8,0.00003861
1685491200013,8,0.00002344
1685520000000,8,0.00002864
1685548800000,8,0.00009865
