calc_time,funding_interval_hours,last_funding_rate
1764547200000,8,-0.00539704
1764576000004,8,-0.00523657
1764604800000,8,-0.00226330
1764633600004,8,-0.00144465
1764662400000,8,-0.00117133
1764691200000,8,-0.00129942
1764720000000,8,-0.00120020
1764748800000,8,-0.00051719
1764777600005,8,-0.00080657
1764806400012,8,-0.00043527
1764835200000,8,-0.00010218
1764864000011,8,-0.00040721
1764892800000,8,-0.00010894
1764921600000,8,0.00002787
1764950400010,8,-0.00000589
1764979200001,8,-0.00012977
1765008000001,8,-0.00022341
1765036800008,8,-0.00025434
1765065600000,8,-0.00007928
1765094400004,8,-0.00004714
1765123200000,8,0.00004460
1765152000000,8,-0.00000259
1765180800000,8,-0.00013192
1765209600001,8,-0.00010575
1765238400001,8,0.00007800
1765267200001,8,0.00009954
1765296000007,8,0.00006827
1765324800007,8,0.00001598
1765353600002,8,0.00010000
1765382400012,8,-0.00001107
1765411200001,8,0.00002754
1765440000000,8,-0.00008164
1765468800000,8,-0.00004319
1765497600005,8,-0.00013128
1765526400007,8,-0.00030569
1765555200002,8,-0.00015623
1765584000001,8,0.00005922
1765612800006,8,-0.00010989
1765641600000,8,-0.00077747
1765670400000,8,-0.00052149
1765699200003,8,-0.00039708
1765728000005,8,-0.00039142
1765756800000,8,-0.00033011
1765785600000,8,-0.00028456
1765814400000,8,-0.00007004
1765843200002,8,-0.00010251
1765872000000,8,0.00006758
1765900800002,8,0.00003134
1765929600004,8,0.00000669
1765958400000,8,0.00010000
1765987200000,8,-0.00000155
1766016000005,8,-0.00006339
1766044800007,8,-0.00021528
1766073600001,8,-0.00007104
1766102400000,8,0.00004730
1766131200001,8,-0.00000798
1766160000000,8,-0.00004989
1766188800005,8,-0.00006225
1766217600000,8,-0.00010850
1766246400002,8,-0.00003877
1766275200000,8,0.00000891
1766304000009,8,0.00000136
1766332800000,8,-0.00048824
1766361600000,8,-0.00021797
1766390400005,8,-0.00039348
1766419200009,8,-0.00006960
1766448000000,8,-0.00023395
1766476800000,8,-0.00005598
1766505600001,8,-0.00036380
1766534400001,8,-0.00001288
1766563200001,8,-0.00001910
1766592000000,8,-0.00013936
1766620800000,8,0.00010000
1766649600001,8,0.00003797
1766678400005,8,0.00005552
1766707200004,8,0.00007303
1766736000001,8,0.00010000
1766764800007,8,0.00003432
1766793600000,8,0.00007855
1766822400000,8,0.00010000
1766851200011,8,0.00010000
1766880000008,8,-0.00013332
1766908800000,8,0.00010000
1766937600000,8,0.00010000
1766966400016,8,0.00010000
1766995200001,8,0.00007616
1767024000000,8,-0.00005214
1767052800005,8,0.00001192
1767081600001,8,0.00000745
1767110400003,8,0.00008950
1767139200004,8,-0.00002586
1767168000001,8,-0.00011255
1767196800001,8,0.00010000
