calc_time,funding_interval_hours,last_funding_rate
1701388800000,8,0.00010000
1701417600000,8,0.00010000
1701446400000,8,0.00010000
1701475200000,8,0.00010000
1701504000000,8,0.00010000
1701532800000,8,0.00010000
1701561600000,8,0.00010000
1701590400000,8,0.00020393
1701619200000,8,0.00010000
1701648000000,8,0.00010000
1701676800000,8,0.00032177
1701705600000,8,0.00010000
1701734400000,8,0.00010000
1701763200000,8,0.00010000
1701792000000,8,0.00010000
1701820800000,8,0.00012540
1701849600000,8,0.00010000
1701878400000,8,0.00014636
1701907200000,8,0.00023156
1701936000000,8,0.00014133
1701964800000,8,0.00024177
1701993600000,8,0.00040236
1702022400000,8,0.00024385
1702051200000,8,0.00020194
1702080000000,8,0.00032603
1702108800000,8,0.00043970
1702137600000,8,0.00047806
1702166400000,8,0.00021420
1702195200000,8,0.00037766
1702224000000,8,0.00031964
1702252800000,8,0.00034390
1702281600000,8,0.00010000
1702310400000,8,0.00010000
1702339200000,8,0.00010000
1702368000000,8,0.00010000
1702396800000,8,0.00017383
1702425600000,8,0.00010000
1702454400000,8,0.00010000
1702483200001,8,0.00010000
1702512000000,8,0.00010000
1702540800000,8,0.00010000
1702569600000,8,0.00010000
1702598400000,8,0.00010000
1702627200000,8,0.00018556
1702656000000,8,0.00010000
1702684800000,8,0.00010000
1702713600000,8,0.00010000
1702742400001,8,0.00010000
1702771200000,8,0.00010000
1702800000000,8,0.00010000
1702828800000,8,0.00010706
1702857600000,8,0.00010000
1702886400001,8,0.00010000
1702915200000,8,0.00010000
1702944000000,8,0.00010000
1702972800000,8,0.00010000
1703001600000,8,0.00010000
1703030400000,8,0.00010000
1703059200000,8,0.00011469
1703088000000,8,0.00010000
1703116800000,8,0.00024142
1703145600000,8,0.00035556
1703174400000,8,0.00024984
1703203200000,8,0.00033748
1703232000000,8,0.00031602
1703260800000,8,0.00033018
1703289600000,8,0.00034928
1703318400001,8,0.00021318
1703347200000,8,0.00032786
1703376000000,8,0.00033859
1703404800000,8,0.00036768
1703433600000,8,0.00045794
1703462400000,8,0.00022718
1703491200000,8,0.00025381
1703520000000,8,0.00041768
1703548800000,8,0.00053714
1703577600000,8,0.00026110
1703606400000,8,0.00044854
1703635200000,8,0.00010000
1703664000000,8,0.00014526
1703692800000,8,0.00046190
1703721600000,8,0.00047802
1703750400000,8,0.00056982
1703779200000,8,0.00046646
1703808000001,8,0.00039439
1703836800000,8,0.00043116
1703865600000,8,0.00051294
1703894400001,8,0.00010000
1703923200000,8,0.00040406
1703952000000,8,0.00026360
1703980800000,8,0.00028895
1704009600001,8,0.00023869
1704038400000,8,0.00032113
