calc_time,funding_interval_hours,last_funding_rate
1706745600000,8,0.00010000
1706774400000,8,0.00010000
1706803200002,8,0.00010000
1706832000000,8,0.00010000
1706860800000,8,0.00010000
1706889600000,8,0.00010000
1706918400000,8,0.00010000
1706947200000,8,0.00010000
1706976000001,8,0.00010000
1707004800000,8,0.00010000
1707033600004,8,0.00010000
1707062400000,8,0.00010000
1707091200000,8,0.00010000
1707120000000,8,0.00010000
1707148800000,8,0.00010000
1707177600000,8,0.00010000
1707206400001,8,0.00010000
1707235200000,8,0.00010000
1707264000000,8,0.00010000
1707292800000,8,0.00010000
1707321600000,8,0.00010000
1707350400000,8,0.00010000
1707379200000,8,0.00010000
1707408000000,8,0.00010000
1707436800000,8,0.00010000
1707465600000,8,0.00010000
1707494400001,8,0.00010000
1707523200001,8,0.00008906
1707552000000,8,0.00010000
1707580800000,8,0.00010000
1707609600000,8,0.00010000
1707638400001,8,0.00010000
1707667200000,8,0.00010000
1707696000000,8,0.00010000
1707724800000,8,0.00010000
1707753600000,8,0.00010000
1707782400000,8,0.00010000
1707811200000,8,0.00010000
1707840000000,8,0.00010000
1707868800000,8,0.00010000
1707897600000,8,0.00010000
1707926400000,8,0.00010000
1707955200000,8,0.00010000
1707984000000,8,0.00010000
1708012800000,8,0.00010000
1708041600000,8,0.00027061
1708070400000,8,0.00014501
1708099200000,8,0.00020682
1708128000000,8,0.00020459
1708156800000,8,0.00024479
1708185600000,8,0.00024450
1708214400000,8,0.00037709
1708243200000,8,0.00029111
1708272000000,8,0.00021243
1708300800000,8,0.00021162
1708329600000,8,0.00034309
1708358400000,8,0.00023623
1708387200000,8,0.00047334
1708416000000,8,0.00032063
1708444800000,8,0.00010000
1708473600000,8,0.00011304
1708502400000,8,0.00015632
1708531200000,8,0.00010000
1708560000001,8,0.00010000
1708588800001,8,0.00010000
1708617600000,8,0.00010000
1708646400000,8,0.00027552
1708675200000,8,0.00038286
1708704000000,8,0.00025630
1708732800000,8,0.00031941
1708761600001,8,0.00031895
1708790400000,8,0.00023887
1708819200001,8,0.00027819
1708848000000,8,0.00037189
1708876800000,8,0.00029500
1708905600000,8,0.00035393
1708934400000,8,0.00043255
1708963200000,8,0.00042541
1708992000000,8,0.00053166
1709020800000,8,0.00071137
1709049600000,8,0.00040847
1709078400000,8,0.00026532
1709107200000,8,0.00035910
1709136000000,8,0.00069080
1709164800000,8,0.00044282
1709193600000,8,0.00068834
1709222400000,8,0.00081814
