calc_time,funding_interval_hours,last_funding_rate
1643673600010,8,0.00007531
1643702400000,8,0.00006980
1643731200004,8,0.00003036
1643760000004,8,0.00004273
1643788800000,8,-0.00012834
1643817600002,8,0.00010000
1643846400002,8,0.00003692
1643875200000,8,-0.00008554
1643904000000,8,0.00002889
1643932800018,8,-0.00000287
1643961600005,8,-0.00014510
1643990400010,8,-0.00000968
1644019200014,8,-0.00037384
1644048000000,8,-0.00037908
1644076800000,8,-0.00049858
1644105600000,8,-0.00027691
1644134400000,8,-0.00009737
1644163200000,8,-0.00004040
1644192000003,8,-0.00010100
1644220800014,8,-0.00004158
1644249600003,8,-0.00014452
1644278400001,8,-0.00004561
1644307200003,8,0.00010000
1644336000002,8,0.00010000
1644364800000,8,0.00003990
1644393600005,8,-0.00007848
1644422400001,8,-0.00003787
1644451200012,8,0.00004656
1644480000000,8,0.00010000
1644508800006,8,0.00010000
1644537600000,8,0.00010000
1644566400009,8,0.00010000
1644595200015,8,0.00001701
1644624000020,8,0.00010000
1644652800001,8,0.00006126
1644681600007,8,-0.00002487
1644710400022,8,-0.00031698
1644739200001,8,-0.00024118
1644768000007,8,-0.00013974
1644796800005,8,0.00002919
1644825600013,8,0.00010000
1644854400019,8,-0.00004915
1644883200012,8,-0.00008865
1644912000005,8,-0.00048502
1644940800011,8,-0.00021075
1644969600009,8,0.00002647
1644998400001,8,0.00010000
1645027200014,8,0.00010000
1645056000018,8,-0.00003627
1645084800000,8,-0.00014857
1645113600010,8,0.00006419
1645142400000,8,0.00008435
1645171200002,8,6.0E-7
1645200000000,8,0.00009097
1645228800007,8,0.00002168
1645257600000,8,0.00010000
1645286400023,8,0.00010000
1645315200001,8,0.00008699
1645344000003,8,0.00009196
1645372800001,8,0.00006887
1645401600000,8,0.00010000
1645430400001,8,0.00005850
1645459200005,8,-0.00006250
1645488000005,8,-0.00008148
1645516800000,8,-0.00014368
1645545600000,8,-0.00006262
1645574400002,8,-0.00007719
1645603200005,8,-0.00029371
1645632000010,8,-7E-8
1645660800008,8,-0.00006166
1645689600003,8,-0.00042651
1645718400001,8,-0.00033483
1645747200000,8,0.00004250
1645776000006,8,-0.00011245
1645804800001,8,-0.00011301
1645833600004,8,-0.00009357
1645862400004,8,0.00010000
1645891200007,8,0.00010000
1645920000012,8,-0.00001705
1645948800000,8,0.00001121
1645977600000,8,0.00006293
1646006400000,8,-0.00005736
1646035200001,8,-0.00012247
1646064000002,8,0.00000561
