calc_time,funding_interval_hours,last_funding_rate
1730419200000,8,0.00010000
1730448000000,8,0.00010000
1730476800000,8,0.00010000
1730505600000,8,0.00010000
1730534400000,8,0.00010000
1730563200000,8,0.00010000
1730592000000,8,0.00010000
1730620800000,8,0.00010000
1730649600000,8,0.00010000
1730678400000,8,0.00010000
1730707200000,8,0.00010000
1730736000000,8,0.00010000
1730764800000,8,0.00010000
1730793600003,8,0.00010000
1730822400001,8,0.00010000
1730851200000,8,0.00009511
1730880000000,8,0.00010000
1730908800000,8,0.00010000
1730937600000,8,0.00010000
1730966400000,8,0.00014885
1730995200000,8,0.00010000
1731024000000,8,0.00010000
1731052800000,8,0.00010000
1731081600000,8,0.00010000
1731110400000,8,0.00010000
1731139200000,8,0.00010000
1731168000000,8,0.00010000
1731196800000,8,0.00010000
1731225600000,8,0.00010000
1731254400000,8,0.00026708
1731283200001,8,0.00028976
1731312000000,8,0.00018810
1731340800000,8,0.00017298
1731369600002,8,0.00017687
1731398400000,8,0.00057620
1731427200000,8,0.00046001
1731456000000,8,0.00013607
1731484800010,8,0.00033556
1731513600000,8,0.00012894
1731542400001,8,0.00010580
1731571200000,8,0.00010000
1731600000000,8,0.00010000
1731628800000,8,0.00013133
1731657600000,8,0.00013108
1731686400000,8,0.00010000
1731715200001,8,0.00018215
1731744000001,8,0.00010000
1731772800000,8,0.00011351
1731801600000,8,0.00010000
1731830400000,8,0.00010000
1731859200001,8,0.00019685
1731888000000,8,0.00019865
1731916800000,8,0.00031651
1731945600000,8,0.00019762
1731974400000,8,0.00040458
1732003200000,8,0.00021234
1732032000000,8,0.00015353
1732060800003,8,0.00017369
1732089600000,8,0.00019505
1732118400000,8,0.00013619
1732147200001,8,0.00010000
1732176000000,8,0.00010000
1732204800001,8,0.00020146
1732233600000,8,0.00034180
1732262400000,8,0.00029201
1732291200001,8,0.00022123
1732320000000,8,0.00015103
1732348800000,8,0.00032558
1732377600000,8,0.00037006
1732406400001,8,0.00027011
1732435200000,8,0.00023721
1732464000000,8,0.00027264
1732492800000,8,0.00017259
1732521600000,8,0.00023935
1732550400000,8,0.00031797
1732579200000,8,0.00024480
1732608000000,8,0.00012270
1732636800000,8,0.00018190
1732665600000,8,0.00021068
1732694400000,8,0.00020895
1732723200001,8,0.00015706
1732752000000,8,0.00015948
1732780800000,8,0.00016470
1732809600000,8,0.00010000
1732838400000,8,0.00010000
1732867200000,8,0.00015354
1732896000000,8,0.00010000
1732924800000,8,0.00017097
1732953600000,8,0.00024740
1732982400000,8,0.00012425
