calc_time,funding_interval_hours,last_funding_rate
1706745600000,8,0.00010000
1706774400000,8,0.00010000
1706803200002,8,0.00010000
1706832000000,8,0.00010000
1706860800000,8,0.00010000
1706889600000,8,0.00010000
1706918400000,8,0.00010000
1706947200000,8,0.00010000
1706976000001,8,0.00010000
1707004800000,8,0.00010000
1707033600004,8,0.00010000
1707062400000,8,0.00010000
1707091200000,8,0.00010000
1707120000000,8,0.00010000
1707148800000,8,0.00010000
1707177600000,8,0.00010000
1707206400001,8,0.00010000
1707235200000,8,0.00010000
1707264000000,8,0.00010000
1707292800000,8,0.00010000
1707321600000,8,0.00010000
1707350400000,8,0.00010000
1707379200000,8,0.00010000
1707408000000,8,0.00010000
1707436800000,8,0.00010000
1707465600000,8,0.00010000
1707494400001,8,0.00010000
1707523200001,8,0.00010000
1707552000000,8,0.00010000
1707580800000,8,0.00010000
1707609600000,8,0.00010000
1707638400001,8,0.00010000
1707667200000,8,0.00010000
1707696000000,8,0.00010000
1707724800000,8,0.00010000
1707753600000,8,0.00010000
1707782400000,8,0.00019824
1707811200000,8,0.00022776
1707840000000,8,0.00027795
1707868800000,8,0.00018963
1707897600000,8,0.00020564
1707926400000,8,0.00033534
1707955200000,8,0.00025305
1707984000000,8,0.00035550
1708012800000,8,0.00030252
1708041600000,8,0.00031248
1708070400000,8,0.00030429
1708099200000,8,0.00038246
1708128000000,8,0.00019162
1708156800000,8,0.00037676
1708185600000,8,0.00037392
1708214400000,8,0.00037241
1708243200000,8,0.00018171
1708272000000,8,0.00020368
1708300800000,8,0.00036837
1708329600000,8,0.00041699
1708358400000,8,0.00021268
1708387200000,8,0.00059365
1708416000000,8,0.00042251
1708444800000,8,0.00039495
1708473600000,8,0.00017025
1708502400000,8,0.00037425
1708531200000,8,0.00013368
1708560000001,8,0.00016447
1708588800001,8,0.00010251
1708617600000,8,0.00031711
1708646400000,8,0.00046312
1708675200000,8,0.00035659
1708704000000,8,0.00019813
1708732800000,8,0.00019708
1708761600001,8,0.00039086
1708790400000,8,0.00020569
1708819200001,8,0.00010000
1708848000000,8,0.00039954
1708876800000,8,0.00043112
1708905600000,8,0.00029290
1708934400000,8,0.00034726
1708963200000,8,0.00030048
1708992000000,8,0.00048882
1709020800000,8,0.00067869
1709049600000,8,0.00039484
1709078400000,8,0.00029865
1709107200000,8,0.00047180
1709136000000,8,0.00075499
1709164800000,8,0.00010000
1709193600000,8,0.00073840
1709222400000,8,0.00091096
