calc_time,funding_interval_hours,last_funding_rate
1664582400008,8,0.00010000
1664611200011,8,0.00010000
1664640000000,8,0.00009549
1664668800000,8,0.00010000
1664697600000,8,0.00010000
1664726400006,8,-0.00016899
1664755200000,8,0.00003223
1664784000014,8,0.00004072
1664812800010,8,0.00010000
1664841600006,8,0.00007069
1664870400004,8,0.00005219
1664899200013,8,0.00010000
1664928000000,8,0.00010000
1664956800000,8,0.00010000
1664985600012,8,0.00006324
1665014400008,8,0.00010000
1665043200002,8,0.00010000
1665072000006,8,0.00006800
1665100800000,8,-0.00006956
1665129600000,8,0.00000724
1665158400007,8,-0.00002683
1665187200010,8,0.00010000
1665216000004,8,0.00010000
1665244800018,8,0.00010000
1665273600000,8,-0.00004017
1665302400007,8,0.00010000
1665331200011,8,0.00010000
1665360000018,8,0.00010000
1665388800000,8,0.00010000
1665417600026,8,0.00010000
1665446400020,8,0.00003020
1665475200027,8,0.00007506
1665504000000,8,0.00004090
1665532800014,8,-0.00002959
1665561600000,8,0.00001593
1665590400000,8,-0.00001439
1665619200013,8,-0.00003236
1665648000016,8,-0.00008159
1665676800009,8,-0.00014321
1665705600020,8,0.00010000
1665734400000,8,0.00010000
1665763200009,8,0.00008574
1665792000001,8,-0.00003748
1665820800005,8,0.00003281
1665849600004,8,0.00008326
1665878400012,8,0.00010000
1665907200000,8,0.00010000
1665936000010,8,0.00010000
1665964800012,8,0.00009899
1665993600010,8,0.00010000
1666022400017,8,0.00010000
1666051200010,8,0.00010000
1666080000008,8,0.00010000
1666108800000,8,0.00010000
1666137600007,8,0.00010000
1666166400022,8,0.00010000
1666195200016,8,0.00010000
1666224000000,8,0.00010000
1666252800013,8,0.00001851
1666281600000,8,0.00009091
1666310400005,8,-0.00011927
1666339200018,8,-0.00013385
1666368000000,8,-0.00008300
1666396800000,8,-0.00007692
1666425600015,8,0.00007408
1666454400000,8,0.00003157
1666483200025,8,0.00010000
1666512000000,8,0.00010000
1666540800004,8,0.00008066
1666569600009,8,0.00010000
1666598400012,8,0.00010000
1666627200002,8,0.00007025
1666656000013,8,0.00010000
1666684800013,8,0.00010000
1666713600000,8,0.00002486
1666742400006,8,0.00010000
1666771200013,8,0.00010000
1666800000000,8,0.00010000
1666828800009,8,0.00009719
1666857600006,8,0.00010000
1666886400009,8,0.00010000
1666915200000,8,0.00010000
1666944000000,8,0.00010000
1666972800007,8,0.00010000
1667001600000,8,0.00010000
1667030400003,8,0.00010000
1667059200010,8,0.00010000
1667088000000,8,0.00010000
1667116800013,8,0.00010000
1667145600009,8,0.00010000
1667174400012,8,0.00006235
1667203200000,8,0.00008559
1667232000010,8,0.00004049
