calc_time,funding_interval_hours,last_funding_rate
1767225600008,8,-0.00016014
1767254400002,8,0.00003147
1767283200001,8,-0.00006594
1767312000006,8,0.00010000
1767340800007,8,0.00010000
1767369600000,8,0.00010000
1767398400001,8,0.00010000
1767427200000,8,0.00010000
1767456000000,8,0.00004194
1767484800000,8,0.00010000
1767513600000,8,0.00010000
1767542400001,8,0.00006003
1767571200000,8,0.00010000
1767600000000,8,-0.00004069
1767628800000,8,0.00004284
1767657600010,8,0.00010000
1767686400000,8,0.00004609
1767715200000,8,0.00007359
1767744000001,8,0.00010000
1767772800001,8,0.00010000
1767801600001,8,0.00000447
1767830400001,8,0.00003332
1767859200000,8,0.00010000
1767888000000,8,0.00010000
1767916800003,8,0.00005603
1767945600000,8,-0.00002529
1767974400001,8,0.00007759
1768003200000,8,0.00002614
1768032000002,8,0.00006165
1768060800001,8,0.00010000
1768089600003,8,0.00009637
1768118400006,8,0.00000293
1768147200000,8,0.00002109
1768176000005,8,-0.00007220
1768204800000,8,0.00010000
1768233600000,8,-0.00000973
1768262400007,8,-0.00001712
1768291200009,8,0.00010000
1768320000002,8,0.00010000
1768348800000,8,0.00010000
1768377600001,8,0.00010000
1768406400004,8,0.00010000
1768435200000,8,0.00010000
1768464000004,8,-0.00002222
1768492800002,8,-0.00002744
1768521600000,8,0.00005018
1768550400000,8,0.00001607
1768579200001,8,-0.00006779
1768608000000,8,0.00008657
1768636800000,8,0.00006742
1768665600002,8,0.00005169
1768694400001,8,-0.00002958
1768723200000,8,-0.00005384
1768752000000,8,-0.00006103
1768780800007,8,0.00000787
1768809600007,8,-0.00013852
1768838400007,8,3.1E-7
1768867200005,8,0.00001244
1768896000001,8,0.00007358
1768924800009,8,-0.00002004
1768953600001,8,-0.00010263
1768982400011,8,0.00010000
1769011200011,8,-0.00002838
1769040000010,8,0.00004922
1769068800003,8,-0.00001554
1769097600005,8,-0.00007871
1769126400005,8,-0.00008462
1769155200000,8,0.00010000
1769184000011,8,-0.00001689
1769212800011,8,-0.00003325
1769241600002,8,-0.00000783
1769270400001,8,-0.00014264
1769299200002,8,-0.00006333
1769328000011,8,-0.00006239
1769356800005,8,-0.00004050
1769385600000,8,0.00006246
1769414400003,8,0.00008352
1769443200000,8,0.00008399
1769472000002,8,0.00003849
1769500800000,8,3.1E-7
1769529600000,8,-0.00004503
1769558400000,8,0.00007312
1769587200000,8,0.00007283
1769616000000,8,0.00007847
1769644800000,8,0.00010000
1769673600009,8,-0.00015243
1769702400000,8,-0.00017654
1769731200008,8,-0.00014917
1769760000000,8,-0.00013124
1769788800001,8,-0.00009255
1769817600000,8,0.00010000
1769846400001,8,0.00005008
1769875200009,8,0.00002943
