calc_time,funding_interval_hours,last_funding_rate
1769904000001,8,-0.00055531
1769932800004,8,-0.00038264
1769961600000,8,-0.00019405
1769990400000,8,-0.00027443
1770019200014,8,-0.00033819
1770048000000,8,-0.00035597
1770076800000,8,-0.00047644
1770105600007,8,-0.00047775
1770134400000,8,-0.00031951
1770163200002,8,-0.00005453
1770192000007,8,-0.00022518
1770220800000,8,-0.00020982
1770249600011,8,-0.00014741
1770278400000,8,-0.00032012
1770307200007,8,-0.00028350
1770336000000,8,-0.00029049
1770364800001,8,-0.00047628
1770393600000,8,-0.00086233
1770422400003,8,-0.00019428
1770451200000,8,-0.00034736
1770480000010,8,-0.00023410
1770508800003,8,-0.00047508
1770537600000,8,-0.00030175
1770566400000,8,-0.00063754
1770595200002,8,-0.00038807
1770624000001,8,-0.00044848
1770652800007,8,-0.00006102
1770681600000,8,-0.00039214
1770710400007,8,-0.00048826
1770739200000,8,-0.00045355
1770768000000,8,-0.00048684
1770796800006,8,-0.00031102
1770825600000,8,-0.00050862
1770854400000,8,-0.00028374
1770883200001,8,-0.00014995
1770912000001,8,-0.00057913
1770940800007,8,-0.00002727
1770969600003,8,-0.00027681
1770998400005,8,-0.00033580
1771027200002,8,-0.00036813
1771056000004,8,-0.00038647
1771084800002,8,-0.00026624
1771113600000,8,-0.00021942
1771142400002,8,-0.00017028
1771171200000,8,-0.00023662
1771200000001,8,-0.00056130
1771228800003,8,-0.00017463
1771257600000,8,-0.00044311
1771286400008,8,-0.00009503
1771315200001,8,-0.00018938
1771344000002,8,-0.00019938
1771372800000,8,-0.00018206
1771401600000,8,-0.00027911
1771430400011,8,-0.00033837
1771459200013,8,-0.00049619
1771488000000,8,-0.00072621
1771516800003,8,-0.00067424
1771545600000,8,-0.00075937
1771574400000,8,-0.00101641
1771603200000,8,-0.00072884
1771632000004,8,-0.00087916
1771660800000,8,-0.00047088
1771689600005,8,-0.00104187
1771718400001,8,-0.00031212
1771747200004,8,-0.00096574
1771776000000,8,-0.00074682
1771804800001,8,-0.00110131
1771833600000,8,-0.00049017
1771862400000,8,-0.00080158
1771891200007,8,-0.00093954
1771920000000,8,-0.00029377
1771948800001,8,-0.00043002
1771977600001,8,-0.00022247
1772006400007,8,-0.00029518
1772035200000,8,-0.00043906
1772064000000,8,0.00008254
1772092800006,8,-0.00013768
1772121600002,8,-0.00028878
1772150400007,8,-0.00024860
1772179200000,8,-0.00055082
1772208000001,8,-0.00039592
1772236800000,8,-0.00074458
1772265600000,8,-0.00020007
1772294400004,8,-0.00018091
