calc_time,funding_interval_hours,last_funding_rate
1698796800000,4,0.00005000
1698811200000,4,0.00005000
1698825600000,4,0.00005000
1698840000000,4,0.00005000
1698854400000,4,0.00005000
1698868800000,4,0.00005000
1698883200001,4,0.00005000
1698897600000,4,0.00005000
1698912000000,4,0.00005000
1698926400001,4,0.00005000
1698940800000,4,0.00005000
1698955200000,4,0.00005000
1698969600000,4,0.00005000
1698984000000,4,-0.00009054
1698998400000,4,0.00005000
1699012800000,4,0.00005000
1699027200000,4,0.00005000
1699041600001,4,0.00005000
1699056000000,4,0.00005000
1699070400000,4,-0.00141294
1699084800000,4,-0.00097313
1699099200000,4,-0.00135862
1699113600000,4,-0.00211656
1699128000001,4,0.00005000
1699142400000,4,-0.00064989
1699156800000,4,-0.00168895
1699171200000,4,-0.00075290
1699185600000,4,0.00005000
1699200000000,4,0.00005000
1699214400001,4,0.00004363
1699228800000,4,0.00005000
1699243200000,4,-0.00061040
1699257600001,4,0.00005000
1699272000000,4,0.00005000
1699286400000,4,0.00005000
1699300800000,4,0.00005000
1699315200001,4,0.00005000
1699329600000,4,0.00007938
1699344000000,4,0.00005000
1699358400000,4,0.00005000
1699372800000,4,0.00005000
1699387200001,4,0.00005000
1699401600000,4,0.00005000
1699416000000,4,0.00007187
1699430400000,4,0.00024445
1699444800000,4,0.00005000
1699459200000,4,0.00005000
1699473600001,4,0.00005000
1699488000000,4,0.00005000
1699502400000,4,0.00005000
1699516800000,4,0.00005000
1699531200000,4,0.00005000
1699545600000,4,0.00005000
1699560000000,4,0.00005000
1699574400000,4,0.00005000
1699588800000,4,0.00005000
1699603200000,4,0.00012803
1699617600000,4,0.00005000
1699632000000,4,0.00004225
1699646400000,4,0.00005000
1699660800000,4,0.00003271
1699675200000,4,0.00005000
1699689600000,4,0.00005000
1699704000000,4,0.00005000
1699718400000,4,0.00005000
1699732800000,4,0.00005000
1699747200000,4,0.00005000
1699761600000,4,0.00005000
1699776000000,4,0.00012950
1699790400000,4,0.00017842
1699804800001,4,0.00014307
1699819200000,4,0.00012737
1699833600000,4,0.00030916
1699848000000,4,0.00016812
1699862400000,4,0.00027880
1699876800000,4,0.00017583
1699891200000,4,0.00024957
1699905600000,4,0.00026156
1699920000000,4,0.00017594
1699934400000,4,0.00024967
1699948800000,4,0.00011187
1699963200000,4,0.00028437
1699977600001,4,0.00021890
1699992000001,4,0.00005000
1700006400000,4,0.00005000
1700020800000,4,0.00005000
1700035200000,4,0.00005000
1700049600000,4,0.00012351
1700064000000,4,0.00019575
1700078400000,4,0.00014294
1700092800000,4,0.00015798
1700107200000,4,0.00028125
1700121600000,4,0.00018971
1700136000000,4,0.00021591
1700150400001,4,0.00015593
1700164800000,4,0.00010445
1700179200000,4,0.00005000
1700193600000,4,0.00028429
1700208000001,4,0.00005000
1700222400000,4,0.00005731
1700236800001,4,0.00005000
1700251200000,4,0.00008230
1700265600000,4,0.00014029
1700280000000,4,0.00005000
1700294400000,4,0.00005000
1700308800000,4,0.00005000
1700323200000,4,0.00005000
1700337600000,4,0.00005000
1700352000000,4,0.00005000
1700366400000,4,0.00008538
1700380800000,4,0.00011692
1700395200000,4,0.00005000
1700409600000,4,0.00005000
1700424000000,4,0.00005000
1700438400000,4,0.00005000
1700452800000,4,0.00005000
1700467200000,4,0.00005000
1700481600000,4,0.00008657
1700496000000,4,0.00005724
1700510400000,4,0.00011214
1700524800000,4,0.00017193
1700539200000,4,0.00018804
1700553600000,4,0.00016665
1700568000000,4,0.00018110
1700582400000,4,0.00016092
1700596800000,4,0.00015195
1700611200000,4,0.00005000
1700625600000,4,0.00005000
1700640000000,4,0.00005000
1700654400000,4,0.00005000
1700668800000,4,0.00005000
1700683200000,4,0.00005000
1700697600000,4,0.00005000
1700712000000,4,0.00005939
1700726400000,4,0.00005000
1700740800001,4,0.00005000
1700755200001,4,0.00012101
1700769600000,4,0.00005000
1700784000000,4,0.00005000
1700798400000,4,0.00005000
1700812800000,4,0.00005000
1700827200001,4,0.00005000
1700841600000,4,0.00005000
1700856000000,4,0.00005000
1700870400000,4,0.00005000
1700884800001,4,0.00005000
1700899200000,4,0.00005000
1700913600000,4,0.00005000
1700928000000,4,0.00005000
1700942400000,4,0.00005000
1700956800000,4,0.00005000
1700971200001,4,0.00005000
1700985600000,4,0.00005000
1701000000000,4,0.00005000
1701014400000,4,0.00005000
1701028800000,4,0.00005421
1701043200000,4,0.00005000
1701057600001,4,0.00005000
1701072000001,4,0.00005854
1701086400000,4,0.00006521
1701100800000,4,0.00008220
1701115200000,4,0.00006504
1701129600000,4,0.00005000
1701144000000,4,0.00005000
1701158400000,4,0.00005797
1701172800000,4,0.00012292
1701187200000,4,0.00006396
1701201600000,4,0.00005000
1701216000001,4,0.00015871
1701230400000,4,0.00013291
1701244800000,4,0.00005000
1701259200000,4,0.00005000
1701273600000,4,0.00005000
1701288000000,4,0.00005000
1701302400000,4,0.00005000
1701316800001,4,0.00005000
1701331200000,4,0.00005000
1701345600000,4,0.00005883
1701360000000,4,0.00009978
1701374400000,4,0.00005000
