calc_time,funding_interval_hours,last_funding_rate
1717200000000,8,0.00013068
1717228800000,8,0.00020713
1717257600001,8,0.00010000
1717286400000,8,0.00020284
1717315200000,8,0.00011120
1717344000000,8,0.00015200
1717372800000,8,0.00014614
1717401600000,8,0.00013900
1717430400000,8,0.00010000
1717459200000,8,0.00015022
1717488000000,8,0.00010000
1717516800000,8,0.00010946
1717545600000,8,0.00011628
1717574400000,8,0.00020737
1717603200000,8,0.00017100
1717632000000,8,0.00031867
1717660800008,8,0.00025087
1717689600000,8,0.00010000
1717718400000,8,0.00013223
1717747200000,8,0.00010000
1717776000000,8,0.00010000
1717804800000,8,0.00010000
1717833600000,8,0.00010000
1717862400000,8,0.00010000
1717891200000,8,0.00010000
1717920000000,8,0.00010000
1717948800001,8,0.00010000
1717977600000,8,0.00010000
1718006400000,8,0.00010000
1718035200001,8,0.00010000
1718064000001,8,0.00010000
1718092800000,8,0.00010000
1718121600000,8,0.00010000
1718150400000,8,0.00010000
1718179200000,8,0.00010000
1718208000000,8,0.00010000
1718236800000,8,0.00010000
1718265600001,8,0.00010000
1718294400000,8,0.00010000
1718323200000,8,0.00010000
1718352000000,8,0.00010000
1718380800000,8,0.00010000
1718409600000,8,0.00010000
1718438400000,8,0.00003060
1718467200000,8,0.00010000
1718496000001,8,0.00009190
1718524800000,8,0.00010000
1718553600000,8,0.00010000
1718582400000,8,0.00010000
1718611200000,8,0.00010000
1718640000000,8,0.00010000
1718668800000,8,0.00004334
1718697600000,8,-0.00004913
1718726400000,8,0.00010000
1718755200001,8,0.00005940
1718784000001,8,-0.00011710
1718812800000,8,-0.00007371
1718841600000,8,0.00005066
1718870400000,8,-0.00005162
1718899200000,8,0.00007090
1718928000000,8,0.00010000
1718956800000,8,0.00009591
1718985600000,8,0.00007898
1719014400000,8,0.00010000
1719043200000,8,0.00007831
1719072000000,8,0.00010000
1719100800000,8,0.00006916
1719129600000,8,0.00010000
1719158400000,8,0.00003456
1719187200002,8,0.00010000
1719216000000,8,0.00010000
1719244800000,8,0.00004281
1719273600000,8,-0.00010667
1719302400000,8,0.00007423
1719331200000,8,0.00010000
1719360000002,8,-0.00010854
1719388800000,8,0.00009722
1719417600000,8,0.00008465
1719446400000,8,0.00010000
1719475200001,8,-0.00011650
1719504000000,8,-0.00019502
1719532800000,8,0.00002019
1719561600000,8,0.00004505
1719590400000,8,0.00010000
1719619200001,8,0.00010000
1719648000000,8,0.00010000
1719676800000,8,-0.00000679
1719705600000,8,0.00007125
1719734400000,8,0.00010000
1719763200000,8,0.00000181
