calc_time,funding_interval_hours,last_funding_rate
1743465600000,4,-0.00006096
1743480000001,4,0.00005000
1743494400001,4,0.00005000
1743508800000,4,0.00005000
1743523200000,4,-0.00004567
1743537600003,4,-0.00000975
1743552000001,4,0.00002002
1743566400001,4,0.00001867
1743580800000,4,0.00002841
1743595200002,4,-0.00011018
1743609600000,4,-0.00001106
1743624000000,4,0.00002155
1743638400000,4,-0.00016739
1743652800000,4,-0.00002531
1743667200000,4,-0.00003550
1743681600000,4,-0.00009612
1743696000000,4,-0.00010411
1743710400000,4,-0.00016418
1743724800000,4,-0.00006665
1743739200000,4,0.00003782
1743753600000,4,0.00003530
1743768000000,4,-0.00004626
1743782400000,4,-0.00012421
1743796800001,4,-0.00001509
1743811200000,4,0.00003515
1743825600000,4,0.00001399
1743840000000,4,-0.00006224
1743854400000,4,-0.00024573
1743868800000,4,-0.00016174
1743883200000,4,-0.00002627
1743897600000,4,-0.00005779
1743912000000,4,-0.00001617
1743926400000,4,-0.00004387
1743940800001,4,0.00004060
1743955200002,4,-0.00009639
1743969600001,4,0.00002115
1743984000000,4,0.00005000
1743998400000,4,0.00005000
1744012800000,4,0.00005000
1744027200000,4,-0.00005519
1744041600000,4,0.00004578
1744056000000,4,0.00005000
1744070400000,4,-0.00000172
1744084800000,4,-0.00004302
1744099200000,4,-0.00007682
1744113600000,4,-0.00018972
1744128000000,4,-0.00020525
1744142400000,4,-0.00013383
1744156800000,4,-0.00009449
1744171200000,4,-0.00006974
1744185600001,4,-0.00001930
1744200000000,4,-0.00004747
1744214400000,4,-0.00012508
1744228800000,4,-0.00017173
1744243200000,4,-0.00004720
1744257600000,4,-0.00007218
1744272000000,4,-0.00008111
1744286400000,4,-0.00004576
1744300800000,4,0.00004467
1744315200000,4,0.00000274
1744329600001,4,0.00005000
1744344000001,4,0.00005000
1744358400000,4,0.00005000
1744372800000,4,0.00005000
1744387200000,4,0.00005000
1744401600001,4,0.00005000
1744416000000,4,0.00005000
1744430400000,4,0.00005000
1744444800001,4,0.00005000
1744459200001,4,0.00005000
1744473600000,4,0.00005000
1744488000000,4,0.00005000
1744502400000,4,0.00005000
1744516800000,4,0.00005000
1744531200000,4,0.00005000
1744545600000,4,0.00005000
1744560000000,4,0.00005000
1744574400000,4,0.00005000
1744588800000,4,0.00005000
1744603200000,4,0.00003896
1744617600000,4,0.00005000
1744632000002,4,0.00005000
1744646400000,4,-0.00003972
1744660800000,4,0.00005000
1744675200000,4,0.00005000
1744689600001,4,4E-8
1744704000000,4,-0.00002178
1744718400000,4,0.00005000
1744732800001,4,0.00005000
1744747200000,4,0.00005000
1744761600000,4,0.00005000
1744776000000,4,0.00004662
1744790400000,4,0.00005000
1744804800000,4,0.00005000
1744819200000,4,0.00005000
1744833600000,4,0.00003283
1744848000001,4,0.00005000
1744862400000,4,0.00005000
1744876800000,4,0.00005000
1744891200000,4,0.00005000
1744905600001,4,0.00005000
1744920000001,4,-0.00002958
1744934400000,4,0.00005000
1744948800000,4,-0.00003124
1744963200000,4,-0.00000204
1744977600000,4,-0.00007612
1744992000000,4,-0.00001014
1745006400000,4,0.00000846
1745020800000,4,-0.00000922
1745035200000,4,-0.00004780
1745049600000,4,-0.00001700
1745064000000,4,0.00002593
1745078400000,4,-0.00000830
1745092800000,4,-0.00006958
1745107200000,4,-0.00001011
1745121600000,4,-0.00002541
1745136000000,4,0.00005000
1745150400001,4,0.00005000
1745164800000,4,0.00003586
1745179200000,4,0.00005000
1745193600000,4,0.00005000
1745208000000,4,-0.00004167
1745222400005,4,-0.00006507
1745236800002,4,0.00005000
1745251200003,4,0.00005000
1745265600006,4,0.00005000
1745280000008,4,0.00004995
1745294400000,4,0.00005000
1745308800000,4,0.00002276
1745323200001,4,0.00005000
1745337600000,4,-0.00001041
1745352000004,4,0.00005000
1745366400000,4,0.00005000
1745380800000,4,0.00005000
1745395200002,4,-0.00003199
1745409600005,4,-0.00002501
1745424000000,4,0.00005000
1745438400001,4,0.00005000
1745452800000,4,0.00005000
1745467200003,4,0.00005000
1745481600001,4,0.00005000
1745496000001,4,0.00005000
1745510400001,4,0.00005000
1745524800006,4,0.00005000
1745539200007,4,0.00005000
1745553600001,4,0.00005000
1745568000002,4,0.00005000
1745582400000,4,0.00005000
1745596800003,4,0.00005000
1745611200001,4,0.00005000
1745625600002,4,0.00005000
1745640000001,4,0.00005000
1745654400000,4,0.00005000
1745668800000,4,0.00005000
1745683200002,4,0.00005000
1745697600000,4,0.00005000
1745712000001,4,0.00005000
1745726400001,4,0.00005000
1745740800000,4,0.00005000
1745755200000,4,0.00005000
1745769600000,4,0.00005000
1745784000003,4,0.00005000
1745798400001,4,0.00005000
1745812800001,4,0.00005000
1745827200003,4,0.00005000
1745841600000,4,0.00005000
1745856000005,4,-0.00001462
1745870400002,4,0.00005000
1745884800000,4,0.00005000
1745899200000,4,0.00005000
1745913600000,4,0.00005000
1745928000001,4,0.00005000
1745942400010,4,-0.00000154
1745956800002,4,-0.00006358
1745971200001,4,-0.00004016
1745985600001,4,-0.00003453
1746000000000,4,-0.00002334
1746014400001,4,0.00005000
1746028800003,4,0.00000965
1746043200002,4,-0.00007704
