calc_time,funding_interval_hours,last_funding_rate
1685577600008,8,0.00009138
1685606400012,8,0.00010000
1685635200000,8,0.00010000
1685664000000,8,0.00010000
1685692800006,8,0.00010000
1685721600012,8,0.00010000
1685750400000,8,0.00010000
1685779200011,8,0.00010000
1685808000003,8,0.00010000
1685836800000,8,0.00010000
1685865600000,8,0.00010000
1685894400000,8,0.00010000
1685923200005,8,0.00010000
1685952000000,8,0.00010000
1685980800000,8,0.00010000
1686009600000,8,-0.00000916
1686038400009,8,0.00003376
1686067200013,8,0.00008104
1686096000000,8,0.00010000
1686124800016,8,0.00010000
1686153600000,8,0.00010000
1686182400006,8,0.00005633
1686211200000,8,0.00003093
1686240000000,8,0.00010000
1686268800000,8,0.00010000
1686297600000,8,0.00010000
1686326400000,8,0.00010000
1686355200000,8,0.00010000
1686384000000,8,0.00010000
1686412800000,8,-0.00012224
1686441600001,8,-0.00016804
1686470400000,8,-0.00007019
1686499200000,8,-5.4E-7
1686528000000,8,0.00008313
1686556800000,8,0.00009565
1686585600001,8,0.00007455
1686614400000,8,0.00010000
1686643200000,8,0.00004445
1686672000000,8,0.00003306
1686700800000,8,0.00004791
1686729600000,8,-0.00000373
1686758400000,8,0.00002770
1686787200000,8,0.00004364
1686816000000,8,0.00009629
1686844800000,8,0.00007413
1686873600000,8,0.00004685
1686902400000,8,0.00002478
1686931200000,8,-0.00002351
1686960000000,8,0.00009043
1686988800000,8,0.00005636
1687017600000,8,-0.00001964
1687046400000,8,-0.00004475
1687075200000,8,-0.00002730
1687104000000,8,-0.00003711
1687132800000,8,-0.00011781
1687161600000,8,-0.00007374
1687190400000,8,-0.00003492
1687219200001,8,-0.00011236
1687248000000,8,-0.00007104
1687276800000,8,-0.00006213
1687305600000,8,0.00010000
1687334400000,8,0.00010000
1687363200000,8,0.00007317
1687392000000,8,0.00010000
1687420800001,8,0.00010000
1687449600000,8,0.00010000
1687478400000,8,0.00010000
1687507200000,8,0.00010000
1687536000000,8,0.00010000
1687564800000,8,0.00010000
1687593600000,8,0.00010000
1687622400000,8,0.00009363
1687651200000,8,0.00010000
1687680000000,8,0.00009628
1687708800000,8,0.00010000
1687737600000,8,0.00010000
1687766400000,8,0.00010000
1687795200000,8,0.00010000
1687824000000,8,0.00010000
1687852800000,8,0.00010000
1687881600000,8,0.00009227
1687910400000,8,0.00010000
1687939200000,8,0.00009239
1687968000000,8,0.00010000
1687996800000,8,0.00010000
1688025600000,8,0.00010000
1688054400000,8,0.00010000
1688083200000,8,0.00010000
1688112000000,8,0.00010000
1688140800001,8,0.00010000
