calc_time,funding_interval_hours,last_funding_rate
1596240000005,8,0.00057120
1596268800000,8,0.00078900
1596297600001,8,0.00084750
1596326400000,8,0.00164741
1596355200001,8,0.00078084
1596384000001,8,0.00062995
1596412800000,8,0.00044367
1596441600001,8,0.00056763
1596470400000,8,0.00056067
1596499200003,8,0.00057005
1596528000000,8,0.00063457
1596556800000,8,0.00058751
1596585600000,8,0.00058744
1596614400000,8,0.00051986
1596643200000,8,0.00040282
1596672000000,8,0.00055290
1596700800007,8,0.00057578
1596729600000,8,0.00071612
1596758400001,8,0.00071074
1596787200000,8,0.00055919
1596816000000,8,0.00043517
1596844800000,8,0E-8
1596873600000,8,0.00010125
1596902400000,8,0.00036187
1596931200000,8,0.00058926
1596960000000,8,0.00051170
1596988800000,8,0.00027717
1597017600001,8,0.00026997
1597046400000,8,0.00104670
1597075200001,8,0.00059192
1597104000001,8,0.00087127
1597132800000,8,0.00085023
1597161600001,8,0.00034792
1597190400000,8,0.00010000
1597219200000,8,0.00010000
1597248000000,8,0.00011493
1597276800002,8,0.00038998
1597305600000,8,0.00041013
1597334400000,8,0.00032264
1597363200000,8,0.00062912
1597392000000,8,0.00089602
1597420800000,8,0.00080567
1597449600000,8,0.00076366
1597478400001,8,0.00053692
1597507200001,8,0.00087037
1597536000000,8,0.00128595
1597564800000,8,0.00113773
1597593600000,8,0.00089648
1597622400000,8,0.00150281
1597651200000,8,0.00125870
1597680000000,8,0.00194026
1597708800001,8,0.00155833
1597737600008,8,0.00124218
1597766400000,8,0.00089612
1597795200000,8,0.00081458
1597824000000,8,0.00040367
1597852800000,8,0.00033249
1597881600001,8,0.00028504
1597910400000,8,0.00033304
1597939200000,8,0.00033992
1597968000000,8,0.00056115
1597996800000,8,0.00013186
1598025600017,8,0.00011623
1598054400000,8,0.00010000
1598083200000,8,0.00010000
1598112000000,8,0.00010000
1598140800000,8,0.00010000
1598169600000,8,0.00010000
1598198400000,8,0.00010000
1598227200006,8,0.00010000
1598256000001,8,0.00026041
1598284800000,8,0.00026641
1598313600000,8,0.00063901
1598342400000,8,0.00034174
1598371200000,8,0.00036387
1598400000000,8,0.00042073
1598428800008,8,0.00042565
1598457600002,8,0.00042485
1598486400000,8,0.00063744
1598515200010,8,0.00059127
1598544000000,8,0.00019197
1598572800000,8,0.00010000
1598601600001,8,0.00010000
1598630400000,8,0.00010000
1598659200002,8,0.00010000
1598688000006,8,0.00025267
1598716800003,8,0.00044841
1598745600000,8,0.00019991
1598774400000,8,0.00035019
1598803200000,8,0.00032424
1598832000000,8,0.00046142
1598860800001,8,0.00071000
1598889600001,8,0.00068167
