calc_time,funding_interval_hours,last_funding_rate
1659312000010,8,0.00010000
1659340800019,8,0.00010000
1659369600017,8,0.00010000
1659398400000,8,0.00010000
1659427200007,8,0.00010000
1659456000014,8,0.00010000
1659484800001,8,0.00007263
1659513600020,8,0.00010000
1659542400008,8,0.00000216
1659571200001,8,-0.00006581
1659600000009,8,0.00010000
1659628800015,8,0.00001339
1659657600005,8,0.00003296
1659686400000,8,0.00010000
1659715200000,8,0.00010000
1659744000021,8,0.00010000
1659772800000,8,0.00010000
1659801600015,8,0.00010000
1659830400013,8,0.00010000
1659859200000,8,0.00010000
1659888000014,8,0.00010000
1659916800009,8,0.00010000
1659945600006,8,0.00010000
1659974400000,8,0.00010000
1660003200020,8,0.00010000
1660032000000,8,0.00010000
1660060800000,8,0.00010000
1660089600000,8,0.00008936
1660118400016,8,0.00010000
1660147200018,8,0.00010000
1660176000012,8,0.00010000
1660204800000,8,0.00010000
1660233600000,8,0.00010000
1660262400006,8,-0.00017160
1660291200000,8,0.00010000
1660320000005,8,0.00010000
1660348800012,8,0.00010000
1660377600006,8,-0.00021612
1660406400018,8,-0.00018413
1660435200000,8,-0.00040352
1660464000000,8,-0.00015119
1660492800000,8,-0.00040978
1660521600010,8,-0.00034465
1660550400002,8,-0.00037056
1660579200010,8,-0.00044359
1660608000010,8,-0.00031909
1660636800002,8,-0.00020428
1660665600000,8,-0.00025403
1660694400020,8,-0.00021431
1660723200016,8,-0.00018909
1660752000001,8,-0.00047594
1660780800005,8,-0.00002959
1660809600012,8,-0.00007696
1660838400013,8,-0.00011579
1660867200000,8,-0.00057957
1660896000000,8,-0.00024701
1660924800009,8,-0.00015271
1660953600000,8,-0.00063375
1660982400005,8,-0.00038288
1661011200000,8,-0.00026988
1661040000010,8,-0.00018086
1661068800013,8,-0.00002308
1661097600000,8,-0.00055514
1661126400011,8,-0.00013577
1661155200005,8,-0.00035642
1661184000005,8,-0.00005740
1661212800000,8,-0.00018802
1661241600021,8,-0.00014366
1661270400005,8,-0.00008572
1661299200017,8,-0.00001360
1661328000021,8,-0.00003089
1661356800000,8,-0.00005187
1661385600003,8,-0.00016950
1661414400000,8,-0.00003786
1661443200004,8,-0.00014285
1661472000001,8,-0.00028958
1661500800004,8,-0.00000221
1661529600000,8,-0.00014974
1661558400010,8,-0.00040162
1661587200007,8,-0.00018944
1661616000008,8,-0.00031222
1661644800019,8,-0.00030702
1661673600000,8,-0.00014805
1661702400000,8,-0.00037148
1661731200000,8,-0.00020959
1661760000000,8,-0.00014438
1661788800001,8,-0.00009389
1661817600001,8,-0.00001085
1661846400005,8,-0.00001458
1661875200010,8,0.00009001
1661904000000,8,0.00010000
1661932800005,8,0.00010000
1661961600013,8,0.00005085
