calc_time,funding_interval_hours,last_funding_rate
1659312000010,8,-0.00008730
1659340800019,8,-0.00003596
1659369600017,8,-0.00018216
1659398400000,8,-0.00027114
1659427200007,8,-0.00023117
1659456000014,8,-0.00009498
1659484800001,8,-0.00002464
1659513600020,8,0.00000660
1659542400008,8,-0.00024546
1659571200001,8,0.00005256
1659600000009,8,0.00010000
1659628800015,8,0.00010000
1659657600005,8,1E-8
1659686400000,8,-0.00013980
1659715200000,8,0.00009219
1659744000021,8,0.00010000
1659772800000,8,0.00010000
1659801600015,8,0.00010000
1659830400013,8,0.00010000
1659859200000,8,0.00010000
1659888000014,8,0.00002982
1659916800009,8,-0.00009347
1659945600006,8,-0.00019252
1659974400000,8,0.00002204
1660003200020,8,0.00010000
1660032000000,8,0.00003096
1660060800000,8,0.00010000
1660089600000,8,3.5E-7
1660118400016,8,-0.00001781
1660147200018,8,-0.00043056
1660176000012,8,-0.00022496
1660204800000,8,-0.00023370
1660233600000,8,-0.00026972
1660262400006,8,0.00004487
1660291200000,8,0.00009146
1660320000005,8,0.00010000
1660348800012,8,-0.00000389
1660377600006,8,-0.00011822
1660406400018,8,-0.00002248
1660435200000,8,0.00010000
1660464000000,8,0.00004273
1660492800000,8,-0.00020448
1660521600010,8,-0.00024092
1660550400002,8,0.00003029
1660579200010,8,0.00006911
1660608000010,8,0.00007890
1660636800002,8,0.00010000
1660665600000,8,0.00010000
1660694400020,8,0.00010000
1660723200016,8,0.00010000
1660752000001,8,0.00010000
1660780800005,8,0.00010000
1660809600012,8,0.00010000
1660838400013,8,0.00007618
1660867200000,8,0.00008526
1660896000000,8,-0.00003187
1660924800009,8,0.00008702
1660953600000,8,0.00009692
1660982400005,8,0.00010000
1661011200000,8,0.00010000
1661040000010,8,-0.00004304
1661068800013,8,0.00001418
1661097600000,8,-0.00008374
1661126400011,8,0.00006660
1661155200005,8,0.00010000
1661184000005,8,0.00010000
1661212800000,8,0.00010000
1661241600021,8,0.00007272
1661270400005,8,0.00010000
1661299200017,8,0.00010000
1661328000021,8,0.00010000
1661356800000,8,0.00009547
1661385600003,8,0.00010000
1661414400000,8,0.00010000
1661443200004,8,0.00010000
1661472000001,8,0.00010000
1661500800004,8,0.00010000
1661529600000,8,0.00010000
1661558400010,8,0.00003479
1661587200007,8,0.00007131
1661616000008,8,0.00010000
1661644800019,8,0.00010000
1661673600000,8,0.00010000
1661702400000,8,0.00009076
1661731200000,8,0.00000830
1661760000000,8,-0.00000342
1661788800001,8,-0.00002137
1661817600001,8,0.00000757
1661846400005,8,0.00000608
1661875200010,8,0.00010000
1661904000000,8,0.00004916
1661932800005,8,0.00004182
1661961600013,8,-0.00004325
