calc_time,funding_interval_hours,last_funding_rate
1767225600008,8,0.00010000
1767254400002,8,0.00010000
1767283200001,8,0.00010000
1767312000006,8,-0.00008356
1767340800007,8,0.00004045
1767369600000,8,0.00006722
1767398400001,8,0.00010000
1767427200000,8,0.00010000
1767456000000,8,-0.00001307
1767484800000,8,0.00000531
1767513600000,8,-0.00001547
1767542400001,8,0.00010000
1767571200000,8,0.00010000
1767600000000,8,0.00010000
1767628800000,8,0.00010000
1767657600010,8,0.00010000
1767686400000,8,-0.00002523
1767715200000,8,-0.00000440
1767744000001,8,0.00006097
1767772800001,8,0.00010000
1767801600001,8,-0.00007235
1767830400001,8,0.00010000
1767859200000,8,0.00010000
1767888000000,8,0.00003963
1767916800003,8,0.00010000
1767945600000,8,0.00009136
1767974400001,8,0.00001899
1768003200000,8,0.00005974
1768032000002,8,0.00007407
1768060800001,8,0.00006356
1768089600003,8,-0.00016090
1768118400006,8,0.00010000
1768147200000,8,-0.00024915
1768176000005,8,-0.00048246
1768204800000,8,-0.00024271
1768233600000,8,0.00010000
1768262400007,8,0.00005629
1768291200009,8,0.00010000
1768320000002,8,0.00010000
1768348800000,8,0.00010000
1768377600001,8,0.00010000
1768406400004,8,0.00010000
1768435200000,8,0.00010000
1768464000004,8,0.00010000
1768492800002,8,-0.00016929
1768521600000,8,0.00010000
1768550400000,8,-0.00002417
1768579200001,8,0.00004895
1768608000000,8,0.00010000
1768636800000,8,0.00010000
1768665600002,8,-0.00005186
1768694400001,8,0.00001941
1768723200000,8,0.00010000
1768752000000,8,0.00010000
1768780800007,8,-0.00012583
1768809600007,8,0.00005434
1768838400007,8,-0.00002398
1768867200005,8,0.00010000
1768896000001,8,-0.00000386
1768924800009,8,-0.00007846
1768953600001,8,0.00010000
1768982400011,8,-0.00007772
1769011200011,8,0.00007989
1769040000010,8,-0.00002621
1769068800003,8,0.00010000
1769097600005,8,0.00008294
1769126400005,8,0.00003509
1769155200000,8,0.00008791
1769184000011,8,-0.00016748
1769212800011,8,0.00010000
1769241600002,8,0.00008006
1769270400001,8,0.00010000
1769299200002,8,0.00010000
1769328000011,8,0.00010000
1769356800005,8,-0.00005941
1769385600000,8,0.00010000
1769414400003,8,-0.00019052
1769443200000,8,-0.00006431
1769472000002,8,0.00010000
1769500800000,8,0.00002299
1769529600000,8,-0.00004070
1769558400000,8,0.00008057
1769587200000,8,-0.00011231
1769616000000,8,-0.00019332
1769644800000,8,0.00010000
1769673600009,8,-0.00048326
1769702400000,8,0.00010000
1769731200008,8,-0.00004924
1769760000000,8,0.00010000
1769788800001,8,0.00004360
1769817600000,8,-0.00001509
1769846400001,8,0.00009762
1769875200009,8,-0.00002865
