calc_time,funding_interval_hours,last_funding_rate
1756684800000,4,0.00005000
1756699200005,4,0.00001702
1756713600000,4,0.00005000
1756728000014,4,0.00005000
1756742400001,4,0.00005000
1756756800008,4,0.00005000
1756771200000,4,-0.00001383
1756785600009,4,0.00005000
1756800000005,4,0.00005000
1756814400003,4,0.00005000
1756828800007,4,0.00005000
1756843200001,4,0.00005000
1756857600006,4,0.00005000
1756872000003,4,0.00005000
1756886400002,4,0.00005000
1756900800000,4,0.00005000
1756915200002,4,0.00005000
1756929600006,4,0.00005000
1756944000002,4,0.00005000
1756958400000,4,0.00005000
1756972800000,4,0.00005000
1756987200002,4,0.00005000
1757001600000,4,0.00005000
1757016000000,4,0.00002494
1757030400001,4,0.00001287
1757044800000,4,0.00005000
1757059200006,4,0.00005000
1757073600001,4,0.00005000
1757088000000,4,0.00005000
1757102400000,4,0.00005000
1757116800000,4,0.00005000
1757131200000,4,0.00005000
1757145600005,4,0.00005000
1757160000000,4,0.00005000
1757174400000,4,0.00005000
1757188800001,4,0.00003111
1757203200000,4,0.00005000
1757217600008,4,0.00005000
1757232000000,4,0.00005000
1757246400000,4,0.00005000
1757260800000,4,0.00005000
1757275200003,4,0.00005000
1757289600007,4,0.00005000
1757304000008,4,0.00005000
1757318400000,4,0.00005000
1757332800005,4,0.00005000
1757347200000,4,0.00005000
1757361600001,4,0.00005000
1757376000000,4,0.00005000
1757390400000,4,0.00005000
1757404800000,4,0.00005000
1757419200004,4,0.00005000
1757433600000,4,0.00005000
1757448000000,4,0.00005000
1757462400000,4,0.00005000
1757476800001,4,0.00005000
1757491200002,4,0.00005000
1757505600004,4,0.00005000
1757520000000,4,0.00005000
1757534400007,4,0.00005000
1757548800000,4,0.00002142
1757563200003,4,0.00005000
1757577600000,4,0.00005000
1757592000005,4,0.00005000
1757606400001,4,0.00005000
1757620800001,4,0.00005000
1757635200002,4,0.00005000
1757649600004,4,0.00005000
1757664000001,4,0.00005000
1757678400001,4,0.00005000
1757692800005,4,0.00005000
1757707200000,4,0.00005000
1757721600005,4,0.00005000
1757736000002,4,0.00005000
1757750400002,4,0.00005000
1757764800005,4,0.00005000
1757779200000,4,0.00005000
1757793600001,4,0.00005000
1757808000006,4,0.00005000
1757822400001,4,0.00005000
1757836800000,4,0.00005000
1757851200004,4,0.00005000
1757865600001,4,0.00005000
1757880000000,4,0.00005000
1757894400006,4,0.00005000
1757908800000,4,0.00005000
1757923200002,4,0.00005000
1757937600003,4,0.00004166
1757952000001,4,0.00003783
1757966400001,4,-0.00001170
1757980800001,4,0.00001427
1757995200000,4,0.00002635
1758009600000,4,0.00005000
1758024000002,4,0.00002721
1758038400000,4,0.00005000
1758052800004,4,0.00005000
1758067200001,4,0.00005000
1758081600004,4,0.00005000
1758096000000,4,0.00005000
1758110400000,4,0.00005000
1758124800003,4,0.00005000
1758139200000,4,0.00005000
1758153600006,4,0.00005000
1758168000001,4,0.00005000
1758182400002,4,0.00005000
1758196800000,4,0.00005000
1758211200000,4,0.00005000
1758225600008,4,0.00005000
1758240000000,4,0.00005000
1758254400003,4,0.00005000
1758268800005,4,0.00005000
1758283200000,4,0.00005000
1758297600000,4,0.00005000
1758312000004,4,0.00005000
1758326400000,4,0.00005000
1758340800000,4,0.00005000
1758355200000,4,0.00005000
1758369600008,4,0.00005000
1758384000002,4,0.00005000
1758398400000,4,0.00004306
1758412800000,4,0.00005000
1758427200002,4,0.00005000
1758441600000,4,0.00005000
1758456000002,4,0.00005000
1758470400000,4,0.00005000
1758484800000,4,0.00004650
1758499200005,4,0.00005000
1758513600000,4,-0.00000339
1758528000003,4,-0.00002192
1758542400005,4,-0.00002270
1758556800000,4,-0.00003994
1758571200001,4,-0.00002976
1758585600000,4,-0.00000955
1758600000012,4,-0.00000959
1758614400001,4,0.00002088
1758628800000,4,0.00005000
1758643200000,4,0.00005000
1758657600001,4,0.00005000
1758672000003,4,0.00001373
1758686400000,4,0.00001131
1758700800001,4,0.00005000
1758715200001,4,0.00005000
1758729600002,4,0.00000149
1758744000001,4,0.00001424
1758758400000,4,-0.00001367
1758772800000,4,-0.00000689
1758787200001,4,0.00000194
1758801600000,4,-1.0E-7
1758816000000,4,0.00000763
1758830400000,4,-0.00000581
1758844800000,4,0.00000725
1758859200002,4,-0.00001650
1758873600000,4,0.00000209
1758888000000,4,0.00003727
1758902400008,4,-0.00001679
1758916800005,4,0.00005000
1758931200000,4,0.00005000
1758945600000,4,0.00005000
1758960000010,4,0.00002530
1758974400003,4,0.00001278
1758988800003,4,0.00003437
1759003200002,4,0.00004507
1759017600000,4,0.00001799
1759032000002,4,0.00005000
1759046400000,4,0.00002816
1759060800000,4,0.00003465
1759075200000,4,-0.00000922
1759089600004,4,-0.00001590
1759104000000,4,0.00003742
1759118400000,4,0.00002492
1759132800002,4,0.00004338
1759147200000,4,0.00000716
1759161600001,4,-6.6E-7
1759176000000,4,0.00005000
1759190400002,4,0.00001951
1759204800000,4,0.00005000
1759219200005,4,0.00001145
1759233600000,4,0.00005000
1759248000000,4,0.00002336
1759262400000,4,0.00005000
