calc_time,funding_interval_hours,last_funding_rate
1633046400012,8,0.00010000
1633075200008,8,0.00007612
1633104000000,8,0.00000712
1633132800000,8,-0.00006665
1633161600002,8,0.00010000
1633190400011,8,0.00010000
1633219200019,8,0.00010000
1633248000011,8,0.00010000
1633276800004,8,0.00010000
1633305600004,8,0.00010000
1633334400000,8,0.00010000
1633363200000,8,0.00010000
1633392000007,8,0.00010000
1633420800007,8,0.00010000
1633449600004,8,0.00010000
1633478400002,8,0.00010000
1633507200000,8,0.00010000
1633536000003,8,0.00010000
1633564800007,8,0.00010000
1633593600002,8,0.00010000
1633622400000,8,0.00010000
1633651200011,8,0.00010000
1633680000003,8,0.00014929
1633708800002,8,0.00038945
1633737600006,8,0.00010000
1633766400003,8,0.00020696
1633795200000,8,0.00010000
1633824000000,8,0.00019431
1633852800008,8,0.00041253
1633881600000,8,0.00036412
1633910400002,8,0.00010000
1633939200001,8,0.00010000
1633968000006,8,0.00010000
1633996800008,8,0.00010000
1634025600013,8,0.00010000
1634054400003,8,0.00010000
1634083200003,8,0.00010000
1634112000015,8,0.00010000
1634140800000,8,0.00010000
1634169600011,8,0.00010000
1634198400017,8,0.00010000
1634227200000,8,0.00010000
1634256000005,8,0.00010000
1634284800002,8,0.00010000
1634313600005,8,0.00010000
1634342400009,8,0.00010000
1634371200000,8,0.00010000
1634400000003,8,0.00010000
1634428800001,8,0.00010000
1634457600002,8,0.00010000
1634486400002,8,0.00010000
1634515200006,8,0.00010000
1634544000004,8,0.00010000
1634572800001,8,0.00010000
1634601600002,8,0.00010000
1634630400000,8,0.00010000
1634659200000,8,0.00010000
1634688000017,8,0.00010000
1634716800004,8,0.00010000
1634745600020,8,0.00010000
1634774400000,8,0.00019343
1634803200000,8,0.00042506
1634832000008,8,0.00030292
1634860800005,8,0.00010000
1634889600005,8,0.00048076
1634918400018,8,0.00034155
1634947200005,8,0.00019782
1634976000001,8,0.00010476
1635004800004,8,0.00015032
1635033600006,8,0.00010000
1635062400012,8,0.00031063
1635091200001,8,0.00010000
1635120000012,8,0.00010000
1635148800002,8,0.00049224
1635177600022,8,0.00070962
1635206400005,8,0.00047695
1635235200016,8,0.00068551
1635264000000,8,0.00063417
1635292800004,8,0.00070430
1635321600000,8,0.00090123
1635350400002,8,0.00010000
1635379200002,8,0.00010000
1635408000000,8,0.00010000
1635436800005,8,0.00010000
1635465600000,8,0.00010000
1635494400007,8,0.00036205
1635523200001,8,0.00043152
1635552000000,8,0.00023694
1635580800001,8,0.00031399
1635609600013,8,0.00032899
1635638400008,8,0.00055562
1635667200010,8,0.00061086
1635696000001,8,0.00064186
