calc_time,funding_interval_hours,last_funding_rate
1772323200005,8,-0.00005679
1772352000000,8,0.00001708
1772380800002,8,-0.00025004
1772409600001,8,-0.00018268
1772438400007,8,-0.00028003
1772467200000,8,0.00010000
1772496000000,8,-0.00098693
1772524800000,8,-0.00052439
1772553600007,8,-0.00088622
1772582400001,8,-0.00044448
1772611200005,8,-0.00042571
1772640000000,8,-0.00007138
1772668800000,8,-0.00018709
1772697600000,8,-0.00107746
1772726400004,8,-0.00036143
1772755200001,8,-0.00022806
1772784000001,8,0.00010000
1772812800004,8,-0.00065388
1772841600001,8,-0.00053771
1772870400012,8,-0.00067961
1772899200001,8,-0.00008150
1772928000001,8,-0.00022252
1772956800000,8,-0.00031232
1772985600002,8,-0.00032781
1773014400000,8,-0.00030238
1773043200004,8,-0.00016198
1773072000003,8,-0.00082290
1773100800012,8,-0.00087723
1773129600002,8,-0.00022340
1773158400001,8,0.00003466
1773187200000,8,-0.00036723
1773216000007,8,-0.00030680
1773244800010,8,-0.00038147
1773273600000,8,-0.00051466
1773302400000,8,-0.00050843
1773331200000,8,-0.00020239
1773360000006,8,0.00010000
1773388800001,8,0.00010000
1773417600000,8,0.00003586
1773446400001,8,0.00010000
1773475200000,8,0.00001633
1773504000007,8,-0.00006716
1773532800000,8,-0.00000831
1773561600000,8,-0.00010409
1773590400000,8,0.00010000
1773619200000,8,0.00010000
1773648000010,8,0.00006296
1773676800000,8,-0.00003003
1773705600000,8,-0.00001094
1773734400002,8,-0.00020277
1773763200011,8,0.00003891
1773792000002,8,0.00010000
1773820800002,8,0.00010000
1773849600005,8,0.00006389
1773878400000,8,-7.5E-7
1773907200003,8,-0.00008711
1773936000003,8,-0.00003158
1773964800002,8,0.00005588
1773993600000,8,0.00010000
1774022400000,8,-0.00002919
1774051200000,8,0.00004552
1774080000000,8,0.00009763
1774108800014,8,0.00000668
1774137600012,8,-0.00001928
1774166400007,8,0.00003128
1774195200002,8,-0.00024898
1774224000000,8,-0.00016295
1774252800003,8,0.00006655
1774281600002,8,-0.00018197
1774310400000,8,-0.00035490
1774339200000,8,0.00001185
1774368000003,8,-0.00001911
1774396800000,8,-0.00016442
1774425600000,8,0.00010000
1774454400013,8,0.00006099
1774483200001,8,0.00002156
1774512000001,8,-0.00066383
1774540800000,8,-0.00032263
1774569600006,8,-0.00039909
1774598400000,8,0.00001730
1774627200000,8,-0.00008014
1774656000005,8,-0.00018859
1774684800005,8,-0.00013634
1774713600000,8,-0.00013013
1774742400003,8,-0.00011709
1774771200001,8,-0.00028182
1774800000000,8,-0.00038734
1774828800000,8,-0.00004561
1774857600005,8,0.00009981
1774886400000,8,0.00004308
1774915200000,8,-0.00017818
1774944000000,8,0.00002686
1774972800000,8,-0.00011142
