calc_time,funding_interval_hours,last_funding_rate
1606780800000,8,-0.00099685
1606809600003,8,-0.00089102
1606838400000,8,-0.00127810
1606867200001,8,-0.00140130
1606896000011,8,-0.00000174
1606924800005,8,-0.00109398
1606953600001,8,0.00010000
1606982400031,8,0.00010000
1607011200000,8,0.00010000
1607040000006,8,0.00010000
1607068800009,8,-0.00024496
1607097600000,8,-0.00111230
1607126400000,8,-0.00060138
1607155200000,8,0.00010000
1607184000000,8,-0.00001751
1607212800004,8,0.00010000
1607241600000,8,0.00010000
1607270400001,8,0.00010000
1607299200000,8,0.00010000
1607328000008,8,0.00010000
1607356800000,8,0.00010000
1607385600003,8,0.00010000
1607414400003,8,0.00010000
1607443200033,8,0.00010000
1607472000000,8,0.00000770
1607500800010,8,0.00010000
1607529600000,8,0.00001440
1607558400000,8,-0.00005839
1607587200000,8,0.00005504
1607616000007,8,-0.00079147
1607644800000,8,0.00010000
1607673600016,8,-0.00073541
1607702400010,8,0.00010000
1607731200009,8,0.00008023
1607760000002,8,-0.00234814
1607788800000,8,-0.00143339
1607817600007,8,-0.00173105
1607846400000,8,-0.00055675
1607875200000,8,-0.00072483
1607904000000,8,-0.00035996
1607932800000,8,-0.00009372
1607961600000,8,-0.00008654
1607990400006,8,-0.00046511
1608019200001,8,-0.00078310
1608048000000,8,-0.00056365
1608076800001,8,-0.00035194
1608105600000,8,0.00010000
1608134400000,8,0.00010000
1608163200000,8,0.00010000
1608192000000,8,0.00010000
1608220800011,8,0.00010000
1608249600000,8,0.00010000
1608278400000,8,0.00010000
1608307200000,8,0.00010000
1608336000000,8,0.00010000
1608364800018,8,0.00010000
1608393600000,8,0.00010000
1608422400001,8,0.00010000
1608451200011,8,0.00010000
1608480000023,8,0.00010000
1608508800011,8,0.00010000
1608537600000,8,0.00010000
1608566400000,8,0.00027015
1608595200001,8,0.00010000
1608624000006,8,0.00010000
1608652800000,8,0.00010000
1608681600000,8,-0.00004427
1608710400000,8,0.00010000
1608739200000,8,0.00010000
1608768000012,8,-0.00044413
1608796800009,8,-0.00049946
1608825600001,8,-0.00023132
1608854400000,8,-0.00041957
1608883200000,8,-0.00119000
1608912000000,8,-0.00128276
1608940800009,8,-0.00143412
1608969600001,8,-0.00120753
1608998400006,8,-0.00254219
1609027200000,8,-0.00101518
1609056000000,8,-0.00163498
1609084800001,8,-0.00071416
1609113600015,8,0.00009235
1609142400019,8,-0.00006254
1609171200000,8,-0.00078108
1609200000004,8,-0.00047250
1609228800003,8,-0.00169461
1609257600000,8,-0.00039761
1609286400001,8,-0.00045529
1609315200001,8,-0.00154578
1609344000012,8,-0.00112551
1609372800009,8,-0.00087230
1609401600000,8,-0.00095399
1609430400010,8,-0.00161978
