calc_time,funding_interval_hours,last_funding_rate
1748736000001,8,0.00002303
1748764800002,8,0.00005870
1748793600000,8,0.00004640
1748822400001,8,0.00003002
1748851200000,8,0.00007323
1748880000000,8,-0.00002094
1748908800000,8,0.00010000
1748937600000,8,0.00007659
1748966400001,8,0.00002182
1748995200000,8,0.00010000
1749024000000,8,0.00005285
1749052800000,8,0.00010000
1749081600016,8,0.00001596
1749110400000,8,0.00002775
1749139200000,8,0.00004269
1749168000002,8,-0.00015267
1749196800000,8,-0.00000302
1749225600006,8,-0.00000266
1749254400000,8,-0.00012047
1749283200000,8,-0.00005071
1749312000002,8,0.00006582
1749340800000,8,0.00005861
1749369600000,8,0.00009888
1749398400000,8,0.00010000
1749427200000,8,0.00008488
1749456000001,8,0.00003160
1749484800001,8,0.00010000
1749513600000,8,0.00010000
1749542400001,8,0.00010000
1749571200003,8,0.00010000
1749600000000,8,0.00010000
1749628800000,8,0.00010000
1749657600010,8,0.00010000
1749686400002,8,0.00010000
1749715200003,8,0.00010000
1749744000001,8,0.00010000
1749772800000,8,0.00004861
1749801600001,8,-0.00003837
1749830400004,8,0.00000431
1749859200000,8,0.00004087
1749888000000,8,0.00004339
1749916800000,8,0.00002329
1749945600005,8,0.00005786
1749974400009,8,0.00008528
1750003200000,8,0.00004705
1750032000000,8,0.00005960
1750060800000,8,0.00008648
1750089600003,8,0.00009017
1750118400000,8,0.00003772
1750147200006,8,0.00001832
1750176000001,8,0.00006289
1750204800001,8,0.00008981
1750233600001,8,0.00001135
1750262400001,8,-0.00005517
1750291200005,8,0.00004609
1750320000003,8,0.00010000
1750348800000,8,0.00008617
1750377600000,8,-0.00002812
1750406400002,8,0.00006714
1750435200001,8,-0.00000163
1750464000002,8,0.00002318
1750492800005,8,0.00001689
1750521600000,8,-0.00016339
1750550400005,8,-0.00005115
1750579200000,8,-0.00009947
1750608000003,8,-0.00000285
1750636800000,8,-0.00001592
1750665600004,8,0.00000923
1750694400013,8,0.00000174
1750723200003,8,0.00010000
1750752000000,8,0.00010000
1750780800000,8,0.00010000
1750809600005,8,0.00010000
1750838400000,8,-0.00019396
1750867200005,8,-0.00007672
1750896000000,8,-0.00010286
1750924800006,8,-0.00001905
1750953600007,8,0.00010000
1750982400000,8,0.00003036
1751011200000,8,0.00010000
1751040000009,8,0.00003456
1751068800001,8,0.00005631
1751097600002,8,0.00008504
1751126400000,8,0.00005223
1751155200004,8,0.00008903
1751184000001,8,0.00008977
1751212800001,8,-0.00001443
1751241600000,8,0.00010000
1751270400005,8,0.00001011
1751299200002,8,-0.00002644
