calc_time,funding_interval_hours,last_funding_rate
1772323200005,8,-0.00011219
1772352000000,8,0.00009468
1772380800002,8,0.00004986
1772409600001,8,0.00002953
1772438400007,8,0.00003003
1772467200000,8,0.00005124
1772496000000,8,0.00007948
1772524800000,8,-0.00000617
1772553600007,8,-0.00008933
1772582400001,8,0.00005749
1772611200005,8,-0.00007604
1772640000000,8,0.00004955
1772668800000,8,0.00010000
1772697600000,8,0.00006830
1772726400004,8,-0.00003509
1772755200001,8,0.00005234
1772784000001,8,-0.00002527
1772812800004,8,-0.00014979
1772841600001,8,-0.00007783
1772870400012,8,0.00001275
1772899200001,8,-0.00007863
1772928000001,8,-0.00001209
1772956800000,8,-0.00006871
1772985600002,8,-0.00000302
1773014400000,8,-0.00002666
1773043200004,8,0.00006142
1773072000003,8,0.00006384
1773100800012,8,0.00010000
1773129600002,8,-0.00001806
1773158400001,8,0.00010000
1773187200000,8,0.00001902
1773216000007,8,-0.00000446
1773244800010,8,0.00000809
1773273600000,8,0.00010000
1773302400000,8,0.00007572
1773331200000,8,0.00000528
1773360000006,8,0.00010000
1773388800001,8,0.00008046
1773417600000,8,0.00002470
1773446400001,8,-0.00002881
1773475200000,8,-0.00009176
1773504000007,8,-0.00003174
1773532800000,8,-0.00001063
1773561600000,8,0.00004273
1773590400000,8,-0.00001911
1773619200000,8,-0.00001645
1773648000010,8,0.00010000
1773676800000,8,0.00010000
1773705600000,8,0.00001799
1773734400002,8,0.00005953
1773763200011,8,-0.00003383
1773792000002,8,-0.00000547
1773820800002,8,0.00004111
1773849600005,8,-0.00005527
1773878400000,8,-0.00008726
1773907200003,8,-0.00000664
1773936000003,8,0.00002034
1773964800002,8,-0.00007173
1773993600000,8,-0.00006158
1774022400000,8,0.00002589
1774051200000,8,-0.00005741
1774080000000,8,-0.00000865
1774108800014,8,-0.00009958
1774137600012,8,-0.00007590
1774166400007,8,-0.00002389
1774195200002,8,-0.00000361
1774224000000,8,0.00001519
1774252800003,8,0.00004597
1774281600002,8,0.00000405
1774310400000,8,0.00007511
1774339200000,8,0.00000414
1774368000003,8,0.00001652
1774396800000,8,0.00008121
1774425600000,8,0.00008320
1774454400013,8,0.00002562
1774483200001,8,-0.00009411
1774512000001,8,-0.00006849
1774540800000,8,-0.00006396
1774569600006,8,-0.00012831
1774598400000,8,-0.00006891
1774627200000,8,-0.00010466
1774656000005,8,-0.00008662
1774684800005,8,-0.00008308
1774713600000,8,0.00002217
1774742400003,8,0.00000488
1774771200001,8,-0.00010008
1774800000000,8,-0.00009681
1774828800000,8,-0.00000819
1774857600005,8,0.00005961
1774886400000,8,0.00010000
1774915200000,8,0.00010000
1774944000000,8,0.00008211
1774972800000,8,0.00005930
