calc_time,funding_interval_hours,last_funding_rate
1609459200002,8,-0.00170279
1609488000006,8,-0.00167524
1609516800003,8,-0.00280825
1609545600000,8,-0.00016282
1609574400000,8,-0.00090487
1609603200006,8,0.00010000
1609632000018,8,-0.00043901
1609660800000,8,0.00010000
1609689600002,8,0.00010000
1609718400000,8,-0.00068567
1609747200000,8,0.00108343
1609776000000,8,-0.00116735
1609804800020,8,0.00005225
1609833600003,8,-0.00075458
1609862400003,8,-0.00066845
1609891200010,8,0.00010000
1609920000003,8,0.00010000
1609948800000,8,0.00021438
1609977600007,8,-0.00119501
1610006400000,8,0.00010000
1610035200004,8,0.00094160
1610064000000,8,-0.00000148
1610092800000,8,-0.00056477
1610121600000,8,0.00010000
1610150400009,8,-0.00056094
1610179200004,8,-0.00041208
1610208000000,8,0.00052732
1610236800000,8,0.00019618
1610265600005,8,0.00079017
1610294400000,8,0.00010000
1610323200000,8,-0.00050046
1610352000012,8,-0.00094081
1610380800000,8,-0.00069788
1610409600000,8,-0.00131614
1610438400000,8,-0.00048283
1610467200008,8,-0.00057878
1610496000001,8,-0.00078385
1610524800000,8,0.00003847
1610553600003,8,0.00010000
1610582400000,8,-0.00014906
1610611200012,8,-0.00010391
1610640000000,8,0.00010000
1610668800002,8,0.00010000
1610697600000,8,-0.00006596
1610726400004,8,0.00010000
1610755200000,8,-0.00107717
1610784000008,8,0.00010000
1610812800000,8,0.00032110
1610841600009,8,0.00010000
1610870400000,8,-0.00027433
1610899200001,8,0.00010000
1610928000000,8,0.00010000
1610956800004,8,-0.00007588
1610985600000,8,-0.00001160
1611014400000,8,-0.00030748
1611043200005,8,0.00010000
1611072000012,8,0.00010000
1611100800012,8,-0.00079132
1611129600001,8,-0.00065393
1611158400001,8,-0.00096493
1611187200000,8,-0.00091618
1611216000000,8,-0.00020294
1611244800004,8,-0.00041058
1611273600012,8,-0.00114857
1611302400003,8,-0.00127092
1611331200001,8,-0.00080056
1611360000000,8,-0.00059439
1611388800002,8,-0.00005933
1611417600000,8,-0.00088933
1611446400001,8,-0.00070760
1611475200011,8,-0.00018765
1611504000005,8,0.00006788
1611532800007,8,-0.00086939
1611561600012,8,0.00010000
1611590400000,8,0.00010000
1611619200007,8,0.00010000
1611648000000,8,-0.00016806
1611676800000,8,0.00010000
1611705600000,8,0.00004708
1611734400011,8,0.00010000
1611763200003,8,-0.00028538
1611792000000,8,0.00003224
1611820800000,8,0.00010000
1611849600000,8,0.00010000
1611878400009,8,0.00010000
1611907200000,8,0.00010000
1611936000000,8,-0.00020417
1611964800000,8,-0.00108585
1611993600000,8,-0.00022166
1612022400000,8,0.00010000
1612051200009,8,0.00010000
1612080000000,8,0.00010000
1612108800000,8,0.00010000
