calc_time,funding_interval_hours,last_funding_rate
1711929600000,4,0.00057392
1711944000000,4,0.00049065
1711958400000,4,0.00023682
1711972800000,4,0.00032100
1711987200000,4,0.00011041
1712001600000,4,0.00018541
1712016000007,4,0.00005363
1712030400000,4,0.00010674
1712044800015,4,0.00005000
1712059200000,4,0.00006037
1712073600000,4,0.00005884
1712088000000,4,0.00012094
1712102400000,4,0.00012063
1712116800000,4,0.00005000
1712131200000,4,0.00005000
1712145600000,4,0.00012300
1712160000000,4,0.00005000
1712174400000,4,0.00005000
1712188800000,4,0.00005000
1712203200000,4,0.00005000
1712217600000,4,0.00021257
1712232000000,4,0.00009891
1712246400000,4,0.00005000
1712260800000,4,0.00005000
1712275200000,4,0.00005000
1712289600000,4,0.00008280
1712304000000,4,0.00012837
1712318400000,4,0.00005000
1712332800000,4,0.00005000
1712347200000,4,0.00005071
1712361600000,4,0.00005000
1712376000000,4,0.00005000
1712390400000,4,0.00005000
1712404800000,4,0.00005000
1712419200000,4,0.00005000
1712433600000,4,0.00005000
1712448000000,4,0.00005000
1712462400000,4,0.00005000
1712476800000,4,0.00005000
1712491200001,4,0.00006320
1712505600000,4,0.00005000
1712520000000,4,0.00005000
1712534400001,4,0.00010790
1712548800000,4,0.00013271
1712563200000,4,0.00011040
1712577600000,4,0.00016094
1712592000006,4,0.00017544
1712606400001,4,0.00017858
1712620800000,4,0.00015651
1712635200000,4,0.00012993
1712649600001,4,0.00005000
1712664000000,4,0.00010064
1712678400001,4,0.00014504
1712692800000,4,0.00005000
1712707200000,4,0.00005000
1712721600000,4,0.00015593
1712736000001,4,0.00010436
1712750400002,4,0.00014349
1712764800000,4,0.00012904
1712779200000,4,0.00009791
1712793600000,4,0.00005000
1712808000001,4,0.00013591
1712822400000,4,0.00019126
1712836800000,4,0.00025268
1712851200000,4,0.00022441
1712865600000,4,0.00021162
1712880000000,4,0.00021704
1712894400000,4,0.00012314
1712908800001,4,0.00014280
1712923200000,4,0.00016672
1712937600000,4,0.00011723
1712952000000,4,0.00005000
1712966400000,4,0.00001097
1712980800000,4,0.00005000
1712995200000,4,0.00005000
1713009600000,4,0.00005000
1713024000001,4,0.00005000
1713038400001,4,-0.00001752
1713052800000,4,-0.00008395
1713067200000,4,0.00005000
1713081600000,4,-0.00016026
1713096000000,4,0.00005000
1713110400000,4,0.00005000
1713124800000,4,0.00002891
1713139200000,4,0.00002300
1713153600000,4,0.00000399
1713168000001,4,-0.00014085
1713182400000,4,-0.00025143
1713196800000,4,-0.00016739
1713211200000,4,-0.00005618
1713225600001,4,-0.00027528
1713240000000,4,-0.00020011
1713254400000,4,-0.00032539
1713268800000,4,-0.00018383
1713283200000,4,-0.00018904
1713297600000,4,-0.00044165
1713312000000,4,-0.00015831
1713326400001,4,0.00005000
1713340800000,4,-0.00001604
1713355200000,4,0.00005000
1713369600000,4,0.00005000
1713384000000,4,0.00001039
1713398400000,4,-0.00003174
1713412800000,4,-0.00004232
1713427200000,4,0.00001204
1713441600002,4,-0.00015970
1713456000000,4,-0.00032063
1713470400000,4,-0.00034866
1713484800001,4,-0.00028527
1713499200000,4,-0.00013274
1713513600000,4,-0.00016165
1713528000001,4,0.00005000
1713542400000,4,0.00005000
1713556800000,4,0.00004511
1713571200000,4,0.00005000
1713585600001,4,-0.00013408
1713600000000,4,-0.00007049
1713614400001,4,-0.00005040
1713628800000,4,0.00000952
1713643200001,4,-0.00006353
1713657600000,4,-0.00007058
1713672000000,4,-0.00013782
1713686400000,4,-0.00000173
1713700800000,4,-0.00010429
1713715200000,4,0.00005000
1713729600000,4,0.00005000
1713744000000,4,-0.00002408
1713758400000,4,-0.00010516
1713772800000,4,-0.00046100
1713787200000,4,-0.00012579
1713801600000,4,0.00001603
1713816000000,4,-0.00011894
1713830400000,4,-0.00005741
1713844800000,4,-0.00004643
1713859200000,4,-0.00000599
1713873600000,4,-0.00020645
1713888000001,4,-0.00001126
1713902400000,4,0.00005000
1713916800000,4,-0.00010293
1713931200000,4,0.00000219
1713945600000,4,0.00005000
1713960000000,4,0.00005000
1713974400000,4,0.00005000
1713988800000,4,0.00005000
1714003200000,4,0.00005000
1714017600000,4,0.00002164
1714032000000,4,-0.00001259
1714046400000,4,0.00005000
1714060800010,4,0.00005000
1714075200000,4,0.00000631
1714089600001,4,-0.00003552
1714104000000,4,0.00001020
1714118400000,4,0.00005000
1714132800000,4,0.00005000
1714147200000,4,0.00000819
1714161600000,4,0.00005000
1714176000000,4,0.00003314
1714190400000,4,0.00005000
1714204800001,4,0.00005000
1714219200000,4,0.00005000
1714233600000,4,0.00001132
1714248000000,4,0.00003586
1714262400000,4,0.00000391
1714276800000,4,-0.00001050
1714291200000,4,-0.00002600
1714305600000,4,0.00005000
1714320000000,4,0.00002238
1714334400000,4,0.00005000
1714348800000,4,0.00005000
1714363200000,4,0.00005000
1714377600000,4,0.00005000
1714392000000,4,0.00002974
1714406400000,4,0.00004240
1714420800000,4,0.00000979
1714435200000,4,0.00001576
1714449600000,4,-0.00004296
1714464000000,4,-0.00001106
1714478400000,4,0.00005000
1714492800000,4,0.00005000
1714507200000,4,0.00004794
