calc_time,funding_interval_hours,last_funding_rate
1714521600000,8,0.00010000
1714550400000,8,0.00005844
1714579200000,8,0.00010000
1714608000000,8,0.00010000
1714636800000,8,-0.00000461
1714665600002,8,0.00007127
1714694400000,8,-0.00011208
1714723200000,8,-0.00006199
1714752000000,8,0.00009465
1714780800000,8,0.00010000
1714809600000,8,0.00001568
1714838400000,8,0.00006872
1714867200000,8,-0.00004910
1714896000000,8,-0.00007571
1714924800000,8,-0.00006082
1714953600000,8,-5.1E-7
1714982400000,8,0.00010000
1715011200000,8,-0.00012829
1715040000000,8,-0.00017519
1715068800000,8,-0.00011856
1715097600000,8,0.00010000
1715126400000,8,0.00006915
1715155200000,8,0.00004544
1715184000000,8,0.00010000
1715212800000,8,0.00010000
1715241600000,8,0.00010000
1715270400000,8,0.00006105
1715299200000,8,-0.00020195
1715328000000,8,0.00009302
1715356800000,8,0.00003285
1715385600000,8,-0.00000141
1715414400000,8,0.00009602
1715443200000,8,-0.00003143
1715472000000,8,0.00010000
1715500800000,8,0.00010000
1715529600000,8,0.00000273
1715558400001,8,0.00010000
1715587200001,8,0.00003456
1715616000000,8,0.00000785
1715644800000,8,0.00010000
1715673600000,8,0.00001999
1715702400000,8,0.00010000
1715731200000,8,0.00010000
1715760000000,8,0.00005134
1715788800000,8,0.00002056
1715817600004,8,-0.00009042
1715846400000,8,0.00008453
1715875200000,8,0.00006432
1715904000000,8,0.00010000
1715932800000,8,-0.00013047
1715961600000,8,0.00002701
1715990400000,8,-0.00021306
1716019200000,8,-0.00016213
1716048000000,8,-0.00018452
1716076800000,8,-0.00014734
1716105600000,8,-0.00015125
1716134400000,8,-0.00042255
1716163200000,8,0.00001332
1716192000000,8,-0.00002933
1716220800003,8,0.00003507
1716249600000,8,0.00010000
1716278400001,8,0.00010000
1716307200000,8,0.00010000
1716336000000,8,0.00010000
1716364800000,8,0.00010000
1716393600000,8,-0.00033074
1716422400000,8,-0.00042049
1716451200000,8,-0.00022064
1716480000000,8,-0.00059124
1716508800000,8,-0.00009312
1716537600000,8,-0.00003451
1716566400000,8,0.00010000
1716595200000,8,0.00010000
1716624000000,8,0.00010000
1716652800000,8,-0.00018464
1716681600000,8,-0.00001081
1716710400000,8,0.00002949
1716739200000,8,0.00010000
1716768000000,8,-0.00020642
1716796800000,8,-0.00013007
1716825600000,8,0.00005373
1716854400000,8,0.00005433
1716883200000,8,-0.00043130
1716912000000,8,0.00010000
1716940800001,8,0.00010000
1716969600000,8,0.00010000
1716998400000,8,0.00010000
1717027200000,8,0.00010000
1717056000000,8,0.00010000
1717084800000,8,0.00010000
1717113600000,8,0.00010000
1717142400000,8,0.00010000
1717171200000,8,0.00010000
