calc_time,funding_interval_hours,last_funding_rate
1654041600000,8,0.00010000
1654070400011,8,0.00009850
1654099200000,8,0.00008467
1654128000000,8,-0.00005105
1654156800006,8,0.00007643
1654185600021,8,0.00008900
1654214400016,8,0.00008514
1654243200016,8,0.00008760
1654272000012,8,-0.00000490
1654300800005,8,0.00010000
1654329600000,8,0.00010000
1654358400007,8,0.00010000
1654387200005,8,0.00010000
1654416000015,8,0.00010000
1654444800000,8,0.00003760
1654473600000,8,7.7E-7
1654502400017,8,0.00010000
1654531200000,8,0.00001836
1654560000000,8,0.00010000
1654588800011,8,0.00000562
1654617600000,8,0.00009597
1654646400008,8,0.00010000
1654675200020,8,0.00003723
1654704000012,8,0.00010000
1654732800000,8,0.00010000
1654761600000,8,-0.00002399
1654790400000,8,0.00010000
1654819200009,8,0.00010000
1654848000000,8,0.00010000
1654876800006,8,-0.00003030
1654905600018,8,-0.00017546
1654934400014,8,-0.00003253
1654963200000,8,-0.00031672
1654992000015,8,-0.00009171
1655020800019,8,-0.00005989
1655049600010,8,-0.00016470
1655078400009,8,-0.00009626
1655107200000,8,-0.00042157
1655136000007,8,-0.00012118
1655164800013,8,-0.00004042
1655193600008,8,-0.00005057
1655222400006,8,0.00000596
1655251200000,8,-0.00021277
1655280000016,8,-0.00029273
1655308800008,8,-0.00015649
1655337600009,8,0.00010000
1655366400016,8,0.00009512
1655395200000,8,-0.00003834
1655424000008,8,0.00006926
1655452800003,8,0.00007837
1655481600000,8,0.00007736
1655510400020,8,0.00007803
1655539200025,8,0.00004639
1655568000014,8,0.00002507
1655596800012,8,0.00006756
1655625600012,8,0.00000930
1655654400008,8,0.00010000
1655683200016,8,0.00010000
1655712000000,8,0.00010000
1655740800013,8,0.00010000
1655769600012,8,0.00010000
1655798400018,8,0.00010000
1655827200010,8,0.00010000
1655856000000,8,0.00007410
1655884800001,8,0.00010000
1655913600012,8,0.00001766
1655942400000,8,0.00008976
1655971200000,8,-0.00002819
1656000000016,8,-0.00011669
1656028800005,8,-0.00002471
1656057600004,8,0.00002949
1656086400018,8,0.00006508
1656115200001,8,-0.00010046
1656144000010,8,0.00009999
1656172800000,8,0.00006669
1656201600002,8,0.00010000
1656230400016,8,0.00008740
1656259200006,8,0.00010000
1656288000008,8,-0.00001277
1656316800000,8,0.00008813
1656345600016,8,0.00008119
1656374400016,8,-0.00003459
1656403200001,8,-0.00003389
1656432000005,8,-0.00020414
1656460800000,8,-0.00018631
1656489600013,8,0.00010000
1656518400000,8,-0.00005695
1656547200000,8,-0.00009251
1656576000000,8,-0.00007693
1656604800000,8,0.00010000
