calc_time,funding_interval_hours,last_funding_rate
1701388800000,8,0.00010000
1701417600000,8,0.00010000
1701446400000,8,0.00010000
1701475200000,8,0.00010000
1701504000000,8,0.00010000
1701532800000,8,0.00021404
1701561600000,8,0.00022519
1701590400000,8,0.00024915
1701619200000,8,0.00020960
1701648000000,8,0.00026183
1701676800000,8,0.00056896
1701705600000,8,0.00010000
1701734400000,8,0.00028761
1701763200000,8,0.00037302
1701792000000,8,0.00010000
1701820800000,8,0.00031820
1701849600000,8,0.00025932
1701878400000,8,0.00010000
1701907200000,8,0.00026847
1701936000000,8,0.00010000
1701964800000,8,0.00016698
1701993600000,8,0.00032323
1702022400000,8,0.00012518
1702051200000,8,0.00033908
1702080000000,8,0.00025321
1702108800000,8,0.00046057
1702137600000,8,0.00036225
1702166400000,8,0.00045253
1702195200000,8,0.00032906
1702224000000,8,0.00012877
1702252800000,8,0.00042931
1702281600000,8,0.00018839
1702310400000,8,0.00010000
1702339200000,8,0.00010000
1702368000000,8,0.00010000
1702396800000,8,0.00012624
1702425600000,8,0.00018967
1702454400000,8,0.00010000
1702483200001,8,0.00010000
1702512000000,8,0.00010000
1702540800000,8,0.00016244
1702569600000,8,0.00010000
1702598400000,8,0.00010000
1702627200000,8,0.00033481
1702656000000,8,0.00038817
1702684800000,8,0.00023787
1702713600000,8,0.00034630
1702742400001,8,0.00029142
1702771200000,8,0.00025006
1702800000000,8,0.00010000
1702828800000,8,0.00027134
1702857600000,8,0.00028474
1702886400001,8,0.00014112
1702915200000,8,0.00010000
1702944000000,8,0.00010000
1702972800000,8,0.00013416
1703001600000,8,0.00010520
1703030400000,8,0.00010000
1703059200000,8,0.00010000
1703088000000,8,0.00010000
1703116800000,8,0.00041605
1703145600000,8,0.00010000
1703174400000,8,0.00015716
1703203200000,8,0.00018691
1703232000000,8,0.00026780
1703260800000,8,0.00034969
1703289600000,8,0.00039801
1703318400001,8,0.00026847
1703347200000,8,0.00020684
1703376000000,8,0.00041388
1703404800000,8,0.00033079
1703433600000,8,0.00015481
1703462400000,8,0.00010000
1703491200000,8,0.00038899
1703520000000,8,0.00050575
1703548800000,8,0.00026033
1703577600000,8,0.00022512
1703606400000,8,0.00034117
1703635200000,8,0.00026406
1703664000000,8,0.00034999
1703692800000,8,0.00046250
1703721600000,8,0.00045344
1703750400000,8,0.00038419
1703779200000,8,0.00032662
1703808000001,8,0.00040844
1703836800000,8,0.00047346
1703865600000,8,0.00033152
1703894400001,8,0.00012029
1703923200000,8,0.00040920
1703952000000,8,0.00033481
1703980800000,8,0.00035218
1704009600001,8,0.00012643
1704038400000,8,0.00015450
