calc_time,funding_interval_hours,last_funding_rate
1654041600000,8,-0.00589143
1654070400011,8,-0.00692636
1654099200000,8,-0.00371737
1654128000000,8,-0.00356777
1654156800006,8,-0.00424817
1654185600021,8,-0.00548975
1654214400016,8,-0.00332812
1654243200016,8,-0.00292622
1654272000012,8,-0.00688807
1654300800005,8,-0.00215540
1654329600000,8,-0.00181810
1654358400007,8,-0.00355582
1654387200005,8,-0.00314037
1654416000015,8,-0.00311321
1654444800000,8,-0.00186327
1654473600000,8,-0.00259969
1654502400017,8,-0.00177021
1654531200000,8,-0.00225393
1654560000000,8,-0.00151299
1654588800011,8,-0.00164512
1654617600000,8,-0.00237427
1654646400008,8,-0.00195446
1654675200020,8,-0.00207337
1654704000012,8,-0.00153861
1654732800000,8,-0.00149333
1654761600000,8,-0.00138435
1654790400000,8,-0.00137662
1654819200009,8,-0.00064212
1654848000000,8,-0.00126244
1654876800006,8,-0.00146134
1654905600018,8,-0.00103600
1654934400014,8,-0.00083575
1654963200000,8,-0.00127393
1654992000015,8,-0.00062904
1655020800019,8,-0.00167027
1655049600010,8,-0.00109256
1655078400009,8,-0.00093013
1655107200000,8,-0.00143772
1655136000007,8,-0.00096303
1655164800013,8,-0.00104496
1655193600008,8,-0.00063704
1655222400006,8,-0.00059673
1655251200000,8,-0.00103822
1655280000016,8,-0.00095537
1655308800008,8,-0.00052737
1655337600009,8,-0.00054867
1655366400016,8,-0.00037508
1655395200000,8,-0.00133616
1655424000008,8,-0.00099431
1655452800003,8,-0.00058088
1655481600000,8,-0.00202410
1655510400020,8,-0.00021172
1655539200025,8,-0.00124060
1655568000014,8,-0.00044884
1655596800012,8,-0.00052144
1655625600012,8,-0.00040853
1655654400008,8,-0.00027689
1655683200016,8,-0.00018258
1655712000000,8,-0.00029991
1655740800013,8,-0.00002814
1655769600012,8,-0.00037011
1655798400018,8,-0.00004292
1655827200010,8,-0.00187816
1655856000000,8,0.00005236
1655884800001,8,-0.00028081
1655913600012,8,-0.00042315
1655942400000,8,-0.00001635
1655971200000,8,-0.00043184
1656000000016,8,-0.00004658
1656028800005,8,0.00006577
1656057600004,8,-0.00000488
1656086400018,8,-0.00005911
1656115200001,8,-0.00003601
1656144000010,8,0.00005080
1656172800000,8,-0.00023949
1656201600002,8,-0.00011619
1656230400016,8,-0.00009859
1656259200006,8,-0.00029700
1656288000008,8,-0.00043699
1656316800000,8,-0.00009309
1656345600016,8,-0.00009778
1656374400016,8,-0.00045075
1656403200001,8,-0.00027859
1656432000005,8,-0.00029475
1656460800000,8,-0.00037834
1656489600013,8,-0.00024983
1656518400000,8,-0.00033102
1656547200000,8,-0.00022131
1656576000000,8,-0.00026650
1656604800000,8,-0.00016035
