calc_time,funding_interval_hours,last_funding_rate
1748736000001,8,0.00006600
1748764800002,8,-0.00008881
1748793600000,8,0.00008511
1748822400001,8,-0.00011772
1748851200000,8,0.00004681
1748880000000,8,0.00006193
1748908800000,8,0.00005327
1748937600000,8,0.00000977
1748966400001,8,0.00003519
1748995200000,8,0.00010000
1749024000000,8,0.00009045
1749052800000,8,0.00004844
1749081600016,8,0.00009423
1749110400000,8,0.00000764
1749139200000,8,0.00006499
1749168000002,8,-0.00017322
1749196800000,8,-0.00018916
1749225600006,8,-0.00010847
1749254400000,8,0.00000322
1749283200000,8,0.00005447
1749312000002,8,0.00010000
1749340800000,8,-0.00002263
1749369600000,8,0.00009832
1749398400000,8,0.00006254
1749427200000,8,0.00001580
1749456000001,8,0.00009999
1749484800001,8,0.00005696
1749513600000,8,0.00009037
1749542400001,8,-0.00010219
1749571200003,8,0.00004899
1749600000000,8,0.00010000
1749628800000,8,0.00010000
1749657600010,8,0.00009243
1749686400002,8,-0.00009159
1749715200003,8,-0.00026833
1749744000001,8,-0.00024323
1749772800000,8,-0.00036370
1749801600001,8,-0.00033284
1749830400004,8,-0.00018659
1749859200000,8,-0.00000563
1749888000000,8,-0.00005964
1749916800000,8,0.00010000
1749945600005,8,0.00010000
1749974400009,8,0.00000666
1750003200000,8,0.00009901
1750032000000,8,0.00008126
1750060800000,8,0.00002888
1750089600003,8,0.00007691
1750118400000,8,0.00010000
1750147200006,8,-0.00000570
1750176000001,8,0.00010000
1750204800001,8,0.00010000
1750233600001,8,0.00005653
1750262400001,8,-0.00003433
1750291200005,8,-0.00011142
1750320000003,8,-0.00007725
1750348800000,8,-0.00017099
1750377600000,8,0.00004659
1750406400002,8,0.00005756
1750435200001,8,-0.00002774
1750464000002,8,-0.00005774
1750492800005,8,-0.00019863
1750521600000,8,-0.00006554
1750550400005,8,-0.00026087
1750579200000,8,-0.00010181
1750608000003,8,0.00007667
1750636800000,8,-0.00013528
1750665600004,8,0.00000396
1750694400013,8,-0.00005229
1750723200003,8,0.00010000
1750752000000,8,-0.00011494
1750780800000,8,0.00009883
1750809600005,8,0.00001632
1750838400000,8,0.00002407
1750867200005,8,-0.00003347
1750896000000,8,0.00003976
1750924800006,8,-0.00009674
1750953600007,8,0.00001654
1750982400000,8,0.00000361
1751011200000,8,-0.00008503
1751040000009,8,0.00000324
1751068800001,8,0.00002368
1751097600002,8,-0.00016354
1751126400000,8,0.00010000
1751155200004,8,0.00010000
1751184000001,8,0.00008537
1751212800001,8,0.00010000
1751241600000,8,0.00010000
1751270400005,8,-0.00000404
1751299200002,8,0.00003282
