calc_time,funding_interval_hours,last_funding_rate
1693526400000,8,-0.00016315
1693555200000,8,-0.00008697
1693584000001,8,-0.00004551
1693612800000,8,-0.00004722
1693641600000,8,0.00005146
1693670400000,8,-0.00007779
1693699200000,8,-0.00009975
1693728000000,8,-0.00011474
1693756800000,8,-0.00033981
1693785600000,8,-0.00020113
1693814400000,8,-0.00036525
1693843200000,8,-0.00013229
1693872000000,8,-0.00012658
1693900800000,8,-0.00022763
1693929600000,8,-0.00006356
1693958400000,8,-0.00011181
1693987200000,8,0.00000350
1694016000001,8,-0.00006950
1694044800000,8,0.00009337
1694073600000,8,0.00003575
1694102400000,8,0.00007448
1694131200000,8,0.00002561
1694160000000,8,-0.00003696
1694188800000,8,0.00002181
1694217600000,8,-0.00006391
1694246400000,8,-0.00007692
1694275200000,8,-0.00006129
1694304000000,8,-0.00013155
1694332800000,8,0.00003510
1694361600000,8,-0.00010590
1694390400000,8,-0.00012616
1694419200000,8,-0.00012917
1694448000001,8,-0.00003967
1694476800000,8,-0.00005230
1694505600000,8,0.00001930
1694534400000,8,-0.00014443
1694563200000,8,-0.00004085
1694592000000,8,-0.00010808
1694620800000,8,-0.00014382
1694649600000,8,-0.00007822
1694678400001,8,-0.00016748
1694707200000,8,-0.00015748
1694736000000,8,-0.00016193
1694764800000,8,-0.00002065
1694793600000,8,0.00010000
1694822400000,8,0.00005068
1694851200000,8,0.00003896
1694880000000,8,-0.00006363
1694908800000,8,0.00001984
1694937600000,8,-0.00007197
1694966400000,8,0.00005094
1694995200000,8,-0.00000437
1695024000000,8,0.00002362
1695052800000,8,0.00002976
1695081600000,8,0.00002710
1695110400001,8,0.00006295
1695139200000,8,-0.00002677
1695168000000,8,-0.00001453
1695196800000,8,0.00000531
1695225600000,8,0.00003991
1695254400001,8,0.00001996
1695283200000,8,-0.00003529
1695312000000,8,-0.00019736
1695340800000,8,-0.00004926
1695369600000,8,-0.00005059
1695398400000,8,0.00008665
1695427200000,8,-0.00005894
1695456000000,8,-0.00006539
1695484800000,8,-0.00006154
1695513600000,8,0.00005903
1695542400000,8,0.00002941
1695571200000,8,0.00000468
1695600000000,8,-0.00007128
1695628800000,8,0.00008467
1695657600000,8,0.00005403
1695686400000,8,-0.00014931
1695715200000,8,-0.00006817
1695744000000,8,-0.00004766
1695772800000,8,0.00001221
1695801600001,8,0.00007550
1695830400000,8,0.00010000
1695859200000,8,-0.00002670
1695888000000,8,0.00010000
1695916800000,8,0.00010000
1695945600000,8,0.00010000
1695974400000,8,0.00010000
1696003200000,8,-0.00008031
1696032000000,8,0.00006401
1696060800000,8,-0.00025624
1696089600000,8,-0.00015783
