calc_time,funding_interval_hours,last_funding_rate
1740787200000,8,0.00007132
1740816000000,8,-0.00008628
1740844800001,8,0.00004266
1740873600000,8,-0.00003206
1740902400000,8,-0.00002393
1740931200000,8,0.00008254
1740960000001,8,0.00010000
1740988800000,8,0.00010000
1741017600000,8,-0.00003839
1741046400001,8,0.00000276
1741075200005,8,-0.00000967
1741104000000,8,-0.00002900
1741132800000,8,-0.00010917
1741161600000,8,-0.00004269
1741190400000,8,-0.00013093
1741219200000,8,-0.00000754
1741248000001,8,-0.00004183
1741276800000,8,-0.00000399
1741305600000,8,-0.00008582
1741334400001,8,-0.00010895
1741363200000,8,-0.00003651
1741392000000,8,-0.00005909
1741420800001,8,-0.00001749
1741449600001,8,-0.00001761
1741478400001,8,-0.00011864
1741507200000,8,-0.00000102
1741536000000,8,0.00001892
1741564800000,8,-0.00016329
1741593600000,8,-0.00003899
1741622400000,8,-0.00015204
1741651200000,8,-0.00013574
1741680000000,8,-0.00007108
1741708800001,8,0.00004070
1741737600000,8,-0.00004737
1741766400000,8,-0.00002007
1741795200001,8,-0.00015732
1741824000000,8,0.00003796
1741852800000,8,-0.00002009
1741881600000,8,-0.00006634
1741910400000,8,-0.00007369
1741939200000,8,-0.00003884
1741968000000,8,0.00004499
1741996800000,8,0.00000383
1742025600000,8,0.00004939
1742054400000,8,-0.00007309
1742083200000,8,-0.00009409
1742112000000,8,0.00001638
1742140800000,8,0.00001184
1742169600000,8,-0.00000944
1742198400000,8,0.00001627
1742227200000,8,-0.00007039
1742256000000,8,-0.00004225
1742284800000,8,-0.00017624
1742313600000,8,-0.00010180
1742342400000,8,-0.00019936
1742371200000,8,-0.00004486
1742400000000,8,-0.00003043
1742428800000,8,0.00004050
1742457600000,8,0.00004884
1742486400000,8,-0.00006205
1742515200000,8,-0.00001479
1742544000000,8,0.00002410
1742572800000,8,-0.00002294
1742601600000,8,-0.00001141
1742630400004,8,0.00001407
1742659200000,8,-0.00013436
1742688000000,8,-0.00009094
1742716800000,8,0.00009832
1742745600000,8,-0.00000680
1742774400000,8,0.00000755
1742803200000,8,0.00008766
1742832000000,8,-0.00000899
1742860800001,8,0.00008079
1742889600000,8,0.00004816
1742918400000,8,0.00006366
1742947200000,8,0.00003516
1742976000000,8,0.00007037
1743004800001,8,-0.00005084
1743033600001,8,-0.00017691
1743062400001,8,-0.00013625
1743091200002,8,-0.00012209
1743120000001,8,0.00002994
1743148800001,8,-0.00000892
1743177600000,8,-0.00005613
1743206400000,8,-0.00018043
1743235200000,8,-0.00001932
1743264000000,8,-0.00007694
1743292800000,8,-0.00005931
1743321600000,8,-0.00026293
1743350400000,8,-0.00004218
1743379200000,8,-0.00012916
1743408000000,8,-0.00010085
1743436800000,8,-0.00010850
