calc_time,funding_interval_hours,last_funding_rate
1617235200025,8,0.00165571
1617264000011,8,0.00129840
1617292800004,8,0.00143856
1617321600000,8,0.00098416
1617350400000,8,0.00128028
1617379200000,8,0.00151469
1617408000003,8,0.00243914
1617436800000,8,0.00220662
1617465600000,8,0.00220134
1617494400000,8,0.00056533
1617523200000,8,0.00074741
1617552000016,8,0.00027410
1617580800000,8,0.00107217
1617609600001,8,0.00151934
1617638400001,8,0.00208662
1617667200010,8,0.00235599
1617696000000,8,0.00215193
1617724800003,8,0.00208631
1617753600000,8,0.00096684
1617782400006,8,0.00135819
1617811200004,8,0.00052011
1617840000013,8,0.00049831
1617868800003,8,0.00050160
1617897600005,8,0.00050275
1617926400000,8,0.00086479
1617955200004,8,0.00105024
1617984000004,8,0.00098541
1618012800011,8,0.00073286
1618041600005,8,0.00184447
1618070400000,8,0.00129586
1618099200004,8,0.00099352
1618128000000,8,0.00135183
1618156800000,8,0.00216315
1618185600001,8,0.00183157
1618214400001,8,0.00264208
1618243200008,8,0.00179321
1618272000003,8,0.00179940
1618300800008,8,0.00203107
1618329600008,8,0.00259604
1618358400008,8,0.00291353
1618387200000,8,0.00408405
1618416000012,8,0.00121331
1618444800006,8,0.00123987
1618473600000,8,0.00151793
1618502400008,8,0.00290799
1618531200008,8,0.00189445
1618560000000,8,0.00209107
1618588800002,8,0.00178900
1618617600008,8,0.00172001
1618646400000,8,0.00261831
1618675200001,8,0.00201388
1618704000006,8,0.00127631
1618732800004,8,0.00010000
1618761600000,8,0.00010000
1618790400000,8,0.00010000
1618819200000,8,0.00010000
1618848000009,8,0.00010000
1618876800004,8,0.00010000
1618905600000,8,0.00010000
1618934400001,8,0.00010000
1618963200013,8,0.00010000
1618992000001,8,0.00010000
1619020800002,8,0.00010000
1619049600000,8,0.00010000
1619078400000,8,0.00010000
1619107200001,8,0.00016750
1619136000002,8,0.00010000
1619164800009,8,0.00005526
1619193600001,8,-0.00010555
1619222400019,8,0.00010000
1619251200001,8,0.00010000
1619280000011,8,0.00010000
1619308800000,8,0.00010000
1619337600010,8,0.00010000
1619366400000,8,0.00010000
1619395200003,8,0.00010000
1619424000002,8,-0.00038306
1619452800004,8,0.00010000
1619481600000,8,0.00010000
1619510400000,8,0.00010000
1619539200009,8,0.00007502
1619568000000,8,0.00010000
1619596800000,8,0.00017384
1619625600001,8,0.00010000
1619654400004,8,0.00010000
1619683200013,8,0.00010000
1619712000003,8,0.00010000
1619740800004,8,0.00010000
1619769600019,8,0.00010000
1619798400003,8,0.00010000
