calc_time,funding_interval_hours,last_funding_rate
1602835200003,8,-0.00246122
1602864000000,8,0.00010000
1602892800006,8,0.00010000
1602921600007,8,0.00010000
1602950400009,8,0.00010000
1602979200006,8,0.00010000
1603008000000,8,0.00010000
1603036800000,8,0.00010000
1603065600000,8,0.00010000
1603094400000,8,0.00010000
1603123200000,8,0.00010000
1603152000015,8,0.00010000
1603180800000,8,0.00010000
1603209600008,8,0.00010000
1603238400009,8,0.00010000
1603267200004,8,0.00010000
1603296000000,8,0.00010000
1603324800000,8,0.00010000
1603353600000,8,0.00010000
1603382400004,8,0.00010000
1603411200007,8,-0.00117398
1603440000000,8,-0.00025352
1603468800000,8,0.00010000
1603497600000,8,-0.00087502
1603526400000,8,-0.00038817
1603555200008,8,0.00010000
1603584000005,8,0.00010000
1603612800014,8,0.00010000
1603641600000,8,0.00010000
1603670400004,8,0.00010000
1603699200000,8,0.00010000
1603728000000,8,0.00010000
1603756800000,8,0.00010000
1603785600000,8,0.00010000
1603814400000,8,0.00010000
1603843200000,8,0.00042733
1603872000006,8,0.00010000
1603900800001,8,0.00010000
1603929600000,8,0.00027867
1603958400000,8,0.00010000
1603987200000,8,0.00010000
1604016000000,8,0.00010000
1604044800002,8,0.00010000
1604073600002,8,0.00010000
1604102400003,8,-0.00014932
1604131200000,8,0.00010000
1604160000000,8,0.00010000
1604188800000,8,0.00010000
1604217600000,8,0.00010000
1604246400000,8,0.00010000
1604275200000,8,0.00010000
1604304000010,8,0.00010000
1604332800000,8,0.00010000
1604361600000,8,0.00010000
1604390400004,8,0.00010000
1604419200009,8,0.00010000
1604448000000,8,0.00010000
1604476800000,8,0.00010000
1604505600005,8,-0.00008107
1604534400017,8,-0.00061505
1604563200001,8,0.00010000
1604592000000,8,-0.00028575
1604620800000,8,-0.00017203
1604649600001,8,-0.00048021
1604678400001,8,-0.00191406
1604707200001,8,0.00010000
1604736000000,8,0.00010000
1604764800006,8,0.00005106
1604793600000,8,0.00008488
1604822400000,8,-0.00093738
1604851200000,8,-0.00129378
1604880000007,8,-0.00033943
1604908800001,8,-0.00147000
1604937600002,8,-0.00001829
1604966400003,8,0.00010000
1604995200011,8,-0.00099430
1605024000000,8,-0.00242341
1605052800000,8,-0.00067921
1605081600009,8,0.00043106
1605110400003,8,0.00027496
1605139200001,8,0.00054460
1605168000001,8,0.00010000
1605196800000,8,0.00024665
1605225600000,8,0.00058356
1605254400000,8,0.00010000
1605283200000,8,-0.00131245
1605312000005,8,0.00010000
1605340800004,8,0.00010000
1605369600001,8,0.00010000
1605398400001,8,0.00010000
1605427200000,8,0.00010000
1605456000003,8,0.00010000
1605484800000,8,0.00010000
1605513600010,8,0.00010000
1605542400001,8,0.00025503
1605571200002,8,0.00027783
1605600000003,8,0.00010000
1605628800003,8,0.00010000
1605657600005,8,0.00074348
1605686400006,8,0.00017696
1605715200000,8,0.00010000
1605744000008,8,0.00030363
1605772800000,8,0.00010000
1605801600001,8,0.00010000
1605830400003,8,0.00045133
1605859200005,8,0.00057549
1605888000000,8,0.00213233
1605916800000,8,0.00062703
1605945600000,8,0.00023804
1605974400001,8,0.00198385
1606003200005,8,0.00145524
1606032000000,8,0.00047611
1606060800000,8,0.00040694
1606089600005,8,0.00121651
1606118400000,8,0.00180960
1606147200003,8,0.00160630
1606176000000,8,0.00280074
1606204800000,8,0.00262415
1606233600005,8,0.00081180
1606262400005,8,0.00206393
1606291200005,8,0.00112287
1606320000015,8,0.00261532
1606348800012,8,0.00116627
1606377600002,8,-0.00010665
1606406400001,8,0.00010000
1606435200001,8,0.00010000
1606464000000,8,0.00010000
1606492800007,8,0.00010000
1606521600007,8,0.00010000
1606550400012,8,0.00010000
1606579200000,8,0.00010000
1606608000007,8,0.00010000
1606636800000,8,0.00010000
1606665600000,8,0.00010000
1606694400004,8,0.00010000
1606723200007,8,0.00010000
1606752000000,8,0.00010000
1606780800000,8,0.00010000
1606809600003,8,0.00060967
1606838400000,8,0.00010000
1606867200001,8,0.00010000
1606896000011,8,0.00010000
1606924800005,8,0.00010000
1606953600001,8,0.00010000
1606982400031,8,0.00035094
1607011200000,8,0.00038542
1607040000006,8,0.00015746
1607068800009,8,0.00010000
1607097600000,8,0.00010000
1607126400000,8,0.00010000
1607155200000,8,0.00010000
1607184000000,8,0.00010000
1607212800004,8,0.00010000
1607241600000,8,0.00010000
1607270400001,8,0.00010000
1607299200000,8,0.00010641
1607328000008,8,0.00010000
1607356800000,8,0.00031162
1607385600003,8,0.00010000
1607414400003,8,0.00030986
1607443200033,8,0.00020517
1607472000000,8,0.00014752
1607500800010,8,0.00012549
1607529600000,8,0.00010000
1607558400000,8,0.00010000
1607587200000,8,0.00019000
1607616000007,8,0.00024107
1607644800000,8,0.00046315
1607673600016,8,0.00052401
1607702400010,8,0.00010000
1607731200009,8,0.00010000
1607760000002,8,0.00010000
1607788800000,8,0.00019496
1607817600007,8,0.00027247
1607846400000,8,0.00026135
1607875200000,8,0.00010000
1607904000000,8,0.00010000
1607932800000,8,0.00026983
1607961600000,8,0.00030252
1607990400006,8,0.00017917
1608019200001,8,0.00010000
1608048000000,8,0.00023350
1608076800001,8,0.00033811
1608105600000,8,0.00010000
1608134400000,8,0.00045549
1608163200000,8,0.00044349
1608192000000,8,0.00057209
1608220800011,8,0.00177903
1608249600000,8,0.00027643
1608278400000,8,0.00030601
1608307200000,8,0.00079291
1608336000000,8,0.00105352
1608364800018,8,0.00049279
1608393600000,8,0.00053468
1608422400001,8,0.00087777
1608451200011,8,0.00049818
1608480000023,8,0.00056690
1608508800011,8,0.00033642
1608537600000,8,0.00083922
1608566400000,8,0.00099119
1608595200001,8,0.00010000
1608624000006,8,0.00010000
1608652800000,8,0.00010000
1608681600000,8,0.00010000
1608710400000,8,0.00010000
1608739200000,8,0.00010000
1608768000012,8,0.00010000
1608796800009,8,0.00010000
1608825600001,8,0.00010000
1608854400000,8,0.00010000
1608883200000,8,-0.00024764
1608912000000,8,0.00010000
1608940800009,8,0.00010000
1608969600001,8,0.00010000
1608998400006,8,0.00010000
1609027200000,8,0.00015253
1609056000000,8,0.00021013
1609084800001,8,0.00046263
