calc_time,funding_interval_hours,last_funding_rate
1666108800000,8,0.00010000
1666137600007,8,0.00010000
1666166400022,8,-0.00750000
1666195200016,8,-0.00200030
1666224000000,8,-0.00030010
1666252800013,8,-0.00075346
1666281600000,8,-0.00051008
1666310400005,8,-0.00050585
1666339200018,8,-0.00086846
1666368000000,8,-0.00002156
1666396800000,8,0.00010000
1666425600015,8,-0.00024103
1666454400000,8,-0.00146599
1666483200025,8,-0.00217711
1666512000000,8,-0.00750000
1666540800004,8,-0.00215777
1666569600009,8,-0.00144561
1666598400012,8,-0.00041279
1666627200002,8,-0.00112450
1666656000013,8,-0.00089151
1666684800013,8,0.00005351
1666713600000,8,-0.00036757
1666742400006,8,-0.00041332
1666771200013,8,-0.00003062
1666800000000,8,-0.00056912
1666828800009,8,-0.00022776
1666857600006,8,-0.00004612
1666886400009,8,-0.00040984
1666915200000,8,0.00003843
1666944000000,8,-0.00005761
1666972800007,8,-0.00041180
1667001600000,8,-0.00027669
1667030400003,8,0.00010000
1667059200010,8,0.00010000
1667088000000,8,0.00010000
1667116800013,8,0.00010000
1667145600009,8,0.00010000
1667174400012,8,0.00010000
1667203200000,8,0.00010000
1667232000010,8,0.00010000
1667260800000,8,0.00010000
1667289600000,8,0.00010000
1667318400000,8,0.00010000
1667347200000,8,0.00010000
1667376000000,8,0.00010000
1667404800019,8,-0.00012268
1667433600011,8,-0.00006607
1667462400016,8,0.00001004
1667491200005,8,0.00005350
1667520000000,8,0.00010000
1667548800004,8,0.00010000
1667577600020,8,0.00001609
1667606400009,8,0.00010000
1667635200007,8,0.00010000
1667664000018,8,0.00010000
1667692800009,8,0.00001761
1667721600000,8,0.00010000
1667750400010,8,0.00010000
1667779200012,8,-0.00006809
1667808000014,8,0.00007458
1667836800006,8,0.00002025
1667865600000,8,0.00010000
1667894400001,8,-0.00014893
1667923200005,8,-0.00009147
1667952000000,8,-0.00077702
1667980800013,8,-0.00034486
1668009600004,8,-0.00032329
1668038400006,8,-0.00481253
1668067200000,8,-0.00313994
1668096000015,8,-0.00141436
1668124800000,8,-0.00050590
1668153600015,8,-0.00037622
1668182400027,8,-0.00014104
1668211200007,8,-0.00002185
1668240000016,8,0.00000934
1668268800000,8,0.00010000
1668297600004,8,-0.00001123
1668326400000,8,0.00002183
1668355200017,8,0.00005097
1668384000000,8,0.00001234
1668412800000,8,0.00004603
1668441600000,8,-0.00019737
1668470400014,8,-0.00010215
1668499200009,8,0.00003519
1668528000010,8,0.00002134
1668556800011,8,-0.00026312
1668585600004,8,-0.00005842
1668614400008,8,0.00000373
1668643200000,8,0.00006797
1668672000000,8,-0.00006131
1668700800006,8,-0.00018968
1668729600004,8,-0.00034286
1668758400016,8,-0.00005560
1668787200000,8,-0.00019933
1668816000000,8,-0.00013820
