calc_time,funding_interval_hours,last_funding_rate
1581004800000,8,0.00010000
1581033600000,8,0.00010000
1581062400000,8,0.00010000
1581091200001,8,0.00750000
1581120000000,8,0.00146140
1581148800000,8,0.00046452
1581177600000,8,0.00010000
1581206400000,8,-0.00016375
1581235200000,8,0.00410140
1581264000000,8,0.00182383
1581292800000,8,0.00191302
1581321600000,8,0.00064416
1581350400009,8,0.00010000
1581379200000,8,0.00044179
1581408000000,8,0.00010000
1581436800000,8,0.00102290
1581465600000,8,0.00172988
1581494400001,8,0.00235787
1581523200000,8,0.00140706
1581552000001,8,0.00271325
1581580800000,8,0.00245318
1581609600000,8,0.00060479
1581638400000,8,0.00018869
1581667200000,8,0.00012860
1581696000000,8,0.00064731
1581724800000,8,0.00156312
1581753600000,8,0.00116180
1581782400000,8,0.00186952
1581811200000,8,0.00033814
1581840000000,8,0.00010000
1581868800000,8,0.00010000
1581897600000,8,0.00010000
1581926400000,8,0.00010000
1581955200000,8,0.00013213
1581984000000,8,0.00010000
1582012800000,8,0.00023820
1582041600000,8,0.00010000
1582070400000,8,0.00031301
1582099200001,8,0.00010000
1582128000000,8,0.00010000
1582156800004,8,0.00038177
1582185600000,8,0.00010000
1582214400000,8,0.00010000
1582243200000,8,0.00010000
1582272000000,8,0.00010000
1582300800000,8,0.00010000
1582329600000,8,0.00033730
1582358400001,8,0.00026287
1582387200000,8,0.00010000
1582416000000,8,0.00010000
1582444800000,8,0.00032702
1582473600000,8,0.00027489
1582502400015,8,0.00128653
1582531200000,8,0.00111079
1582560000000,8,0.00045144
1582588800001,8,0.00010000
1582617600000,8,0.00101254
1582646400001,8,0.00062520
1582675200000,8,0.00067251
1582704000001,8,0.00010000
1582732800000,8,0.00010000
1582761600001,8,0.00062613
1582790400001,8,0.00010000
1582819200000,8,0.00017026
1582848000000,8,0.00016047
1582876800000,8,0.00099237
1582905600000,8,0.00013134
1582934400000,8,0.00138093
1582963200000,8,-0.00008287
1582992000000,8,0.00010000
1583020800000,8,0.00100561
1583049600000,8,0.00177865
1583078400001,8,0.00010000
1583107200000,8,0.00070584
1583136000000,8,0.00047826
1583164800004,8,0.00010000
1583193600000,8,0.00010000
1583222400003,8,0.00010000
1583251200000,8,0.00089168
1583280000002,8,0.00201054
1583308800000,8,0.00010000
1583337600001,8,0.00010000
1583366400000,8,0.00034972
1583395200000,8,0.00010000
1583424000000,8,0.00024459
1583452800003,8,0.00013362
1583481600000,8,0.00082698
1583510400000,8,0.00085851
1583539200000,8,0.00082896
1583568000001,8,0.00032991
1583596800000,8,0.00017280
1583625600001,8,0.00066575
1583654400000,8,0.00015538
1583683200006,8,0.00010000
1583712000000,8,0.00010000
1583740800000,8,0.00135202
1583769600000,8,0.00019021
1583798400000,8,0.00010000
1583827200000,8,0.00010000
1583856000000,8,0.00010000
1583884800001,8,0.00170186
1583913600000,8,0.00041610
1583942400000,8,-0.00045741
1583971200001,8,0.00010000
1584000000001,8,0.00010000
1584028800000,8,-0.00037266
1584057600000,8,0.00010000
1584086400000,8,-0.00128011
1584115200002,8,-0.00107947
1584144000000,8,0.00010000
1584172800001,8,-0.00127279
1584201600000,8,-0.00332109
1584230400000,8,-0.00251300
1584259200000,8,-0.00108303
1584288000001,8,-0.00050521
1584316800000,8,-0.00053831
1584345600000,8,-0.00086177
1584374400001,8,-0.00040064
1584403200000,8,-0.00040230
1584432000000,8,0.00010000
1584460800000,8,-0.00171033
1584489600000,8,-0.00045190
1584518400000,8,-0.00065475
1584547200000,8,0.00010000
1584576000000,8,0.00008441
1584604800000,8,0.00043933
1584633600000,8,0.00002192
1584662400000,8,0.00010000
1584691200000,8,0.00034063
1584720000000,8,-0.00016637
1584748800000,8,0.00010000
1584777600000,8,0.00010000
1584806400000,8,0.00010000
1584835200000,8,0.00010000
1584864000001,8,0.00046959
1584892800000,8,0.00010000
1584921600000,8,0.00010000
1584950400000,8,0.00010000
1584979200000,8,0.00068612
1585008000000,8,0.00010000
1585036800000,8,-0.00025410
1585065600000,8,-0.00020803
1585094400000,8,0.00010000
1585123200000,8,0.00010000
1585152000001,8,-0.00024828
1585180800006,8,-0.00010711
1585209600002,8,0.00010000
1585238400000,8,0.00010000
1585267200000,8,0.00051200
1585296000000,8,-0.00038978
1585324800000,8,0.00010000
1585353600000,8,-0.00006681
1585382400000,8,0.00004164
1585411200000,8,0.00010000
1585440000000,8,0.00010000
1585468800001,8,0.00003480
1585497600000,8,-0.00015710
1585526400000,8,0.00010000
1585555200000,8,0.00006645
1585584000000,8,-0.00128229
1585612800000,8,-0.00080064
1585641600001,8,-0.00084969
1585670400001,8,0.00010000
1585699200002,8,0.00010000
1585728000000,8,0.00010000
1585756800001,8,0.00042023
1585785600000,8,0.00083595
1585814400000,8,-0.00086391
1585843200000,8,0.00010000
1585872000000,8,0.00010000
1585900800000,8,0.00010000
1585929600000,8,0.00010000
1585958400000,8,-0.00034440
1585987200000,8,0.00048977
1586016000000,8,0.00099415
