calc_time,funding_interval_hours,last_funding_rate
1605859200005,8,0.00021353
1605888000000,8,0.00060291
1605916800000,8,0.00010000
1605945600000,8,0.00015284
1605974400001,8,0.00103528
1606003200005,8,0.00073983
1606032000000,8,0.00010000
1606060800000,8,0.00010000
1606089600005,8,0.00025538
1606118400000,8,0.00053641
1606147200003,8,0.00123588
1606176000000,8,0.00058078
1606204800000,8,0.00275497
1606233600005,8,0.00053070
1606262400005,8,0.00037003
1606291200005,8,0.00038340
1606320000015,8,0.00089379
1606348800012,8,0.00054357
1606377600002,8,0.00010000
1606406400001,8,0.00010000
1606435200001,8,0.00010000
1606464000000,8,0.00010000
1606492800007,8,0.00010000
1606521600007,8,0.00010000
1606550400012,8,0.00010000
1606579200000,8,0.00010000
1606608000007,8,0.00010000
1606636800000,8,-0.00028088
1606665600000,8,-0.00002415
1606694400004,8,-0.00022281
1606723200007,8,0.00010000
1606752000000,8,0.00049587
1606780800000,8,0.00010000
1606809600003,8,0.00026027
1606838400000,8,0.00010000
1606867200001,8,0.00010000
1606896000011,8,0.00010000
1606924800005,8,0.00010000
1606953600001,8,0.00020016
1606982400031,8,0.00011408
1607011200000,8,0.00025176
1607040000006,8,0.00021562
1607068800009,8,0.00010000
1607097600000,8,0.00010000
1607126400000,8,0.00010000
1607155200000,8,0.00010000
1607184000000,8,0.00010000
1607212800004,8,0.00010000
1607241600000,8,0.00010000
1607270400001,8,0.00010000
1607299200000,8,0.00010000
1607328000008,8,0.00010000
1607356800000,8,0.00010000
1607385600003,8,0.00010000
1607414400003,8,0.00010000
1607443200033,8,0.00010000
1607472000000,8,0.00011974
1607500800010,8,0.00010692
1607529600000,8,0.00010000
1607558400000,8,0.00022158
1607587200000,8,0.00038976
1607616000007,8,0.00010000
1607644800000,8,0.00036128
1607673600016,8,0.00010000
1607702400010,8,0.00010000
1607731200009,8,0.00010000
1607760000002,8,0.00010000
1607788800000,8,0.00010000
1607817600007,8,0.00010000
1607846400000,8,0.00010000
1607875200000,8,0.00010000
1607904000000,8,0.00010000
1607932800000,8,0.00019059
1607961600000,8,0.00010000
1607990400006,8,0.00010000
1608019200001,8,0.00031918
1608048000000,8,0.00047816
1608076800001,8,0.00010000
1608105600000,8,0.00010000
1608134400000,8,0.00057620
1608163200000,8,0.00067368
1608192000000,8,0.00061044
1608220800011,8,0.00200212
1608249600000,8,0.00077782
1608278400000,8,0.00057906
1608307200000,8,0.00061924
1608336000000,8,0.00036734
1608364800018,8,0.00101732
1608393600000,8,0.00140087
1608422400001,8,0.00171391
1608451200011,8,0.00056772
1608480000023,8,0.00096737
1608508800011,8,0.00032385
1608537600000,8,0.00059493
1608566400000,8,0.00010000
1608595200001,8,0.00010000
1608624000006,8,0.00030355
1608652800000,8,0.00034142
1608681600000,8,0.00027420
1608710400000,8,0.00025272
1608739200000,8,0.00010000
1608768000012,8,0.00010000
1608796800009,8,0.00010000
1608825600001,8,0.00010000
1608854400000,8,0.00010000
1608883200000,8,0.00010000
1608912000000,8,0.00010000
1608940800009,8,0.00010639
1608969600001,8,0.00010000
1608998400006,8,0.00010000
1609027200000,8,0.00010000
1609056000000,8,0.00010000
1609084800001,8,0.00018007
1609113600015,8,0.00012975
1609142400019,8,0.00010000
1609171200000,8,0.00049231
1609200000004,8,0.00036467
1609228800003,8,0.00010000
1609257600000,8,0.00026087
1609286400001,8,0.00010000
1609315200001,8,0.00037847
1609344000012,8,0.00027728
1609372800009,8,0.00028302
1609401600000,8,0.00078623
1609430400010,8,0.00030552
1609459200002,8,0.00028723
1609488000006,8,0.00053915
1609516800003,8,0.00049458
1609545600000,8,0.00027796
1609574400000,8,0.00010000
1609603200006,8,0.00097457
1609632000018,8,0.00058870
1609660800000,8,0.00081378
1609689600002,8,0.00118440
1609718400000,8,0.00194747
1609747200000,8,0.00452408
1609776000000,8,0.00065361
1609804800020,8,0.00058336
1609833600003,8,0.00010000
1609862400003,8,0.00085923
1609891200010,8,0.00082768
1609920000003,8,0.00128612
1609948800000,8,0.00217056
1609977600007,8,0.00122820
1610006400000,8,0.00273353
1610035200004,8,0.00320764
1610064000000,8,0.00091451
1610092800000,8,0.00017416
1610121600000,8,0.00093710
1610150400009,8,0.00078151
1610179200004,8,0.00097202
1610208000000,8,0.00148819
1610236800000,8,0.00220113
1610265600005,8,0.00266439
1610294400000,8,0.00028568
1610323200000,8,0.00010000
1610352000012,8,0.00010000
1610380800000,8,0.00010000
1610409600000,8,0.00010000
1610438400000,8,0.00010000
1610467200008,8,0.00010000
1610496000001,8,0.00010000
1610524800000,8,0.00010000
1610553600003,8,0.00010000
1610582400000,8,0.00010000
1610611200012,8,0.00010000
1610640000000,8,0.00010000
1610668800002,8,0.00010000
1610697600000,8,0.00054494
1610726400004,8,0.00042740
1610755200000,8,0.00010000
1610784000008,8,0.00072989
1610812800000,8,0.00168421
1610841600009,8,0.00010000
1610870400000,8,0.00022741
1610899200001,8,0.00036821
1610928000000,8,0.00106492
1610956800004,8,0.00103717
1610985600000,8,0.00118135
1611014400000,8,0.00094855
1611043200005,8,0.00181491
1611072000012,8,0.00086080
1611100800012,8,0.00032102
1611129600001,8,0.00047307
1611158400001,8,0.00010000
1611187200000,8,0.00015042
1611216000000,8,0.00035795
1611244800004,8,0.00041546
1611273600012,8,0.00010000
1611302400003,8,0.00010000
1611331200001,8,0.00010000
1611360000000,8,0.00010000
1611388800002,8,0.00010000
1611417600000,8,0.00023410
1611446400001,8,0.00026171
1611475200011,8,0.00031353
1611504000005,8,0.00040427
1611532800007,8,0.00010000
1611561600012,8,0.00012786
1611590400000,8,0.00065441
1611619200007,8,0.00034098
1611648000000,8,0.00010000
1611676800000,8,0.00010000
1611705600000,8,0.00066471
1611734400011,8,0.00027412
1611763200003,8,0.00022129
1611792000000,8,0.00012925
1611820800000,8,0.00057433
1611849600000,8,0.00030657
1611878400009,8,0.00047104
1611907200000,8,0.00117343
1611936000000,8,0.00156128
1611964800000,8,0.00024971
1611993600000,8,0.00027986
1612022400000,8,0.00088909
1612051200009,8,0.00046507
1612080000000,8,0.00102939
1612108800000,8,0.00131749
1612137600001,8,0.00054180
1612166400014,8,0.00018371
1612195200000,8,0.00124536
1612224000000,8,0.00071398
1612252800006,8,0.00057659
1612281600000,8,0.00183851
1612310400009,8,0.00197146
1612339200006,8,0.00288677
1612368000006,8,0.00283724
1612396800005,8,0.00214457
1612425600000,8,0.00290459
1612454400011,8,0.00072345
1612483200009,8,0.00169400
1612512000004,8,0.00371093
1612540800000,8,0.00413783
1612569600008,8,0.00265227
1612598400009,8,0.00045409
1612627200000,8,0.00058934
1612656000000,8,0.00157779
1612684800005,8,0.00032750
1612713600001,8,0.00059690
1612742400000,8,0.00010000
1612771200001,8,0.00010000
1612800000000,8,0.00230519
1612828800010,8,0.00348501
1612857600006,8,0.00455205
1612886400007,8,0.00275949
1612915200009,8,0.00463169
1612944000014,8,0.00340486
1612972800005,8,0.00186273
1613001600000,8,0.00014648
1613030400000,8,0.00067833
1613059200000,8,0.00209914
1613088000000,8,0.00241259
1613116800000,8,0.00288789
1613145600000,8,0.00327226
1613174400001,8,0.00460080
1613203200003,8,0.00699948
1613232000000,8,0.00230162
1613260800013,8,0.00261123
1613289600000,8,0.00249680
1613318400008,8,0.00324172
1613347200000,8,0.00141460
1613376000006,8,0.00030411
1613404800000,8,0.00083186
1613433600001,8,0.00042308
1613462400000,8,0.00010000
1613491200010,8,0.00018192
1613520000005,8,0.00031223
1613548800010,8,0.00072217
1613577600008,8,0.00240068
1613606400012,8,0.00293975
1613635200000,8,0.00135872
1613664000009,8,0.00158449
1613692800010,8,0.00252386
1613721600002,8,0.00189967
1613750400008,8,0.00443465
1613779200000,8,0.00359943
1613808000009,8,0.00446555
1613836800000,8,0.00441354
1613865600007,8,0.00094770
1613894400012,8,0.00010000
1613923200001,8,0.00026077
1613952000006,8,0.00057914
1613980800002,8,0.00083380
1614009600000,8,0.00010000
1614038400000,8,0.00010000
1614067200006,8,0.00010000
1614096000000,8,0.00010000
1614124800012,8,0.00010000
1614153600016,8,0.00010000
1614182400011,8,0.00010000
1614211200007,8,0.00010000
1614240000000,8,0.00010000
1614268800010,8,0.00010000
1614297600000,8,0.00010000
1614326400025,8,0.00010000
1614355200010,8,0.00010000
1614384000001,8,0.00010000
1614412800000,8,0.00010000
1614441600000,8,0.00010000
1614470400021,8,0.00010000
1614499200009,8,0.00010000
1614528000000,8,0.00010000
1614556800000,8,0.00010000
1614585600003,8,0.00010000
1614614400001,8,0.00010000
1614643200000,8,0.00010000
1614672000000,8,0.00010000
1614700800004,8,0.00010000
1614729600000,8,0.00010000
1614758400016,8,0.00010000
1614787200000,8,0.00010000
1614816000000,8,0.00010000
1614844800015,8,0.00010000
1614873600001,8,0.00010000
1614902400000,8,0.00014992
1614931200002,8,0.00011886
1614960000008,8,0.00010000
1614988800000,8,0.00010000
1615017600000,8,0.00121319
1615046400000,8,0.00010000
1615075200006,8,0.00010000
1615104000005,8,0.00010000
1615132800008,8,0.00010000
1615161600000,8,0.00010000
1615190400000,8,0.00012085
1615219200006,8,0.00019306
1615248000000,8,0.00028708
1615276800000,8,0.00176164
1615305600000,8,0.00203156
1615334400009,8,0.00195571
1615363200006,8,0.00010000
1615392000008,8,0.00065629
1615420800000,8,0.00055807
1615449600000,8,0.00046254
1615478400014,8,0.00023142
1615507200002,8,0.00036544
1615536000005,8,0.00075043
1615564800011,8,0.00030412
1615593600000,8,0.00081645
1615622400002,8,0.00059245
1615651200000,8,0.00176058
1615680000011,8,0.00146081
1615708800000,8,0.00090085
1615737600000,8,0.00059378
1615766400012,8,0.00135461
1615795200016,8,0.00145136
1615824000030,8,0.00010000
1615852800005,8,0.00046356
1615881600008,8,0.00040447
1615910400012,8,0.00023994
1615939200010,8,0.00114004
1615968000000,8,0.00149388
1615996800009,8,0.00086319
1616025600001,8,0.00201055
1616054400000,8,0.00185573
1616083200000,8,0.00172733
1616112000011,8,0.00107636
1616140800001,8,0.00121383
1616169600000,8,0.00189892
1616198400000,8,0.00175217
1616227200000,8,0.00247843
1616256000007,8,0.00285048
1616284800000,8,0.00184372
1616313600000,8,0.00100665
1616342400000,8,0.00116582
1616371200007,8,0.00111190
1616400000001,8,0.00108681
1616428800000,8,0.00174919
1616457600000,8,0.00071558
1616486400010,8,0.00049334
1616515200023,8,0.00055747
1616544000002,8,0.00041624
1616572800000,8,0.00015259
1616601600000,8,0.00059425
1616630400000,8,0.00010000
1616659200000,8,0.00010000
1616688000000,8,0.00010000
1616716800008,8,0.00010000
1616745600000,8,0.00010000
1616774400012,8,0.00010000
1616803200018,8,0.00010000
1616832000000,8,0.00010000
1616860800001,8,0.00043878
1616889600000,8,0.00049075
1616918400000,8,0.00031792
1616947200005,8,0.00010000
1616976000003,8,0.00037395
1617004800000,8,0.00010000
1617033600000,8,0.00056980
1617062400018,8,0.00027300
1617091200012,8,-0.00026091
1617120000001,8,0.00248439
1617148800000,8,0.00090946
1617177600000,8,0.00173910
1617206400000,8,0.00095023
1617235200025,8,0.00179634
1617264000011,8,0.00210851
1617292800004,8,0.00235672
1617321600000,8,0.00142984
1617350400000,8,0.00270829
1617379200000,8,0.00167656
1617408000003,8,0.00149569
1617436800000,8,0.00279509
1617465600000,8,0.00285648
1617494400000,8,0.00062417
1617523200000,8,0.00108863
1617552000016,8,0.00090505
1617580800000,8,0.00148712
1617609600001,8,-0.00125757
1617638400001,8,-0.00254416
1617667200010,8,0.00155460
1617696000000,8,-0.00079353
1617724800003,8,0.00204310
1617753600000,8,0.00162691
1617782400006,8,0.00164734
1617811200004,8,0.00041771
1617840000013,8,0.00010000
1617868800003,8,0.00064854
1617897600005,8,0.00052778
1617926400000,8,0.00016274
1617955200004,8,0.00058343
1617984000004,8,0.00164807
1618012800011,8,0.00064984
1618041600005,8,0.00217327
1618070400000,8,0.00146935
1618099200004,8,0.00149370
1618128000000,8,0.00193532
1618156800000,8,0.00196725
1618185600001,8,0.00175842
1618214400001,8,0.00075715
1618243200008,8,0.00103269
1618272000003,8,0.00122722
1618300800008,8,0.00087358
1618329600008,8,0.00202567
1618358400008,8,0.00109653
1618387200000,8,0.00291270
1618416000012,8,0.00073865
1618444800006,8,0.00084650
1618473600000,8,0.00118697
1618502400008,8,0.00138541
1618531200008,8,0.00100081
1618560000000,8,0.00202669
1618588800002,8,0.00217877
1618617600008,8,0.00247638
1618646400000,8,0.00268466
1618675200001,8,0.00195718
1618704000006,8,0.00187835
1618732800004,8,-0.00048443
1618761600000,8,-0.00064509
1618790400000,8,-0.00029770
1618819200000,8,0.00010000
1618848000009,8,-0.00074690
1618876800004,8,0.00010000
1618905600000,8,-0.00130460
1618934400001,8,0.00010000
1618963200013,8,0.00010000
1618992000001,8,0.00010000
1619020800002,8,0.00033583
1619049600000,8,0.00010000
1619078400000,8,-0.00041037
1619107200001,8,0.00027721
1619136000002,8,0.00008632
1619164800009,8,0.00010000
1619193600001,8,-0.00007196
1619222400019,8,0.00010000
1619251200001,8,0.00010000
1619280000011,8,0.00010000
1619308800000,8,0.00010000
1619337600010,8,0.00018174
1619366400000,8,0.00010000
1619395200003,8,0.00010000
1619424000002,8,0.00015553
1619452800004,8,0.00010000
1619481600000,8,0.00010000
1619510400000,8,0.00010000
1619539200009,8,0.00010000
1619568000000,8,0.00010000
1619596800000,8,-0.00050395
1619625600001,8,-0.00025238
1619654400004,8,-0.00057308
1619683200013,8,-0.00050841
1619712000003,8,-0.00095208
1619740800004,8,-0.00046192
1619769600019,8,0.00010000
1619798400003,8,0.00010000
1619827200002,8,-0.00031093
1619856000006,8,0.00010000
1619884800000,8,0.00010000
1619913600010,8,-0.00050913
1619942400011,8,0.00010000
1619971200007,8,0.00081129
1620000000003,8,0.00022883
1620028800000,8,0.00096741
1620057600043,8,0.00117017
1620086400004,8,0.00116215
1620115200003,8,0.00010000
1620144000011,8,0.00075830
1620172800001,8,0.00055324
1620201600007,8,0.00102608
1620230400001,8,0.00085511
1620259200003,8,0.00104212
1620288000001,8,0.00118635
1620316800000,8,0.00200145
1620345600000,8,0.00076376
1620374400000,8,0.00010000
1620403200001,8,0.00047851
1620432000006,8,0.00010000
1620460800000,8,0.00035752
1620489600000,8,0.00029681
1620518400005,8,0.00010000
1620547200016,8,0.00010000
1620576000000,8,0.00010000
1620604800004,8,0.00010000
1620633600000,8,0.00029867
1620662400013,8,0.00020807
1620691200000,8,0.00010000
1620720000000,8,0.00010000
1620748800002,8,-0.00031469
1620777600004,8,0.00005513
1620806400007,8,0.00010000
1620835200012,8,-0.00033714
1620864000016,8,-0.00083655
1620892800000,8,-0.00076831
1620921600008,8,-0.00061801
1620950400007,8,-0.00062024
1620979200001,8,-0.00045381
1621008000004,8,-0.00012208
1621036800022,8,-0.00083434
1621065600014,8,-0.00064002
1621094400002,8,-0.00078000
1621123200000,8,-0.00136518
1621152000003,8,-0.00013005
1621180800002,8,-0.00053178
1621209600005,8,-0.00103378
1621238400001,8,-0.00066215
1621267200000,8,-0.00030160
1621296000019,8,-0.00030439
1621324800001,8,-0.00051707
1621353600006,8,0.00010000
1621382400000,8,-0.00021998
1621411200003,8,-0.00005245
1621440000018,8,-0.00750000
1621468800005,8,-0.00164089
1621497600000,8,-0.00079276
1621526400005,8,-0.00095739
1621555200000,8,-0.00061871
1621584000000,8,-0.00044568
1621612800001,8,-0.00031350
1621641600001,8,-0.00066327
1621670400002,8,-0.00033537
1621699200005,8,-0.00009851
1621728000006,8,-0.00082483
1621756800004,8,-0.00045713
1621785600002,8,0.00010000
1621814400007,8,-0.00039166
1621843200005,8,-0.00072104
1621872000005,8,-0.00095940
1621900800000,8,-0.00077225
1621929600014,8,-0.00057417
1621958400000,8,0.00010000
1621987200022,8,-0.00287827
1622016000018,8,-0.00029074
1622044800004,8,-0.00061379
1622073600000,8,-0.00079086
1622102400017,8,-0.00067431
1622131200000,8,-0.00113024
1622160000005,8,-0.00181030
1622188800009,8,-0.00069210
1622217600000,8,-0.00013922
1622246400006,8,0.00010000
1622275200000,8,-0.00028738
1622304000000,8,0.00010000
1622332800003,8,-0.00036860
1622361600004,8,-0.00101261
1622390400018,8,0.00010000
1622419200002,8,0.00010000
1622448000000,8,0.00001260
1622476800000,8,0.00004358
1622505600001,8,0.00010000
1622534400010,8,0.00010000
1622563200010,8,0.00001056
1622592000008,8,0.00010000
1622620800000,8,0.00010000
1622649600007,8,0.00010000
1622678400019,8,0.00010000
1622707200002,8,0.00010000
1622736000003,8,0.00005393
1622764800003,8,0.00010000
1622793600006,8,0.00010000
1622822400002,8,0.00008765
1622851200000,8,0.00007670
1622880000004,8,0.00010000
1622908800020,8,-0.00014784
1622937600000,8,-0.00011347
1622966400004,8,0.00008930
1622995200000,8,0.00010000
1623024000007,8,0.00002439
1623052800007,8,0.00010000
1623081600003,8,0.00010000
1623110400000,8,0.00010000
1623139200000,8,0.00010000
1623168000002,8,0.00010000
1623196800009,8,0.00010000
1623225600002,8,-0.00009036
1623254400000,8,0.00010000
1623283200007,8,0.00010000
1623312000003,8,0.00010000
1623340800000,8,0.00010000
1623369600010,8,0.00010000
1623398400007,8,0.00010000
1623427200006,8,0.00010000
1623456000005,8,0.00010000
1623484800000,8,0.00010000
1623513600018,8,0.00010000
1623542400002,8,0.00010000
1623571200000,8,0.00010000
1623600000003,8,0.00010000
1623628800000,8,0.00010000
1623657600015,8,0.00010000
1623686400000,8,0.00010000
1623715200000,8,0.00010000
1623744000000,8,0.00010000
1623772800004,8,0.00010000
1623801600004,8,0.00010000
1623830400001,8,0.00010000
1623859200000,8,0.00010000
1623888000004,8,0.00010000
1623916800000,8,0.00010000
1623945600002,8,0.00010000
1623974400009,8,0.00010000
1624003200014,8,-0.00009176
1624032000007,8,0.00010000
1624060800003,8,0.00010000
1624089600001,8,0.00010000
1624118400000,8,0.00010000
1624147200005,8,-0.00008844
1624176000000,8,0.00007135
1624204800002,8,-0.00014258
1624233600019,8,0.00010000
1624262400000,8,0.00010000
1624291200024,8,-0.00006720
1624320000008,8,-0.00013385
1624348800009,8,-0.00001793
1624377600001,8,-0.00015086
1624406400003,8,-0.00017224
1624435200000,8,-0.00003053
1624464000000,8,0.00001531
1624492800009,8,-0.00015539
1624521600018,8,-0.00002013
1624550400001,8,0.00010000
1624579200009,8,-0.00013557
1624608000004,8,-0.00009502
1624636800000,8,0.00008258
1624665600007,8,0.00010000
1624694400000,8,0.00010000
1624723200002,8,-0.00001333
1624752000005,8,0.00004169
1624780800010,8,-0.00000366
1624809600001,8,-0.00014400
1624838400025,8,0.00010000
1624867200017,8,0.00010000
1624896000007,8,0.00010000
1624924800008,8,0.00010000
1624953600000,8,0.00010000
1624982400000,8,0.00010000
1625011200011,8,0.00010000
1625040000044,8,-0.00064978
1625068800005,8,-0.00014945
1625097600000,8,-0.00073027
1625126400004,8,-0.00022633
1625155200028,8,-0.00077438
1625184000002,8,-0.00090158
1625212800016,8,-0.00121987
1625241600007,8,-0.00219446
1625270400008,8,-0.00140331
1625299200000,8,-0.00087709
1625328000004,8,-0.00154392
1625356800012,8,-0.00348596
1625385600002,8,-0.00365526
1625414400003,8,-0.00257712
1625443200004,8,-0.00198906
1625472000000,8,-0.00037743
1625500800009,8,-0.00047473
1625529600008,8,-0.00095790
1625558400019,8,-0.00151216
1625587200000,8,-0.00114735
1625616000007,8,-0.00123584
1625644800001,8,-0.00197054
1625673600008,8,-0.00750000
1625702400002,8,-0.00071027
1625731200010,8,-0.00096366
1625760000003,8,-0.00094020
1625788800000,8,-0.00046378
1625817600006,8,-0.00133946
1625846400000,8,-0.00299278
1625875200002,8,-0.00283287
1625904000000,8,-0.00240732
1625932800001,8,-0.00258239
1625961600001,8,-0.00327608
1625990400025,8,-0.00144597
1626019200006,8,-0.00165164
1626048000000,8,-0.00164050
1626076800021,8,-0.00130140
1626105600000,8,-0.00102030
1626134400000,8,-0.00081908
1626163200013,8,-0.00256864
1626192000005,8,-0.00215435
1626220800000,8,-0.00088523
1626249600000,8,-0.00135043
1626278400005,8,-0.00224304
1626307200005,8,-0.00122065
1626336000001,8,-0.00221238
1626364800000,8,-0.00133885
1626393600000,8,-0.00039066
1626422400000,8,-0.00111352
1626451200001,8,-0.00121695
1626480000004,8,-0.00076878
1626508800009,8,-0.00082774
1626537600006,8,-0.00004548
1626566400000,8,-0.00074240
1626595200001,8,-0.00165609
1626624000003,8,-0.00098050
1626652800002,8,-0.00119271
1626681600006,8,-0.00146200
1626710400006,8,-0.00108170
1626739200002,8,-0.00139398
1626768000011,8,-0.00051174
1626796800001,8,-0.00099860
1626825600022,8,-0.00119175
1626854400000,8,-0.00190161
1626883200018,8,-0.00214020
1626912000002,8,-0.00265060
1626940800006,8,-0.00260405
1626969600010,8,-0.00142704
1626998400013,8,-0.00146279
1627027200000,8,-0.00189744
1627056000005,8,-0.00181545
1627084800000,8,-0.00027811
1627113600002,8,-0.00112152
1627142400001,8,-0.00144406
1627171200003,8,-0.00180971
1627200000015,8,-0.00145246
1627228800000,8,-0.00092631
1627257600000,8,-0.00047776
1627286400000,8,-0.00021021
1627315200000,8,-0.00134889
1627344000046,8,-0.00112251
1627372800014,8,-0.00118248
1627401600007,8,-0.00057761
1627430400000,8,-0.00079187
1627459200002,8,-0.00084768
1627488000005,8,-0.00075244
1627516800004,8,-0.00018375
1627545600000,8,-0.00038583
1627574400007,8,-0.00015324
1627603200004,8,-0.00020988
1627632000000,8,-0.00032563
1627660800000,8,0.00010000
1627689600000,8,-0.00000722
1627718400014,8,0.00010000
1627747200003,8,0.00010000
1627776000005,8,0.00010000
1627804800016,8,0.00010000
1627833600001,8,0.00010000
1627862400000,8,0.00010000
1627891200014,8,-0.00036017
1627920000021,8,0.00006317
1627948800000,8,0.00007447
1627977600000,8,0.00010000
1628006400009,8,0.00010000
1628035200000,8,-0.00015370
1628064000000,8,-0.00107172
1628092800003,8,-0.00095023
1628121600000,8,-0.00034721
1628150400000,8,-0.00025776
1628179200001,8,0.00004032
1628208000000,8,0.00010000
1628236800004,8,0.00008822
1628265600003,8,0.00010000
1628294400015,8,-0.00078506
1628323200001,8,0.00010000
1628352000002,8,0.00043730
1628380800000,8,0.00021384
1628409600002,8,0.00108974
1628438400018,8,0.00028893
1628467200000,8,0.00011989
1628496000000,8,0.00032549
1628524800002,8,0.00010753
1628553600000,8,0.00010000
1628582400003,8,0.00021707
1628611200000,8,-0.00008043
1628640000006,8,0.00022031
1628668800003,8,0.00010000
1628697600000,8,0.00087156
