calc_time,funding_interval_hours,last_funding_rate
1577836800000,8,0.00010000
1577865600000,8,0.00120555
1577894400000,8,0.00019195
1577923200002,8,0.00010000
1577952000000,8,0.00004309
1577980800000,8,0.00045092
1578009600000,8,0.00010000
1578038400000,8,0.00026860
1578067200001,8,-0.00099838
1578096000000,8,-0.00139397
1578124800000,8,0.00010000
1578153600000,8,-0.00014575
1578182400000,8,0.00010000
1578211200000,8,0.00010000
1578240000000,8,-0.00001922
1578268800000,8,0.00010000
1578297600000,8,0.00010000
1578326400000,8,0.00010000
1578355200000,8,0.00010000
1578384000001,8,0.00010000
1578412800000,8,0.00010000
1578441600000,8,0.00010000
1578470400000,8,-0.00025868
1578499200001,8,0.00010000
1578528000000,8,0.00149111
1578556800000,8,0.00085969
1578585600000,8,0.00010000
1578614400000,8,0.00033597
1578643200000,8,-0.00004665
1578672000000,8,0.00010000
1578700800000,8,0.00010000
1578729600000,8,-0.00005919
1578758400000,8,-0.00030778
1578787200000,8,-0.00023558
1578816000000,8,0.00010000
1578844800000,8,0.00010000
1578873600001,8,0.00010000
1578902400000,8,0.00010000
1578931200000,8,0.00010000
1578960000000,8,0.00010000
1578988800000,8,0.00010000
1579017600001,8,0.00010000
1579046400000,8,0.00051712
1579075200000,8,0.00034113
1579104000000,8,0.00010000
1579132800000,8,0.00010000
1579161600000,8,0.00067611
1579190400000,8,0.00125921
1579219200000,8,0.00063919
1579248000000,8,0.00032284
1579276800000,8,0.00033436
1579305600001,8,0.00021670
1579334400001,8,0.00050770
1579363200000,8,0.00057618
1579392000000,8,0.00104570
1579420800000,8,0.00074375
1579449600000,8,0.00076384
1579478400000,8,0.00035760
1579507200000,8,-0.00044651
1579536000000,8,0.00261410
1579564800000,8,0.00012561
1579593600000,8,0.00111475
1579622400000,8,0.00103792
1579651200000,8,0.00121083
1579680000001,8,0.00047554
1579708800000,8,0.00010000
1579737600000,8,0.00010000
1579766400000,8,0.00010000
1579795200000,8,0.00043063
1579824000000,8,0.00028212
1579852800000,8,0.00027852
1579881600001,8,0.00017888
1579910400000,8,0.00025134
1579939200000,8,0.00010000
1579968000001,8,0.00014535
1579996800000,8,0.00013011
1580025600000,8,0.00010000
1580054400000,8,0.00007036
1580083200000,8,0.00010000
1580112000001,8,0.00010000
1580140800000,8,0.00010000
1580169600000,8,0.00010000
1580198400000,8,0.00010000
1580227200000,8,0.00010000
1580256000001,8,0.00010000
1580284800000,8,0.00010000
1580313600002,8,0.00010000
1580342400000,8,0.00010000
1580371200000,8,0.00010000
1580400000000,8,0.00010000
1580428800000,8,0.00024604
1580457600000,8,0.00042048
1580486400000,8,0.00030254
1580515200000,8,0.00048232
1580544000000,8,0.00041030
1580572800000,8,0.00021097
1580601600000,8,0.00032438
1580630400000,8,0.00042793
