calc_time,funding_interval_hours,last_funding_rate
1696118400000,8,0.00010000
1696147200000,8,0.00010000
1696176000000,8,0.00010000
1696204800000,8,0.00010000
1696233600000,8,0.00010000
1696262400000,8,0.00010000
1696291200000,8,0.00010000
1696320000000,8,0.00010000
1696348800000,8,0.00010000
1696377600000,8,-0.00004526
1696406400000,8,0.00006566
1696435200000,8,0.00002892
1696464000000,8,-0.00006859
1696492800000,8,0.00004482
1696521600001,8,-0.00008159
1696550400000,8,-0.00013448
1696579200000,8,0.00010000
1696608000000,8,0.00010000
1696636800000,8,0.00010000
1696665600000,8,0.00010000
1696694400000,8,0.00010000
1696723200000,8,0.00010000
1696752000001,8,0.00010000
1696780800000,8,0.00010000
1696809600000,8,0.00010000
1696838400000,8,0.00010000
1696867200000,8,0.00010000
1696896000000,8,-0.00019614
1696924800000,8,0.00005709
1696953600000,8,0.00003886
1696982400000,8,-0.00003895
1697011200000,8,-0.00007405
1697040000000,8,0.00006821
1697068800000,8,0.00000884
1697097600000,8,0.00001550
1697126400000,8,0.00001666
1697155200000,8,-0.00001893
1697184000000,8,0.00003244
1697212800000,8,0.00001327
1697241600000,8,0.00009141
1697270400000,8,0.00010000
1697299200000,8,0.00010000
1697328000000,8,0.00010000
1697356800000,8,0.00010000
1697385600000,8,0.00010000
1697414400000,8,0.00010000
1697443200000,8,-0.00003811
1697472000000,8,2E-8
1697500800000,8,-0.00007699
1697529600000,8,0.00010000
1697558400000,8,-0.00002289
1697587200000,8,-0.00015244
1697616000000,8,-0.00065780
1697644800000,8,-0.00466299
1697673600000,8,-0.00095048
1697702400001,8,-0.00045028
1697731200000,8,-0.00059183
1697760000000,8,-0.00011304
1697788800005,8,-0.00079947
1697817600000,8,-0.00052322
1697846400000,8,-0.00034399
1697875200000,8,0.00010000
1697904000000,8,-0.00014660
1697932800000,8,0.00000103
1697961600000,8,0.00001741
1697990400000,8,-0.00001447
1698019200000,8,0.00004299
1698048000001,8,0.00007693
1698076800001,8,0.00006867
1698105600000,8,0.00010000
1698134400000,8,0.00010000
1698163200000,8,0.00010000
1698192000000,8,0.00010000
1698220800000,8,0.00015803
1698249600001,8,0.00010000
1698278400001,8,0.00010000
1698307200000,8,0.00010000
1698336000000,8,0.00026189
1698364800000,8,0.00010000
1698393600000,8,0.00024592
1698422400000,8,0.00014302
1698451200000,8,0.00010000
1698480000001,8,0.00010000
1698508800000,8,0.00010000
1698537600000,8,0.00010000
1698566400000,8,0.00010000
1698595200000,8,0.00008166
1698624000000,8,0.00010000
1698652800000,8,-0.00005071
1698681600000,8,0.00010000
1698710400001,8,0.00010000
1698739200000,8,0.00010000
1698768000000,8,0.00010000
