calc_time,funding_interval_hours,last_funding_rate
1581321600000,8,0E-8
1581350400009,8,0.00304635
1581379200000,8,0.00161571
1581408000000,8,0.00261274
1581436800000,8,0.00155591
1581465600000,8,0.00326618
1581494400001,8,0.00222329
1581523200000,8,0.00123233
1581552000001,8,0.00066404
1581580800000,8,0.00339783
1581609600000,8,0.00051288
1581638400000,8,0E-8
1581667200000,8,0.00083110
1581696000000,8,0.00045706
1581724800000,8,0.00205219
1581753600000,8,0.00121877
1581782400000,8,0.00231415
1581811200000,8,0E-8
1581840000000,8,0E-8
1581868800000,8,0E-8
1581897600000,8,0E-8
1581926400000,8,0.00030250
1581955200000,8,0.00110646
1581984000000,8,0.00007369
1582012800000,8,0E-8
1582041600000,8,0.00017557
1582070400000,8,0.00002421
1582099200001,8,0.00137686
1582128000000,8,0E-8
1582156800004,8,0.00046778
1582185600000,8,0.00072738
1582214400000,8,0.00020171
1582243200000,8,0E-8
1582272000000,8,0.00024140
1582300800000,8,0.00042486
1582329600000,8,0.00064889
1582358400001,8,0.00049596
1582387200000,8,0.00052603
1582416000000,8,0.00075795
1582444800000,8,0.00081155
1582473600000,8,0.00020372
1582502400015,8,0.00043004
1582531200000,8,0.00015968
1582560000000,8,0.00043662
1582588800001,8,0.00012455
1582617600000,8,0.00030493
1582646400001,8,0.00031773
1582675200000,8,0.00015623
1582704000001,8,0.00018209
1582732800000,8,0E-8
1582761600001,8,0E-8
1582790400001,8,0E-8
1582819200000,8,0E-8
1582848000000,8,0E-8
1582876800000,8,0E-8
1582905600000,8,0E-8
1582934400000,8,0E-8
1582963200000,8,0E-8
1582992000000,8,0.00028972
1583020800000,8,0.00019026
1583049600000,8,0.00031743
1583078400001,8,0.00038074
1583107200000,8,0E-8
1583136000000,8,0E-8
1583164800004,8,0E-8
1583193600000,8,-0.00001823
1583222400003,8,-0.00020427
1583251200000,8,0E-8
1583280000002,8,0E-8
1583308800000,8,0E-8
1583337600001,8,-0.00063660
1583366400000,8,0E-8
1583395200000,8,0.00016672
1583424000000,8,0.00003555
1583452800003,8,0.00072615
1583481600000,8,0.00006931
1583510400000,8,0.00018643
1583539200000,8,0E-8
1583568000001,8,0.00099038
1583596800000,8,0.00076374
1583625600001,8,0.00084351
1583654400000,8,0.00050183
1583683200006,8,0.00066063
1583712000000,8,0.00076211
1583740800000,8,0E-8
1583769600000,8,0E-8
1583798400000,8,0E-8
1583827200000,8,0E-8
1583856000000,8,0E-8
1583884800001,8,0E-8
1583913600000,8,0E-8
1583942400000,8,0E-8
1583971200001,8,0E-8
1584000000001,8,0E-8
1584028800000,8,-0.00042140
1584057600000,8,0.00001447
1584086400000,8,-0.00584369
1584115200002,8,-0.00142512
1584144000000,8,-0.00003866
1584172800001,8,0.00138786
1584201600000,8,0.00061685
1584230400000,8,0.00031569
1584259200000,8,0E-8
1584288000001,8,0.00049659
1584316800000,8,0E-8
1584345600000,8,0E-8
1584374400001,8,-0.00025194
1584403200000,8,0E-8
1584432000000,8,0.00006145
1584460800000,8,0E-8
1584489600000,8,0E-8
1584518400000,8,0E-8
1584547200000,8,0E-8
1584576000000,8,0E-8
1584604800000,8,0E-8
1584633600000,8,0E-8
1584662400000,8,0E-8
1584691200000,8,0E-8
1584720000000,8,0.00003196
1584748800000,8,0E-8
1584777600000,8,0E-8
1584806400000,8,0E-8
1584835200000,8,0E-8
1584864000001,8,0E-8
1584892800000,8,0E-8
1584921600000,8,0E-8
1584950400000,8,0E-8
1584979200000,8,0E-8
1585008000000,8,0E-8
1585036800000,8,0E-8
1585065600000,8,0E-8
1585094400000,8,-0.00028381
1585123200000,8,-0.00063857
1585152000001,8,-0.00116804
1585180800006,8,-0.00136474
1585209600002,8,-0.00101418
1585238400000,8,0E-8
1585267200000,8,0E-8
1585296000000,8,0E-8
1585324800000,8,-0.00088447
1585353600000,8,-0.00069922
1585382400000,8,0E-8
1585411200000,8,-0.00096105
1585440000000,8,-0.00095820
1585468800001,8,-0.00071773
1585497600000,8,-0.00030985
1585526400000,8,-0.00058307
1585555200000,8,-0.00051558
1585584000000,8,-0.00037297
1585612800000,8,-0.00034341
1585641600001,8,-0.00044911
1585670400001,8,0E-8
1585699200002,8,0E-8
1585728000000,8,0E-8
1585756800001,8,0E-8
1585785600000,8,-0.00038278
1585814400000,8,-0.00053770
1585843200000,8,0E-8
1585872000000,8,-0.00005878
1585900800000,8,-0.00093878
1585929600000,8,0E-8
1585958400000,8,0E-8
1585987200000,8,0E-8
1586016000000,8,0E-8
1586044800001,8,0.00001815
1586073600000,8,0.00003597
1586102400000,8,0E-8
1586131200000,8,0.00019490
1586160000000,8,0.00012984
1586188800000,8,0E-8
1586217600000,8,0E-8
1586246400000,8,0.00008068
1586275200000,8,0.00006871
1586304000000,8,0E-8
1586332800000,8,0E-8
1586361600000,8,0E-8
1586390400000,8,0E-8
1586419200001,8,0E-8
1586448000000,8,0E-8
1586476800001,8,0E-8
1586505600000,8,0E-8
1586534400000,8,0E-8
1586563200000,8,-0.00012615
1586592000000,8,0E-8
1586620800000,8,0E-8
1586649600000,8,0E-8
1586678400006,8,0E-8
1586707200001,8,0E-8
1586736000001,8,0E-8
1586764800000,8,0E-8
1586793600000,8,-0.00106444
1586822400000,8,-0.00105536
1586851200000,8,-0.00048669
1586880000000,8,-0.00163126
1586908800000,8,-0.00161834
1586937600000,8,-0.00054383
1586966400000,8,0E-8
1586995200000,8,-0.00022565
1587024000000,8,-0.00154515
1587052800000,8,-0.00162046
1587081600000,8,-0.00244099
1587110400000,8,-0.00218330
1587139200000,8,-0.00082619
1587168000000,8,-0.00088774
1587196800000,8,-0.00023463
1587225600000,8,-0.00019125
1587254400000,8,-0.00072850
1587283200000,8,-0.00098575
1587312000000,8,-0.00097202
1587340800000,8,-0.00083493
1587369600000,8,-0.00040011
1587398400000,8,-0.00120041
1587427200000,8,-0.00205524
1587456000001,8,-0.00022570
1587484800000,8,-0.00129702
1587513600001,8,-0.00099634
1587542400000,8,-0.00048035
1587571200000,8,0E-8
1587600000000,8,0E-8
1587628800001,8,-0.00053230
1587657600000,8,0E-8
1587686400000,8,0E-8
1587715200000,8,0E-8
1587744000000,8,0E-8
1587772800003,8,0E-8
1587801600000,8,0E-8
1587830400000,8,0E-8
1587859200000,8,0E-8
1587888000000,8,-0.00009795
1587916800000,8,0E-8
1587945600000,8,0E-8
1587974400005,8,0E-8
1588003200000,8,0E-8
1588032000000,8,0E-8
1588060800000,8,-0.00064392
1588089600000,8,0E-8
1588118400000,8,0E-8
1588147200001,8,0E-8
1588176000000,8,0E-8
1588204800000,8,-0.00065188
1588233600000,8,-0.00016727
1588262400000,8,-0.00190521
1588291200000,8,-0.00132408
1588320000000,8,-0.00021921
1588348800000,8,-0.00043006
1588377600000,8,-0.00069085
1588406400000,8,-0.00080576
1588435200000,8,-0.00006443
1588464000000,8,0E-8
1588492800000,8,0E-8
1588521600000,8,-0.00121372
1588550400000,8,-0.00119549
1588579200005,8,0E-8
1588608000000,8,0E-8
1588636800000,8,0E-8
1588665600000,8,0E-8
1588694400000,8,0E-8
1588723200001,8,-0.00056844
1588752000000,8,-0.00080135
1588780800000,8,0E-8
1588809600000,8,0E-8
1588838400011,8,-0.00021386
1588867200000,8,0E-8
1588896000000,8,0E-8
1588924800001,8,0E-8
1588953600000,8,0E-8
1588982400000,8,0E-8
1589011200000,8,0E-8
