calc_time,funding_interval_hours,last_funding_rate
1617235200025,8,0.00149916
1617264000011,8,0.00202958
1617292800004,8,0.00258150
1617321600000,8,0.00155627
1617350400000,8,0.00252166
1617379200000,8,0.00271173
1617408000003,8,0.00274179
1617436800000,8,0.00324539
1617465600000,8,0.00313220
1617494400000,8,0.00010000
1617523200000,8,0.00095114
1617552000016,8,0.00082565
1617580800000,8,0.00124110
1617609600001,8,0.00175336
1617638400001,8,0.00258584
1617667200010,8,0.00317307
1617696000000,8,0.00324798
1617724800003,8,0.00201049
1617753600000,8,0.00143934
1617782400006,8,0.00160595
1617811200004,8,0.00022416
1617840000013,8,0.00050703
1617868800003,8,0.00100727
1617897600005,8,0.00073776
1617926400000,8,0.00063428
1617955200004,8,0.00114591
1617984000004,8,0.00087915
1618012800011,8,0.00099265
1618041600005,8,0.00190004
1618070400000,8,0.00144373
1618099200004,8,0.00107747
1618128000000,8,0.00142856
1618156800000,8,0.00135928
1618185600001,8,0.00179539
1618214400001,8,0.00217307
1618243200008,8,0.00157481
1618272000003,8,0.00086540
1618300800008,8,0.00209891
1618329600008,8,0.00283877
1618358400008,8,0.00321812
1618387200000,8,0.00409497
1618416000012,8,0.00150144
1618444800006,8,0.00161097
1618473600000,8,0.00198497
1618502400008,8,0.00267532
1618531200008,8,0.00272169
1618560000000,8,0.00189534
1618588800002,8,0.00263447
1618617600008,8,0.00313733
1618646400000,8,0.00261000
1618675200001,8,0.00210864
1618704000006,8,0.00176986
1618732800004,8,0.00006655
1618761600000,8,0.00010000
1618790400000,8,0.00010000
1618819200000,8,0.00034604
1618848000009,8,0.00010000
1618876800004,8,0.00010000
1618905600000,8,0.00010000
1618934400001,8,0.00010000
1618963200013,8,0.00021849
1618992000001,8,0.00022180
1619020800002,8,0.00010000
1619049600000,8,0.00010000
1619078400000,8,0.00040339
1619107200001,8,0.00013224
1619136000002,8,0.00010000
1619164800009,8,0.00010000
1619193600001,8,0.00010000
1619222400019,8,0.00010000
1619251200001,8,0.00010000
1619280000011,8,0.00010000
1619308800000,8,0.00010000
1619337600010,8,0.00010000
1619366400000,8,0.00010000
1619395200003,8,0.00010000
1619424000002,8,0.00010000
1619452800004,8,0.00010000
1619481600000,8,0.00010000
1619510400000,8,0.00010000
1619539200009,8,0.00023544
1619568000000,8,0.00024393
1619596800000,8,0.00012893
1619625600001,8,0.00022197
1619654400004,8,0.00010000
1619683200013,8,0.00049490
1619712000003,8,0.00061628
1619740800004,8,0.00035516
1619769600019,8,0.00073433
1619798400003,8,0.00087598
