calc_time,funding_interval_hours,last_funding_rate
1617235200025,8,0.00040401
1617264000011,8,0.00086914
1617292800004,8,0.00070222
1617321600000,8,0.00010000
1617350400000,8,0.00066704
1617379200000,8,0.00064161
1617408000003,8,0.00071548
1617436800000,8,0.00144326
1617465600000,8,0.00081310
1617494400000,8,0.00010000
1617523200000,8,0.00066341
1617552000016,8,0.00074555
1617580800000,8,0.00063310
1617609600001,8,0.00098571
1617638400001,8,0.00165096
1617667200010,8,0.00152685
1617696000000,8,0.00149998
1617724800003,8,0.00102648
1617753600000,8,0.00084550
1617782400006,8,0.00086592
1617811200004,8,0.00034113
1617840000013,8,0.00064162
1617868800003,8,0.00052831
1617897600005,8,0.00086507
1617926400000,8,0.00090695
1617955200004,8,0.00124005
1617984000004,8,0.00103083
1618012800011,8,0.00064339
1618041600005,8,0.00166619
1618070400000,8,0.00159930
1618099200004,8,0.00123519
1618128000000,8,0.00157688
1618156800000,8,0.00195260
1618185600001,8,0.00197756
1618214400001,8,0.00267673
1618243200008,8,0.00154484
1618272000003,8,0.00135071
1618300800008,8,0.00171929
1618329600008,8,0.00254896
1618358400008,8,0.00162617
1618387200000,8,0.00203904
1618416000012,8,0.00063249
1618444800006,8,0.00076829
1618473600000,8,0.00091882
1618502400008,8,0.00123118
1618531200008,8,0.00215548
1618560000000,8,0.00179900
1618588800002,8,0.00156948
1618617600008,8,0.00194147
1618646400000,8,0.00162906
1618675200001,8,0.00103062
1618704000006,8,0.00090915
1618732800004,8,0.00010000
1618761600000,8,0.00010000
1618790400000,8,0.00010000
1618819200000,8,0.00010000
1618848000009,8,0.00010000
1618876800004,8,0.00003501
1618905600000,8,0.00010000
1618934400001,8,0.00010000
1618963200013,8,0.00010000
1618992000001,8,0.00013653
1619020800002,8,0.00010000
1619049600000,8,0.00011735
1619078400000,8,0.00010000
1619107200001,8,0.00010000
1619136000002,8,0.00010000
1619164800009,8,0.00010000
1619193600001,8,0.00010000
1619222400019,8,0.00030913
1619251200001,8,0.00015549
1619280000011,8,0.00010000
1619308800000,8,0.00010000
1619337600010,8,0.00010000
1619366400000,8,0.00010000
1619395200003,8,0.00010000
1619424000002,8,0.00010000
1619452800004,8,0.00010000
1619481600000,8,0.00010000
1619510400000,8,0.00010000
1619539200009,8,0.00010000
1619568000000,8,0.00010000
1619596800000,8,0.00010000
1619625600001,8,0.00010000
1619654400004,8,0.00018735
1619683200013,8,0.00010000
1619712000003,8,0.00027299
1619740800004,8,0.00028112
1619769600019,8,0.00014325
1619798400003,8,0.00010000
1643673600010,8,0.00010000
1643702400000,8,0.00010000
1643731200004,8,0.00010000
1643760000004,8,0.00010000
1643788800000,8,0.00010000
1643817600002,8,0.00010000
1643846400002,8,0.00010000
1643875200000,8,0.00007632
1643904000000,8,0.00010000
1643932800018,8,0.00006067
1643961600005,8,0.00009328
1643990400010,8,0.00010000
1644019200014,8,0.00010000
1644048000000,8,0.00010000
1644076800000,8,0.00010000
1644105600000,8,0.00010000
1644134400000,8,0.00010000
1644163200000,8,0.00010000
1644192000003,8,0.00010000
1644220800014,8,0.00010000
1644249600003,8,0.00010000
1644278400001,8,0.00010000
1644307200003,8,0.00010000
1644336000002,8,0.00010000
1644364800000,8,0.00010000
1644393600005,8,0.00010000
1644422400001,8,0.00010000
1644451200012,8,0.00010000
1644480000000,8,0.00010000
1644508800006,8,0.00010000
1644537600000,8,0.00010000
1644566400009,8,0.00009836
1644595200015,8,0.00010000
1644624000020,8,0.00004195
1644652800001,8,0.00003607
1644681600007,8,0.00010000
1644710400022,8,0.00002790
1644739200001,8,0.00010000
1644768000007,8,0.00004636
1644796800005,8,0.00009431
1644825600013,8,0.00010000
1644854400019,8,0.00010000
1644883200012,8,0.00010000
1644912000005,8,-0.00003626
1644940800011,8,0.00005210
1644969600009,8,-0.00001491
1644998400001,8,0.00010000
1645027200014,8,0.00009658
1645056000018,8,-0.00000204
1645084800000,8,0.00010000
1645113600010,8,0.00008007
1645142400000,8,-0.00014308
1645171200002,8,0.00004493
1645200000000,8,-0.00000848
1645228800007,8,-0.00010369
1645257600000,8,6.4E-7
1645286400023,8,0.00005887
1645315200001,8,0.00004018
1645344000003,8,-0.00005412
1645372800001,8,-0.00002181
1645401600000,8,0.00001611
1645430400001,8,-0.00005594
1645459200005,8,-0.00005333
1645488000005,8,-0.00014899
1645516800000,8,-0.00004906
1645545600000,8,-0.00005788
1645574400002,8,-0.00010282
1645603200005,8,-0.00004312
1645632000010,8,-0.00006349
1645660800008,8,0.00005987
1645689600003,8,-0.00015193
1645718400001,8,-0.00013107
1645747200000,8,0.00008994
1645776000006,8,-0.00012062
1645804800001,8,-0.00004164
1645833600004,8,0.00001017
1645862400004,8,-0.00007499
1645891200007,8,0.00008786
1645920000012,8,-0.00002431
1645948800000,8,-0.00007611
1645977600000,8,0.00004971
1646006400000,8,-0.00002154
1646035200001,8,-0.00009216
1646064000002,8,0.00010000
1651363200000,8,-0.00001943
1651392000000,8,0.00010000
1651420800010,8,-0.00000819
1651449600018,8,0.00010000
1651478400007,8,0.00006879
1651507200000,8,0.00008965
1651536000006,8,0.00008635
1651564800000,8,0.00002413
1651593600021,8,0.00006056
1651622400007,8,0.00002095
1651651200011,8,0.00009460
1651680000000,8,0.00000861
1651708800005,8,0.00010000
1651737600019,8,0.00010000
1651766400005,8,0.00010000
1651795200005,8,0.00007147
1651824000001,8,0.00002438
1651852800010,8,0.00009685
1651881600004,8,0.00009540
1651910400016,8,-0.00000321
1651939200011,8,0.00007163
1651968000000,8,0.00001748
1651996800007,8,-0.00002396
1652025600015,8,0.00007028
1652054400000,8,0.00002510
1652083200001,8,0.00000319
1652112000000,8,-0.00004064
1652140800000,8,-0.00004675
1652169600007,8,0.00010000
1652198400008,8,0.00010000
