calc_time,funding_interval_hours,last_funding_rate
1596240000005,8,0.00037267
1596268800000,8,0.00051368
1596297600001,8,0.00045725
1596326400000,8,0.00158689
1596355200001,8,0.00050924
1596384000001,8,0.00018738
1596412800000,8,0.00010000
1596441600001,8,0.00010000
1596470400000,8,0.00013614
1596499200003,8,0.00010000
1596528000000,8,0.00024247
1596556800000,8,0.00033287
1596585600000,8,0.00032852
1596614400000,8,0.00015842
1596643200000,8,0.00029143
1596672000000,8,0.00047472
1596700800007,8,0.00026121
1596729600000,8,0.00010000
1596758400001,8,0.00035730
1596787200000,8,0.00073450
1596816000000,8,0.00065238
1596844800000,8,0.00043496
1596873600000,8,0.00048313
1596902400000,8,0.00074557
1596931200000,8,0.00017300
1596960000000,8,0.00020053
1596988800000,8,0.00034891
1597017600001,8,0.00010000
1597046400000,8,0.00027410
1597075200001,8,0.00076073
1597104000001,8,0.00039165
1597132800000,8,0.00018499
1597161600001,8,0.00024624
1597190400000,8,0.00010000
1597219200000,8,0.00010000
1597248000000,8,0.00010000
1597276800002,8,0.00013732
1597305600000,8,0.00010000
1597334400000,8,0.00031485
1597363200000,8,0.00031299
1597392000000,8,0.00060358
1597420800000,8,0.00078502
1597449600000,8,0.00029931
1597478400001,8,0.00042195
1597507200001,8,0.00064179
1597536000000,8,0.00110395
1597564800000,8,0.00066060
1597593600000,8,0.00060619
1597622400000,8,0.00063833
1597651200000,8,0.00033806
1597680000000,8,0.00048400
1597708800001,8,0.00052431
1597737600008,8,0.00043425
1597766400000,8,0.00013825
1597795200000,8,0.00010000
1597824000000,8,0.00010000
1597852800000,8,0.00010000
1597881600001,8,0.00027936
1597910400000,8,0.00010000
1597939200000,8,0.00036617
1597968000000,8,0.00031565
1597996800000,8,0.00010000
1598025600017,8,0.00010000
1598054400000,8,0.00010000
1598083200000,8,0.00010000
1598112000000,8,0.00011099
1598140800000,8,0.00010000
1598169600000,8,0.00010000
1598198400000,8,0.00010000
1598227200006,8,0.00010000
1598256000001,8,0.00010000
1598284800000,8,0.00010000
1598313600000,8,0.00010000
1598342400000,8,0.00010000
1598371200000,8,0.00010000
1598400000000,8,0.00010000
1598428800008,8,0.00010000
1598457600002,8,0.00010000
1598486400000,8,0.00010000
1598515200010,8,0.00010000
1598544000000,8,0.00010000
1598572800000,8,0.00010000
1598601600001,8,0.00010000
1598630400000,8,0.00010000
1598659200002,8,0.00010000
1598688000006,8,0.00015471
1598716800003,8,0.00011621
1598745600000,8,0.00010000
1598774400000,8,0.00021563
1598803200000,8,0.00010000
1598832000000,8,0.00019865
1598860800001,8,0.00013362
1598889600001,8,0.00012863
1598918400000,8,0.00024031
1598947200000,8,0.00020087
1598976000000,8,0.00036874
1599004800000,8,0.00065574
1599033600006,8,0.00054718
1599062400000,8,0.00010000
1599091200001,8,0.00010000
1599120000004,8,0.00010000
1599148800000,8,0.00010000
1599177600005,8,0.00010000
1599206400000,8,0.00010000
1599235200006,8,0.00010000
1599264000000,8,0.00010000
1599292800004,8,0.00010000
1599321600001,8,0.00010000
1599350400004,8,0.00010000
1599379200000,8,0.00010000
