calc_time,funding_interval_hours,last_funding_rate
1594368000001,8,0.00010000
1594396800000,8,-0.00301393
1594425600000,8,0.00004111
1594454400000,8,0.00001285
1594483200000,8,0.00010000
1594512000000,8,0.00010000
1594540800000,8,0.00010000
1594569600000,8,0.00010000
1594598400000,8,0.00026293
1594627200001,8,0.00010000
1594656000000,8,0.00000196
1594684800001,8,-0.00070381
1594713600000,8,-0.00122571
1594742400000,8,0.00010000
1594771200000,8,0.00010000
1594800000000,8,-0.00017488
1594828800000,8,-0.00077381
1594857600000,8,-0.00004990
1594886400002,8,0.00010000
1594915200001,8,0.00010000
1594944000001,8,0.00016338
1594972800000,8,0.00010000
1595001600000,8,0.00010000
1595030400003,8,0.00010000
1595059200001,8,0.00010000
1595088000000,8,0.00010000
1595116800000,8,0.00010000
1595145600000,8,0.00010000
1595174400000,8,-0.00012246
1595203200000,8,0.00010000
1595232000000,8,0.00010000
1595260800001,8,0.00010000
1595289600000,8,-0.00014116
1595318400001,8,0.00010000
1595347200004,8,0.00010000
1595376000000,8,0.00010000
1595404800000,8,0.00010000
1595433600000,8,0.00010000
1595462400001,8,0.00010000
1595491200000,8,0.00010000
1595520000001,8,0.00010000
1595548800000,8,0.00010000
1595577600000,8,0.00010000
1595606400000,8,-0.00012831
1595635200000,8,0.00010000
1595664000001,8,0.00010000
1595692800000,8,0.00010000
1595721600000,8,0.00010000
1595750400000,8,0.00010000
1595779200000,8,0.00010000
1595808000000,8,0.00010000
1595836800000,8,0.00010000
1595865600000,8,0.00010000
1595894400000,8,0.00010000
1595923200001,8,0.00010000
1595952000000,8,0.00010000
1595980800000,8,0.00020606
1596009600000,8,0.00010000
1596038400000,8,0.00010000
1596067200000,8,0.00010000
1596096000001,8,0.00010000
1596124800000,8,0.00040705
1596153600000,8,0.00010000
1596182400001,8,0.00010000
1596211200000,8,0.00010000
1596240000005,8,0.00010000
1596268800000,8,0.00068087
1596297600001,8,0.00010000
1596326400000,8,0.00137919
1596355200001,8,0.00010000
1596384000001,8,0.00010000
1596412800000,8,0.00010000
1596441600001,8,0.00010000
1596470400000,8,0.00010000
1596499200003,8,0.00010000
1596528000000,8,0.00010000
1596556800000,8,0.00047835
1596585600000,8,0.00033250
1596614400000,8,0.00010000
1596643200000,8,0.00010000
1596672000000,8,0.00017576
1596700800007,8,0.00060956
1596729600000,8,0.00045661
1596758400001,8,0.00010000
1596787200000,8,0.00047011
1596816000000,8,0.00010000
1596844800000,8,0.00010000
1596873600000,8,0.00010000
1596902400000,8,0.00010000
1596931200000,8,0.00010000
1596960000000,8,0.00035771
1596988800000,8,0.00010000
1597017600001,8,0.00010000
1597046400000,8,0.00010000
1597075200001,8,0.00030326
1597104000001,8,0.00010000
1597132800000,8,0.00021211
1597161600001,8,0.00010000
1597190400000,8,0.00029378
1597219200000,8,0.00075149
1597248000000,8,0.00015499
1597276800002,8,0.00010000
1597305600000,8,0.00010000
1597334400000,8,0.00010000
1597363200000,8,0.00010000
1597392000000,8,0.00010000
1597420800000,8,0.00074047
1597449600000,8,0.00103786
1597478400001,8,0.00010000
1597507200001,8,0.00047135
1597536000000,8,0.00030573
1597564800000,8,0.00010000
1597593600000,8,0.00010000
1597622400000,8,0.00012587
1597651200000,8,0.00065669
1597680000000,8,0.00047078
1597708800001,8,0.00034516
1597737600008,8,0.00065254
1597766400000,8,0.00010000
1597795200000,8,0.00021476
1597824000000,8,0.00010000
1597852800000,8,0.00010000
1597881600001,8,0.00010000
1597910400000,8,0.00010000
1597939200000,8,0.00010000
1597968000000,8,0.00010000
1597996800000,8,0.00010000
1598025600017,8,0.00013282
1598054400000,8,0.00010000
1598083200000,8,0.00010000
1598112000000,8,0.00010000
1598140800000,8,0.00010000
1598169600000,8,0.00025912
1598198400000,8,0.00010000
1598227200006,8,0.00010000
1598256000001,8,0.00049988
1598284800000,8,0.00018552
1598313600000,8,0.00010000
1598342400000,8,0.00010000
1598371200000,8,0.00010000
1598400000000,8,0.00010000
1598428800008,8,-0.00015585
1598457600002,8,-0.00028052
1598486400000,8,0.00010000
