calc_time,funding_interval_hours,last_funding_rate
1597910400000,8,0.00010000
1597939200000,8,0.00010000
1597968000000,8,0.00010000
1597996800000,8,0.00010000
1598025600017,8,0.00010000
1598054400000,8,0.00010000
1598083200000,8,0.00152252
1598112000000,8,0.00059014
1598140800000,8,0.00146278
1598169600000,8,0.00094542
1598198400000,8,0.00175345
1598227200006,8,0.00100486
1598256000001,8,0.00151206
1598284800000,8,0.00098471
1598313600000,8,0.00020789
1598342400000,8,0.00094866
1598371200000,8,0.00036307
1598400000000,8,0.00071638
1598428800008,8,0.00123278
1598457600002,8,0.00087605
1598486400000,8,0.00139804
1598515200010,8,0.00080406
1598544000000,8,0.00089898
1598572800000,8,0.00040777
1598601600001,8,0.00032604
1598630400000,8,0.00031897
1598659200002,8,0.00029340
1598688000006,8,0.00123961
1598716800003,8,0.00073415
1598745600000,8,0.00159891
1598774400000,8,0.00185894
1598803200000,8,0.00191828
1598832000000,8,0.00204053
1598860800001,8,0.00103170
1598889600001,8,0.00132406
1598918400000,8,0.00080415
1598947200000,8,0.00115788
1598976000000,8,0.00136882
1599004800000,8,0.00165512
1599033600006,8,0.00062099
1599062400000,8,0.00010000
1599091200001,8,0.00010000
1599120000004,8,0.00018917
1599148800000,8,0.00012161
1599177600005,8,0.00010000
1599206400000,8,0.00010000
1599235200006,8,0.00010000
1599264000000,8,0.00010000
1599292800004,8,0.00010000
1599321600001,8,0.00010000
1599350400004,8,0.00010000
1599379200000,8,0.00010000
1599408000000,8,0.00010000
1599436800002,8,0.00010000
1599465600004,8,0.00010000
1599494400001,8,0.00010000
1599523200007,8,0.00010000
1599552000006,8,0.00010000
1599580800014,8,0.00010000
1599609600000,8,0.00010000
1599638400000,8,0.00010000
1599667200000,8,0.00010000
1599696000000,8,0.00010000
1599724800005,8,0.00010000
1599753600000,8,0.00010000
1599782400000,8,0.00010000
1599811200008,8,0.00010000
1599840000000,8,0.00010000
1599868800008,8,0.00010000
1599897600000,8,0.00010000
1599926400008,8,0.00010000
1599955200000,8,0.00010000
1599984000000,8,0.00010822
1600012800004,8,0.00010000
1600041600003,8,0.00010000
1600070400008,8,0.00019947
1600099200000,8,0.00033042
1600128000000,8,0.00022414
1600156800010,8,0.00010000
1600185600003,8,0.00010000
1600214400014,8,0.00012038
1600243200000,8,0.00010000
1600272000001,8,0.00015451
1600300800006,8,0.00010000
1600329600012,8,0.00040469
1600358400000,8,0.00045066
1600387200001,8,0.00053804
1600416000002,8,0.00061089
1600444800002,8,0.00042384
1600473600000,8,0.00024640
1600502400005,8,0.00030378
1600531200008,8,0.00029433
1600560000002,8,0.00010000
1600588800005,8,0.00010632
1600617600005,8,0.00010000
1600646400000,8,0.00010000
1600675200001,8,0.00010000
1600704000000,8,0.00010000
1600732800001,8,0.00010000
1600761600000,8,0.00010000
1600790400004,8,0.00010000
1600819200007,8,0.00010000
1600848000001,8,0.00010000
1600876800001,8,0.00010000
1600905600000,8,0.00010000
1600934400000,8,0.00010000
1600963200000,8,0.00010000
1600992000009,8,0.00010000
1601020800045,8,0.00010000
1601049600000,8,0.00010000
