calc_time,funding_interval_hours,last_funding_rate
1772323200005,8,-0.00005889
1772352000000,8,0.00010000
1772380800002,8,0.00010000
1772409600001,8,0.00002731
1772438400007,8,0.00010000
1772467200000,8,0.00009823
1772496000000,8,0.00010000
1772524800000,8,0.00010000
1772553600007,8,0.00010000
1772582400001,8,0.00010000
1772611200005,8,0.00010000
1772640000000,8,0.00010000
1772668800000,8,0.00010000
1772697600000,8,-0.00007903
1772726400004,8,0.00010000
1772755200001,8,-0.00008682
1772784000001,8,-0.00012270
1772812800004,8,0.00010000
1772841600001,8,0.00010000
1772870400012,8,-0.00001351
1772899200001,8,0.00010000
1772928000001,8,0.00002389
1772956800000,8,0.00010000
1772985600002,8,-0.00014197
1773014400000,8,0.00008800
1773043200004,8,0.00010000
1773072000003,8,0.00010000
1773100800012,8,0.00010000
1773129600002,8,-0.00034097
1773158400001,8,0.00010000
1773187200000,8,0.00010000
1773216000007,8,0.00010000
1773244800010,8,0.00010000
1773273600000,8,0.00010000
1773302400000,8,-0.00003109
1773331200000,8,0.00010000
1773360000006,8,0.00010000
1773388800001,8,0.00010000
1773417600000,8,0.00010000
1773446400001,8,0.00010000
1773475200000,8,0.00010000
1773504000007,8,0.00010000
1773532800000,8,0.00010000
1773561600000,8,0.00010000
1773590400000,8,0.00010000
1773619200000,8,0.00010000
1773648000010,8,0.00010000
1773676800000,8,0.00010000
1773705600000,8,0.00010000
1773734400002,8,0.00010000
1773763200011,8,0.00010000
1773792000002,8,0.00010000
1773820800002,8,0.00008964
1773849600005,8,0.00010000
1773878400000,8,0.00010000
1773907200003,8,0.00010000
1773936000003,8,0.00010000
1773964800002,8,0.00010000
1773993600000,8,0.00010000
1774022400000,8,0.00010000
1774051200000,8,0.00010000
1774080000000,8,0.00010000
1774108800014,8,0.00010000
1774137600012,8,0.00002270
1774166400007,8,0.00002222
1774195200002,8,0.00010000
1774224000000,8,0.00002376
1774252800003,8,0.00010000
1774281600002,8,0.00010000
1774310400000,8,0.00010000
1774339200000,8,0.00009167
1774368000003,8,0.00010000
1774396800000,8,-0.00010425
1774425600000,8,0.00010000
1774454400013,8,0.00010000
1774483200001,8,-0.00001260
1774512000001,8,0.00007199
1774540800000,8,0.00010000
1774569600006,8,0.00010000
1774598400000,8,-0.00000353
1774627200000,8,0.00010000
1774656000005,8,0.00010000
1774684800005,8,0.00010000
1774713600000,8,0.00010000
1774742400003,8,0.00010000
1774771200001,8,0.00010000
1774800000000,8,0.00010000
1774828800000,8,0.00010000
1774857600005,8,0.00010000
1774886400000,8,0.00010000
1774915200000,8,0.00010000
1774944000000,8,0.00006504
1774972800000,8,-0.00000918
1777593600000,8,-0.00002362
1777622400005,8,0.00003176
1777651200000,8,0.00002696
1777680000006,8,0.00004805
1777708800000,8,-0.00005655
1777737600010,8,0.00010000
1777766400005,8,0.00007469
1777795200003,8,-0.00000672
1777824000000,8,0.00008785
1777852800000,8,-0.00001712
1777881600000,8,0.00010000
1777910400003,8,0.00010000
1777939200000,8,-0.00000335
1777968000011,8,0.00009630
1777996800000,8,0.00003433
1778025600010,8,0.00003354
1778054400000,8,0.00010000
1778083200002,8,0.00004099
1778112000000,8,0.00006513
1778140800000,8,0.00010000
1778169600004,8,0.00010000
1778198400003,8,-0.00000349
1778227200002,8,-0.00033818
1778256000003,8,0.00010000
1778284800000,8,0.00010000
1778313600001,8,0.00010000
1778342400002,8,0.00010000
1778371200003,8,0.00001796
1778400000000,8,0.00010000
1778428800000,8,0.00010000
1778457600000,8,0.00010000
1778486400000,8,0.00010000
1778515200000,8,0.00010000
1778544000002,8,0.00007601
1778572800008,8,0.00010000
1778601600000,8,-0.00000970
1778630400010,8,0.00007513
1778659200003,8,0.00003729
1778688000001,8,-0.00002490
1778716800005,8,-0.00007654
1778745600000,8,0.00009833
1778774400000,8,0.00006407
1778803200000,8,0.00007190
1778832000016,8,0.00010000
1778860800012,8,-0.00005539
1778889600005,8,0.00004387
1778918400000,8,-0.00005273
1778947200005,8,0.00006255
1778976000000,8,0.00007889
1779004800010,8,0.00010000
1779033600009,8,0.00002072
1779062400007,8,0.00001678
1779091200002,8,0.00007793
1779120000007,8,0.00010000
1779148800001,8,0.00007204
1779177600001,8,0.00001991
1779206400009,8,0.00010000
1779235200001,8,0.00003072
1779264000006,8,0.00010000
1779292800000,8,0.00010000
1779321600001,8,0.00008710
1779350400000,8,0.00007593
1779379200000,8,0.00008332
1779408000000,8,0.00010000
1779436800004,8,0.00010000
1779465600001,8,0.00010000
1779494400009,8,0.00010000
1779523200001,8,0.00008382
1779552000003,8,0.00010000
1779580800011,8,0.00010000
1779609600008,8,0.00010000
1779638400000,8,0.00003928
1779667200001,8,0.00007645
1779696000001,8,0.00010000
1779724800001,8,0.00010000
1779753600000,8,0.00010000
1779782400003,8,0.00009471
1779811200000,8,0.00010000
1779840000000,8,0.00005647
1779868800004,8,0.00000704
1779897600009,8,0.00003853
1779926400001,8,0.00001581
1779955200000,8,0.00008452
1779984000001,8,0.00001402
1780012800000,8,0.00000352
1780041600001,8,0.00000531
1780070400008,8,0.00010000
1780099200000,8,0.00008303
1780128000001,8,0.00010000
1780156800000,8,0.00010000
1780185600000,8,0.00010000
1780214400000,8,-0.00002232
1780243200004,8,0.00010000
