calc_time,funding_interval_hours,last_funding_rate
1579161600000,8,0.00010000
1579190400000,8,0.00010000
1579219200000,8,0.00010000
1579248000000,8,0.00039602
1579276800000,8,0.00042811
1579305600001,8,0.00482591
1579334400001,8,0.00060635
1579363200000,8,0.00021154
1579392000000,8,0.00047428
1579420800000,8,0.00010000
1579449600000,8,0.00010000
1579478400000,8,0.00010000
1579507200000,8,0.00010000
1579536000000,8,0.00010000
1579564800000,8,0.00010000
1579593600000,8,0.00010000
1579622400000,8,0.00010000
1579651200000,8,0.00010000
1579680000001,8,0.00010000
1579708800000,8,0.00010000
1579737600000,8,0.00010000
1579766400000,8,0.00010000
1579795200000,8,0.00010000
1579824000000,8,0.00010000
1579852800000,8,0.00010000
1579881600001,8,0.00010000
1579910400000,8,0.00010000
1579939200000,8,0.00010000
1579968000001,8,0.00019893
1579996800000,8,0.00010000
1580025600000,8,0.00010000
1580054400000,8,-0.00024741
1580083200000,8,-0.00031510
1580112000001,8,-0.00022022
1580140800000,8,-0.00031241
1580169600000,8,0.00010000
1580198400000,8,0.00010000
1580227200000,8,0.00010000
1580256000001,8,0.00010000
1580284800000,8,0.00006460
1580313600002,8,0.00010000
1580342400000,8,0.00010000
1580371200000,8,0.00010000
1580400000000,8,0.00010000
1580428800000,8,0.00022897
1580457600000,8,0.00020827
1580486400000,8,0.00048118
1580515200000,8,0.00047746
1580544000000,8,0.00010000
1580572800000,8,0.00010000
1580601600000,8,0.00010000
1580630400000,8,0.00013162
1580659200000,8,0.00019412
1580688000000,8,0.00098812
1580716800000,8,0.00076144
1580745600000,8,0.00093712
1580774400000,8,0.00079270
1580803200001,8,0.00087110
1580832000000,8,0.00116544
1580860800002,8,0.00062561
1580889600000,8,0.00072472
1580918400000,8,0.00093187
1580947200000,8,0.00260386
1580976000000,8,0.00161721
1581004800000,8,0.00095361
1581033600000,8,0.00028066
1581062400000,8,0.00010000
1581091200001,8,0.00012638
1581120000000,8,0.00032524
1581148800000,8,0.00012468
1581177600000,8,0.00063193
1581206400000,8,0.00078225
1581235200000,8,0.00139544
1581264000000,8,0.00107473
1581292800000,8,0.00083397
1581321600000,8,0.00073940
1581350400009,8,0.00057045
1581379200000,8,0.00086052
1581408000000,8,0.00046639
1581436800000,8,0.00126962
1581465600000,8,0.00287374
1581494400001,8,0.00484806
1581523200000,8,0.00222075
1581552000001,8,0.00168905
1581580800000,8,0.00171046
1581609600000,8,0.00045888
1581638400000,8,0.00053769
1581667200000,8,0.00059702
1581696000000,8,0.00123915
1581724800000,8,0.00161648
1581753600000,8,0.00126106
1581782400000,8,0.00125426
1581811200000,8,0.00010000
1581840000000,8,0.00010000
1581868800000,8,0.00010000
1581897600000,8,0.00010000
1581926400000,8,0.00010000
1581955200000,8,0.00010000
1581984000000,8,0.00010000
1582012800000,8,0.00010000
1582041600000,8,0.00010000
1582070400000,8,0.00010000
1582099200001,8,0.00010000
1582128000000,8,0.00049800
1582156800004,8,0.00049528
1582185600000,8,0.00010000
1582214400000,8,0.00010000
1582243200000,8,0.00010000
1582272000000,8,0.00010000
1582300800000,8,0.00010000
1582329600000,8,0.00010000
1582358400001,8,0.00010000
1582387200000,8,0.00010000
1582416000000,8,0.00010000
1582444800000,8,0.00010000
1582473600000,8,0.00010000
1582502400015,8,0.00119736
1582531200000,8,0.00054228
1582560000000,8,0.00017640
1582588800001,8,0.00067022
1582617600000,8,0.00049266
1582646400001,8,0.00089243
1582675200000,8,0.00041460
1582704000001,8,0.00014136
1582732800000,8,0.00010000
1582761600001,8,0.00010000
1582790400001,8,0.00010000
1582819200000,8,0.00010000
1582848000000,8,0.00010000
1582876800000,8,0.00021259
1582905600000,8,0.00045876
1582934400000,8,0.00070500
1582963200000,8,0.00080790
1582992000000,8,0.00048493
1583020800000,8,0.00016893
1583049600000,8,0.00059079
1583078400001,8,0.00014664
1583107200000,8,0.00043506
1583136000000,8,0.00024134
1583164800004,8,0.00010000
1583193600000,8,0.00010000
1583222400003,8,0.00010000
1583251200000,8,0.00010000
1583280000002,8,0.00010000
1583308800000,8,0.00010000
1583337600001,8,0.00010000
1583366400000,8,0.00010000
1583395200000,8,0.00010000
1583424000000,8,0.00036322
1583452800003,8,0.00019557
1583481600000,8,0.00035838
1583510400000,8,0.00020615
1583539200000,8,0.00017540
1583568000001,8,0.00010000
1583596800000,8,0.00032105
1583625600001,8,0.00010000
1583654400000,8,0.00010000
1583683200006,8,0.00010000
1583712000000,8,-0.00045054
1583740800000,8,0.00005962
1583769600000,8,-0.00011503
1583798400000,8,0.00010000
1583827200000,8,-0.00007939
1583856000000,8,-0.00014144
1583884800001,8,0.00010000
1583913600000,8,-0.00017719
1583942400000,8,-0.00001680
1583971200001,8,0.00010000
1584000000001,8,0.00006435
1584028800000,8,-0.00109144
1584057600000,8,-0.00076060
1584086400000,8,-0.00502500
1584115200002,8,-0.00362441
1584144000000,8,-0.00249187
1584172800001,8,-0.00096091
1584201600000,8,-0.00012532
1584230400000,8,-0.00008111
1584259200000,8,0.00010000
1584288000001,8,0.00010000
1584316800000,8,0.00010000
1584345600000,8,-0.00181331
1584374400001,8,-0.00056979
1584403200000,8,0.00002339
1584432000000,8,0.00010000
1584460800000,8,-0.00080031
1584489600000,8,-0.00072110
1584518400000,8,-0.00111461
1584547200000,8,-0.00023545
1584576000000,8,0.00010000
1584604800000,8,-0.00046592
1584633600000,8,0.00010000
1584662400000,8,0.00010000
1584691200000,8,0.00010000
1584720000000,8,0.00010000
1584748800000,8,0.00010000
1584777600000,8,0.00010000
1584806400000,8,0.00010000
1584835200000,8,0.00006385
1584864000001,8,0.00010000
1584892800000,8,0.00010000
1584921600000,8,0.00010000
1584950400000,8,0.00010000
1584979200000,8,0.00010000
1585008000000,8,0.00006972
1585036800000,8,0.00010000
1585065600000,8,0.00010000
1585094400000,8,0.00010000
1585123200000,8,0.00005127
1585152000001,8,0.00010000
1585180800006,8,-0.00016364
1585209600002,8,0.00006679
1585238400000,8,0.00010000
1585267200000,8,0.00010000
1585296000000,8,0.00010000
1585324800000,8,0.00010000
1585353600000,8,0.00010000
1585382400000,8,0.00010000
1585411200000,8,0.00010000
1585440000000,8,-0.00019200
1585468800001,8,0.00010000
1585497600000,8,0.00010000
1585526400000,8,-0.00059370
1585555200000,8,0.00010000
1585584000000,8,0.00010000
1585612800000,8,0.00010000
1585641600001,8,0.00010000
1585670400001,8,0.00010000
1585699200002,8,0.00010000
1585728000000,8,0.00010000
1585756800001,8,-0.00007277
1585785600000,8,0.00010000
1585814400000,8,0.00010000
1585843200000,8,0.00010000
1585872000000,8,0.00010000
1585900800000,8,0.00010000
1585929600000,8,0.00010000
1585958400000,8,0.00010000
1585987200000,8,0.00010000
1586016000000,8,0.00010000
1586044800001,8,0.00010000
1586073600000,8,0.00010000
1586102400000,8,0.00010000
1586131200000,8,0.00010000
1586160000000,8,0.00010000
1586188800000,8,0.00010000
1586217600000,8,0.00010000
1586246400000,8,0.00010000
1586275200000,8,0.00010000
1586304000000,8,0.00010000
1586332800000,8,0.00010000
1586361600000,8,0.00010000
1586390400000,8,0.00010000
1586419200001,8,0.00010000
1586448000000,8,0.00010000
1586476800001,8,0.00010000
1586505600000,8,0.00010000
1586534400000,8,0.00006088
1586563200000,8,-0.00029767
1586592000000,8,0.00010000
1586620800000,8,0.00010000
1586649600000,8,0.00010000
1586678400006,8,0.00010000
1586707200001,8,0.00010000
1586736000001,8,-0.00008755
1586764800000,8,0.00010000
1586793600000,8,0.00010000
1586822400000,8,0.00010000
1586851200000,8,0.00010000
1586880000000,8,0.00010000
1586908800000,8,0.00005069
1586937600000,8,0.00010000
1586966400000,8,0.00010000
1586995200000,8,0.00010000
1587024000000,8,0.00010000
1587052800000,8,0.00010000
1587081600000,8,0.00010000
1587110400000,8,0.00010000
1587139200000,8,0.00000804
1587168000000,8,0.00010000
1587196800000,8,0.00010000
1587225600000,8,0.00010000
1587254400000,8,0.00010000
1587283200000,8,0.00010000
1587312000000,8,0.00010000
1587340800000,8,0.00010000
1587369600000,8,0.00010000
1587398400000,8,0.00010000
1587427200000,8,0.00010000
1587456000001,8,0.00010000
1587484800000,8,0.00010000
1587513600001,8,0.00010000
1587542400000,8,0.00010000
1587571200000,8,0.00010000
1587600000000,8,0.00010000
1587628800001,8,0.00010000
1587657600000,8,0.00010000
1587686400000,8,0.00010000
1587715200000,8,0.00010000
1587744000000,8,0.00010000
1587772800003,8,0.00010000
1587801600000,8,0.00021392
1587830400000,8,0.00010000
1587859200000,8,0.00016541
1587888000000,8,0.00010000
1587916800000,8,0.00010000
1587945600000,8,0.00010000
1587974400005,8,0.00010000
1588003200000,8,0.00010000
1588032000000,8,0.00010000
1588060800000,8,0.00010000
1588089600000,8,0.00010000
1588118400000,8,0.00017635
1588147200001,8,0.00012540
1588176000000,8,0.00041995
1588204800000,8,0.00055803
1588233600000,8,0.00055985
1588262400000,8,0.00010000
1588291200000,8,0.00038514
1588320000000,8,0.00059566
1588348800000,8,0.00015341
1588377600000,8,0.00047301
1588406400000,8,0.00068422
1588435200000,8,0.00015373
