calc_time,funding_interval_hours,last_funding_rate
1577836800000,8,0.00010000
1577865600000,8,0.00007354
1577894400000,8,-0.00016125
1577923200002,8,0.00005047
1577952000000,8,0.00010000
1577980800000,8,0.00010000
1578009600000,8,0.00010000
1578038400000,8,0.00010000
1578067200001,8,0.00010000
1578096000000,8,0.00010000
1578124800000,8,0.00010000
1578153600000,8,0.00010000
1578182400000,8,0.00010000
1578211200000,8,0.00010000
1578240000000,8,0.00010000
1578268800000,8,0.00010000
1578297600000,8,0.00010000
1578326400000,8,0.00010000
1578355200000,8,0.00010000
1578384000001,8,0.00010000
1578412800000,8,0.00010000
1578441600000,8,0.00010000
1578470400000,8,0.00010000
1578499200001,8,0.00010000
1578528000000,8,0.00010000
1578556800000,8,0.00010000
1578585600000,8,0.00010000
1578614400000,8,0.00010000
1578643200000,8,0.00010000
1578672000000,8,0.00010000
1578700800000,8,0.00010000
1578729600000,8,0.00010000
1578758400000,8,0.00010000
1578787200000,8,0.00010000
1578816000000,8,0.00010000
1578844800000,8,0.00010000
1578873600001,8,0.00010000
1578902400000,8,0.00010000
1578931200000,8,0.00010000
1578960000000,8,0.00010000
1578988800000,8,0.00010000
1579017600001,8,0.00010000
1579046400000,8,0.00011544
1579075200000,8,0.00020223
1579104000000,8,0.00031864
1579132800000,8,0.00017165
1579161600000,8,0.00038406
1579190400000,8,0.00042240
1579219200000,8,0.00018772
1579248000000,8,0.00010000
1579276800000,8,0.00020327
1579305600001,8,0.00010000
1579334400001,8,0.00010000
1579363200000,8,0.00011014
1579392000000,8,0.00044662
1579420800000,8,0.00019851
1579449600000,8,0.00023852
1579478400000,8,0.00047503
1579507200000,8,0.00054081
1579536000000,8,0.00038562
1579564800000,8,0.00021637
1579593600000,8,0.00016823
1579622400000,8,0.00018627
1579651200000,8,0.00015350
1579680000001,8,0.00010000
1579708800000,8,0.00010000
1579737600000,8,0.00010000
1579766400000,8,0.00010000
1579795200000,8,0.00021994
1579824000000,8,0.00017114
1579852800000,8,0.00017748
1579881600001,8,0.00025923
1579910400000,8,0.00010000
1579939200000,8,0.00010000
1579968000001,8,0.00027793
1579996800000,8,0.00031959
1580025600000,8,0.00026387
1580054400000,8,0.00010000
1580083200000,8,0.00010000
1580112000001,8,0.00010000
1580140800000,8,0.00010000
1580169600000,8,0.00010167
1580198400000,8,0.00049212
1580227200000,8,0.00091788
1580256000001,8,0.00122251
1580284800000,8,0.00106130
1580313600002,8,0.00055576
1580342400000,8,0.00054882
1580371200000,8,0.00049058
1580400000000,8,0.00054951
1580428800000,8,0.00082589
1580457600000,8,0.00132017
1580486400000,8,0.00093741
1580515200000,8,0.00072010
1580544000000,8,0.00070775
1580572800000,8,0.00052861
1580601600000,8,0.00035200
1580630400000,8,0.00016128
1580659200000,8,0.00010000
1580688000000,8,0.00010000
1580716800000,8,0.00010000
1580745600000,8,0.00010000
1580774400000,8,0.00036575
1580803200001,8,0.00014722
1580832000000,8,0.00039381
1580860800002,8,0.00010000
1580889600000,8,0.00010000
1580918400000,8,0.00095515
1580947200000,8,0.00112654
1580976000000,8,0.00077325
1581004800000,8,0.00053238
1581033600000,8,0.00032775
1581062400000,8,0.00014913
1581091200001,8,0.00045718
1581120000000,8,0.00026524
1581148800000,8,0.00027312
1581177600000,8,0.00029946
1581206400000,8,0.00097062
1581235200000,8,0.00063224
1581264000000,8,0.00136228
1581292800000,8,0.00130685
1581321600000,8,0.00193444
1581350400009,8,0.00295694
1581379200000,8,0.00118120
1581408000000,8,0.00150902
1581436800000,8,0.00107512
1581465600000,8,0.00284470
1581494400001,8,0.00367190
1581523200000,8,0.00148984
1581552000001,8,0.00119193
1581580800000,8,0.00141789
1581609600000,8,0.00178950
1581638400000,8,0.00133922
1581667200000,8,0.00081527
1581696000000,8,0.00097804
1581724800000,8,0.00084363
1581753600000,8,0.00099519
1581782400000,8,0.00116429
1581811200000,8,0.00191229
1581840000000,8,0.00042143
1581868800000,8,0.00063291
1581897600000,8,0.00065370
1581926400000,8,0.00052153
1581955200000,8,0.00088411
1581984000000,8,0.00024205
1582012800000,8,0.00012422
1582041600000,8,0.00023619
1582070400000,8,0.00071740
1582099200001,8,0.00095567
1582128000000,8,0.00068394
1582156800004,8,0.00019490
1582185600000,8,0.00010000
1582214400000,8,0.00053851
1582243200000,8,0.00069899
1582272000000,8,0.00053530
1582300800000,8,0.00057420
1582329600000,8,0.00051605
1582358400001,8,0.00056424
1582387200000,8,0.00045883
1582416000000,8,0.00077311
1582444800000,8,0.00043317
1582473600000,8,0.00048157
1582502400015,8,0.00054128
1582531200000,8,0.00037142
1582560000000,8,0.00020954
1582588800001,8,0.00031422
1582617600000,8,0.00040545
1582646400001,8,0.00052084
1582675200000,8,0.00047129
1582704000001,8,0.00079802
1582732800000,8,0.00071497
1582761600001,8,0.00010000
1582790400001,8,0.00025833
1582819200000,8,0.00010335
1582848000000,8,0.00012465
1582876800000,8,0.00025289
1582905600000,8,0.00030522
1582934400000,8,0.00040998
1582963200000,8,0.00055451
1582992000000,8,0.00047771
1583020800000,8,0.00032216
1583049600000,8,0.00018986
1583078400001,8,0.00015628
1583107200000,8,0.00014747
1583136000000,8,0.00015638
1583164800004,8,0.00010000
1583193600000,8,0.00010000
1583222400003,8,0.00010000
1583251200000,8,0.00031403
1583280000002,8,0.00030731
1583308800000,8,0.00030432
1583337600001,8,0.00032821
1583366400000,8,0.00029022
1583395200000,8,0.00039893
1583424000000,8,0.00036018
1583452800003,8,0.00037380
1583481600000,8,0.00010000
1583510400000,8,0.00010000
1583539200000,8,0.00010000
1583568000001,8,0.00010000
1583596800000,8,0.00013739
1583625600001,8,0.00032347
1583654400000,8,0.00045820
1583683200006,8,0.00037933
1583712000000,8,0.00010000
1583740800000,8,0.00011432
1583769600000,8,0.00016188
1583798400000,8,0.00025018
1583827200000,8,0.00010000
1583856000000,8,0.00025409
1583884800001,8,0.00010000
1583913600000,8,0.00016304
1583942400000,8,0.00037247
1583971200001,8,0.00036391
1584000000001,8,0.00054526
1584028800000,8,0.00010000
1584057600000,8,0.00010000
1584086400000,8,-0.00281778
1584115200002,8,-0.00027991
1584144000000,8,0.00010000
1584172800001,8,0.00010000
1584201600000,8,0.00010000
1584230400000,8,0.00010000
1584259200000,8,0.00010000
1584288000001,8,0.00010000
1584316800000,8,0.00010000
1584345600000,8,0.00010000
1584374400001,8,-0.00022932
1584403200000,8,0.00010000
1584432000000,8,0.00010000
1584460800000,8,0.00010000
1584489600000,8,0.00010000
1584518400000,8,0.00010000
1584547200000,8,0.00010000
1584576000000,8,0.00010000
1584604800000,8,0.00010000
1584633600000,8,0.00010000
1584662400000,8,0.00010000
1584691200000,8,0.00010000
1584720000000,8,0.00010000
1584748800000,8,0.00010000
1584777600000,8,0.00010000
1584806400000,8,0.00010000
1584835200000,8,0.00010000
1584864000001,8,0.00010000
1584892800000,8,0.00010000
1584921600000,8,0.00010000
1584950400000,8,0.00010000
1584979200000,8,0.00010000
1585008000000,8,0.00010000
1585036800000,8,0.00010000
1585065600000,8,0.00010000
1585094400000,8,0.00010000
1585123200000,8,0.00010000
1585152000001,8,0.00010000
1585180800006,8,0.00010000
1585209600002,8,0.00010000
1585238400000,8,0.00010000
1585267200000,8,0.00010000
1585296000000,8,0.00010000
1585324800000,8,0.00010000
1585353600000,8,0.00010000
1585382400000,8,-0.00002715
1585411200000,8,0.00010000
1585440000000,8,0.00010000
1585468800001,8,0.00010000
1585497600000,8,0.00010000
1585526400000,8,0.00010000
1585555200000,8,-0.00009910
1585584000000,8,0.00010000
1585612800000,8,0.00010000
1585641600001,8,0.00010000
1585670400001,8,0.00010000
1585699200002,8,0.00010000
1585728000000,8,0.00010000
1585756800001,8,-0.00007368
1585785600000,8,-0.00005170
1585814400000,8,0.00010000
1585843200000,8,0.00010000
1585872000000,8,0.00010000
1585900800000,8,0.00010000
1585929600000,8,0.00010000
1585958400000,8,0.00004881
1585987200000,8,0.00010000
1586016000000,8,0.00010000
1586044800001,8,0.00010000
1586073600000,8,0.00003554
1586102400000,8,0.00010000
1586131200000,8,0.00010000
1586160000000,8,0.00007540
1586188800000,8,0.00005027
1586217600000,8,-0.00014221
1586246400000,8,-0.00008712
1586275200000,8,0.00008758
1586304000000,8,0.00010000
1586332800000,8,0.00010000
1586361600000,8,0.00010000
1586390400000,8,0.00010000
1586419200001,8,0.00010000
1586448000000,8,0.00010000
1586476800001,8,0.00010000
1586505600000,8,0.00010000
1586534400000,8,0.00010000
1586563200000,8,-0.00000690
1586592000000,8,0.00009267
1586620800000,8,0.00010000
1586649600000,8,0.00010000
1586678400006,8,0.00001985
1586707200001,8,0.00010000
1586736000001,8,0.00010000
1586764800000,8,0.00010000
1586793600000,8,0.00010000
1586822400000,8,0.00010000
1586851200000,8,0.00010000
1586880000000,8,0.00010000
1586908800000,8,0.00010000
1586937600000,8,0.00010000
1586966400000,8,0.00010000
1586995200000,8,0.00010000
1587024000000,8,-0.00002526
1587052800000,8,0.00010000
1587081600000,8,0.00010000
1587110400000,8,0.00010000
1587139200000,8,0.00010000
1587168000000,8,0.00010000
1587196800000,8,0.00009454
1587225600000,8,0.00010000
1587254400000,8,0.00010000
1587283200000,8,0.00010000
1587312000000,8,0.00010000
1587340800000,8,0.00010000
1587369600000,8,0.00010000
1587398400000,8,0.00010000
1587427200000,8,0.00010000
1587456000001,8,0.00010000
1587484800000,8,0.00010000
1587513600001,8,0.00010000
1587542400000,8,0.00010000
1587571200000,8,0.00010000
1587600000000,8,0.00010000
1587628800001,8,0.00010000
1587657600000,8,0.00010000
1587686400000,8,0.00010000
1587715200000,8,0.00010000
1587744000000,8,0.00010000
1587772800003,8,0.00010000
1587801600000,8,0.00010000
1587830400000,8,0.00010000
1587859200000,8,0.00010000
1587888000000,8,0.00010000
1587916800000,8,0.00010000
1587945600000,8,0.00010000
1587974400005,8,0.00010000
1588003200000,8,0.00010000
1588032000000,8,0.00010000
1588060800000,8,0.00010000
1588089600000,8,0.00010000
1588118400000,8,0.00010000
1588147200001,8,0.00010000
1588176000000,8,0.00010000
1588204800000,8,0.00010000
1588233600000,8,0.00040543
1588262400000,8,0.00010000
1588291200000,8,0.00010000
1588320000000,8,0.00019630
1588348800000,8,0.00033541
1588377600000,8,0.00020286
1588406400000,8,0.00028799
1588435200000,8,0.00065493
1588464000000,8,0.00020530
1588492800000,8,0.00033679
1588521600000,8,0.00030318
1588550400000,8,0.00010000
1588579200005,8,0.00020259
1588608000000,8,0.00018353
1588636800000,8,0.00021158
1588665600000,8,0.00033589
1588694400000,8,0.00010000
1588723200001,8,0.00010000
1588752000000,8,0.00023099
1588780800000,8,0.00058198
1588809600000,8,0.00010000
1588838400011,8,0.00010000
1588867200000,8,0.00010111
1588896000000,8,0.00068700
1588924800001,8,0.00027607
1588953600000,8,0.00021374
1588982400000,8,0.00039213
1589011200000,8,0.00018668
1589040000000,8,0.00021700
1589068800000,8,0.00015215
1589097600000,8,0.00010000
1589126400000,8,0.00010000
1589155200000,8,0.00010000
1589184000000,8,0.00010000
1589212800000,8,0.00010000
1589241600000,8,0.00010000
1589270400001,8,0.00010000
1589299200000,8,0.00010000
1589328000000,8,0.00010000
1589356800000,8,0.00010000
1589385600000,8,0.00010000
1589414400000,8,0.00010000
1589443200000,8,0.00010000
1589472000000,8,0.00010000
1589500800000,8,0.00004486
1589529600000,8,-0.00003957
1589558400001,8,0.00010000
1589587200008,8,0.00010000
1589616000000,8,-0.00005470
1589644800000,8,0.00010000
1589673600002,8,0.00010000
1589702400000,8,-0.00004057
1589731200000,8,0.00010000
1589760000000,8,0.00010000
1589788800000,8,0.00010000
1589817600001,8,0.00010000
1589846400005,8,0.00010000
1589875200000,8,0.00010000
1589904000000,8,0.00010000
1589932800000,8,0.00010000
1589961600000,8,0.00010000
1589990400006,8,0.00010000
1590019200000,8,0.00010000
1590048000000,8,0.00010000
1590076800000,8,0.00010000
1590105600006,8,0.00003518
1590134400000,8,0.00010000
1590163200000,8,0.00010000
1590192000003,8,0.00010000
1590220800000,8,0.00010000
1590249600000,8,0.00010000
1590278400006,8,0.00010000
1590307200000,8,0.00010000
1590336000000,8,0.00010000
1590364800000,8,0.00010000
1590393600000,8,0.00010000
1590422400000,8,0.00010000
1590451200000,8,0.00010000
1590480000006,8,0.00010000
1590508800000,8,0.00010000
1590537600000,8,0.00010000
1590566400000,8,0.00010000
1590595200000,8,0.00010000
1590624000000,8,0.00010000
1590652800000,8,0.00010000
1590681600000,8,0.00010000
1590710400000,8,0.00010000
1590739200000,8,0.00010000
1590768000000,8,0.00010000
1590796800000,8,0.00010000
1590825600001,8,0.00010000
1590854400000,8,0.00010000
1590883200000,8,0.00010000
1590912000001,8,0.00010000
1590940800000,8,0.00010000
1590969600000,8,0.00010000
1590998400001,8,0.00010000
1591027200000,8,0.00010000
1591056000000,8,0.00034764
1591084800002,8,0.00018222
1591113600000,8,0.00010000
1591142400000,8,0.00010000
1591171200000,8,0.00010000
1591200000002,8,0.00010000
1591228800001,8,0.00010000
1591257600004,8,0.00010000
1591286400001,8,0.00010000
1591315200001,8,0.00010000
1591344000000,8,0.00010000
1591372800001,8,0.00010000
1591401600000,8,0.00010000
1591430400000,8,0.00010000
1591459200000,8,0.00010000
1591488000000,8,0.00010000
1591516800000,8,0.00010000
1591545600006,8,0.00010000
1591574400008,8,0.00010000
1591603200007,8,0.00021080
1591632000000,8,0.00023671
1591660800000,8,0.00021431
1591689600000,8,0.00010000
1591718400000,8,0.00012471
1591747200000,8,0.00010000
1591776000000,8,0.00010000
1591804800000,8,0.00010000
1591833600008,8,0.00023457
1591862400001,8,0.00010000
1591891200000,8,0.00010000
1591920000003,8,0.00010000
1591948800000,8,0.00010000
1591977600002,8,0.00010000
1592006400000,8,0.00010000
1592035200001,8,0.00010000
1592064000000,8,0.00010000
1592092800007,8,0.00010000
1592121600000,8,0.00010000
1592150400001,8,0.00010000
1592179200000,8,0.00010000
1592208000001,8,0.00010000
1592236800000,8,0.00010000
1592265600002,8,0.00010000
1592294400000,8,0.00010000
1592323200006,8,0.00010000
1592352000000,8,0.00010000
1592380800007,8,0.00010000
1592409600000,8,0.00010000
1592438400003,8,0.00010000
1592467200001,8,0.00010000
1592496000002,8,0.00010000
1592524800001,8,0.00010000
1592553600003,8,0.00010000
1592582400000,8,0.00010000
1592611200000,8,0.00010000
1592640000009,8,0.00010000
1592668800006,8,0.00010000
1592697600000,8,0.00010000
1592726400000,8,0.00010000
1592755200000,8,0.00010000
1592784000000,8,0.00010000
1592812800000,8,0.00010000
1592841600001,8,0.00010000
1592870400000,8,0.00010000
1592899200002,8,0.00010000
1592928000000,8,0.00010000
1592956800001,8,0.00010000
1592985600000,8,0.00010000
1593014400000,8,0.00010000
1593043200000,8,0.00010000
1593072000000,8,0.00010000
1593100800000,8,0.00010000
1593129600000,8,0.00010000
1593158400000,8,0.00010000
1593187200000,8,0.00010000
1593216000003,8,0.00010000
