calc_time,funding_interval_hours,last_funding_rate
1602835200003,8,-0.00750000
1602864000000,8,-0.00750000
1602892800006,8,-0.00750000
1602921600007,8,-0.00750000
1602950400009,8,-0.00750000
1602979200006,8,-0.00750000
1603008000000,8,-0.00750000
1603036800000,8,-0.00750000
1603065600000,8,-0.00750000
1603094400000,8,-0.00750000
1603123200000,8,-0.00750000
1603152000015,8,-0.00750000
1603180800000,8,-0.00750000
1603209600008,8,-0.00750000
1603238400009,8,-0.00750000
1603267200004,8,-0.00750000
1603296000000,8,-0.00750000
1603324800000,8,-0.00237781
1603353600000,8,-0.00609826
1603382400004,8,-0.00353528
1603411200007,8,-0.00750000
1603440000000,8,-0.00750000
1603468800000,8,-0.00750000
1603497600000,8,-0.00750000
1603526400000,8,-0.00750000
1603555200008,8,-0.00750000
1603584000005,8,-0.00750000
1603612800014,8,-0.00750000
1603641600000,8,-0.00750000
1603670400004,8,-0.00750000
1603699200000,8,-0.00750000
1603728000000,8,-0.00750000
1603756800000,8,-0.00750000
1603785600000,8,-0.00750000
1603814400000,8,-0.00750000
1603843200000,8,-0.00750000
1603872000006,8,-0.00616829
1603900800001,8,-0.00750000
1603929600000,8,-0.00320528
1603958400000,8,-0.00342497
1603987200000,8,-0.00285467
1604016000000,8,-0.00126858
1604044800002,8,-0.00464884
1604073600002,8,-0.00207311
1604102400003,8,-0.00141812
1604131200000,8,-0.00207770
1604160000000,8,-0.00123738
1604188800000,8,-0.00245452
1604217600000,8,-0.00220503
1604246400000,8,-0.00086395
1604275200000,8,-0.00107061
1604304000010,8,-0.00147186
1604332800000,8,-0.00139484
1604361600000,8,-0.00065394
1604390400004,8,-0.00246570
1604419200009,8,-0.00076940
1604448000000,8,-0.00029481
1604476800000,8,-0.00169867
1604505600005,8,-0.00172025
1604534400017,8,-0.00083814
1604563200001,8,-0.00162517
1604592000000,8,-0.00039812
1604620800000,8,-0.00008301
1604649600001,8,-0.00037817
1604678400001,8,0.00010000
1604707200001,8,-0.00103745
1604736000000,8,0.00010000
1604764800006,8,-0.00166956
1604793600000,8,-0.00135191
