calc_time,funding_interval_hours,last_funding_rate
1646092800002,8,-0.00038284
1646121600001,8,0.00010000
1646150400000,8,0.00010000
1646179200000,8,0.00010000
1646208000000,8,0.00010000
1646236800002,8,0.00010000
1646265600000,8,0.00010000
1646294400000,8,0.00010000
1646323200005,8,0.00004432
1646352000018,8,-0.00027375
1646380800000,8,-0.00018982
1646409600000,8,-0.00010257
1646438400006,8,-0.00005805
1646467200004,8,-0.00068081
1646496000000,8,-0.00041615
1646524800004,8,-0.00056462
1646553600000,8,-0.00051928
1646582400013,8,-0.00001793
1646611200008,8,-0.00014531
1646640000006,8,-0.00009625
1646668800000,8,-0.00037887
1646697600008,8,-0.00014409
1646726400002,8,-0.00021656
1646755200000,8,-0.00019248
1646784000008,8,-0.00032085
1646812800000,8,0.00002962
1646841600004,8,0.00010000
1646870400000,8,-0.00014102
1646899200017,8,-0.00020339
1646928000000,8,-0.00023708
1646956800008,8,0.00004774
1646985600000,8,0.00005770
1647014400001,8,0.00004481
1647043200010,8,-0.00004468
1647072000001,8,-0.00000551
1647100800002,8,0.00010000
1647129600008,8,0.00001813
1647158400000,8,0.00003185
1647187200002,8,0.00010000
1647216000014,8,0.00010000
1647244800005,8,-0.00010427
1647273600002,8,0.00010000
1647302400008,8,-0.00004386
1647331200000,8,0.00008316
1647360000006,8,0.00007142
1647388800013,8,0.00010000
1647417600000,8,0.00010000
1647446400008,8,0.00010000
1647475200004,8,0.00010000
1647504000000,8,0.00010000
1647532800004,8,0.00010000
1647561600000,8,0.00010000
1647590400000,8,0.00010000
1647619200017,8,0.00010000
1647648000008,8,0.00010000
1647676800015,8,0.00010000
1647705600000,8,0.00010000
1647734400000,8,0.00010000
1647763200001,8,0.00010000
1647792000002,8,0.00010000
1647820800013,8,0.00010000
1647849600004,8,0.00010000
1647878400010,8,0.00010000
1647907200012,8,0.00010000
1647936000001,8,0.00010000
1647964800022,8,0.00010000
1647993600007,8,0.00010000
1648022400000,8,0.00010000
1648051200006,8,0.00010000
1648080000013,8,0.00010000
1648108800006,8,0.00010000
1648137600020,8,0.00010000
1648166400010,8,0.00010000
1648195200001,8,0.00010000
1648224000014,8,0.00010000
1648252800020,8,0.00007066
1648281600006,8,0.00005510
1648310400000,8,0.00010000
1648339200004,8,0.00010000
1648368000001,8,0.00010000
1648396800006,8,0.00010000
1648425600012,8,0.00010000
1648454400007,8,0.00010000
1648483200000,8,0.00010000
1648512000000,8,0.00010000
1648540800015,8,0.00010000
1648569600000,8,0.00010000
1648598400000,8,0.00010000
1648627200002,8,0.00010000
1648656000028,8,0.00010000
1648684800017,8,0.00010000
1648713600000,8,0.00010000
1648742400015,8,0.00010000
1664582400008,8,0.00010000
1664611200011,8,0.00010000
1664640000000,8,0.00009549
1664668800000,8,0.00010000
1664697600000,8,0.00010000
1664726400006,8,-0.00016899
1664755200000,8,0.00003223
1664784000014,8,0.00004072
1664812800010,8,0.00010000
1664841600006,8,0.00007069
1664870400004,8,0.00005219
1664899200013,8,0.00010000
1664928000000,8,0.00010000
1664956800000,8,0.00010000
1664985600012,8,0.00006324
1665014400008,8,0.00010000
1665043200002,8,0.00010000
1665072000006,8,0.00006800
1665100800000,8,-0.00006956
1665129600000,8,0.00000724
1665158400007,8,-0.00002683
1665187200010,8,0.00010000
1665216000004,8,0.00010000
1665244800018,8,0.00010000
1665273600000,8,-0.00004017
1665302400007,8,0.00010000
1665331200011,8,0.00010000
1665360000018,8,0.00010000
1665388800000,8,0.00010000
1665417600026,8,0.00010000
1665446400020,8,0.00003020
1665475200027,8,0.00007506
1665504000000,8,0.00004090
1665532800014,8,-0.00002959
1665561600000,8,0.00001593
1665590400000,8,-0.00001439
1665619200013,8,-0.00003236
1665648000016,8,-0.00008159
1665676800009,8,-0.00014321
1665705600020,8,0.00010000
1665734400000,8,0.00010000
1665763200009,8,0.00008574
1665792000001,8,-0.00003748
1665820800005,8,0.00003281
1665849600004,8,0.00008326
1665878400012,8,0.00010000
1665907200000,8,0.00010000
1665936000010,8,0.00010000
1665964800012,8,0.00009899
1665993600010,8,0.00010000
1666022400017,8,0.00010000
1666051200010,8,0.00010000
1666080000008,8,0.00010000
1666108800000,8,0.00010000
1666137600007,8,0.00010000
1666166400022,8,0.00010000
1666195200016,8,0.00010000
1666224000000,8,0.00010000
1666252800013,8,0.00001851
1666281600000,8,0.00009091
1666310400005,8,-0.00011927
1666339200018,8,-0.00013385
1666368000000,8,-0.00008300
1666396800000,8,-0.00007692
1666425600015,8,0.00007408
1666454400000,8,0.00003157
1666483200025,8,0.00010000
1666512000000,8,0.00010000
1666540800004,8,0.00008066
1666569600009,8,0.00010000
1666598400012,8,0.00010000
1666627200002,8,0.00007025
1666656000013,8,0.00010000
1666684800013,8,0.00010000
1666713600000,8,0.00002486
1666742400006,8,0.00010000
1666771200013,8,0.00010000
1666800000000,8,0.00010000
1666828800009,8,0.00009719
1666857600006,8,0.00010000
1666886400009,8,0.00010000
1666915200000,8,0.00010000
1666944000000,8,0.00010000
1666972800007,8,0.00010000
1667001600000,8,0.00010000
1667030400003,8,0.00010000
1667059200010,8,0.00010000
1667088000000,8,0.00010000
1667116800013,8,0.00010000
1667145600009,8,0.00010000
1667174400012,8,0.00006235
1667203200000,8,0.00008559
1667232000010,8,0.00004049
