calc_time,funding_interval_hours,last_funding_rate
1615968000000,8,0.00066260
1615996800009,8,0.00010000
1616025600001,8,0.00098686
1616054400000,8,0.00148732
1616083200000,8,0.00176393
1616112000011,8,0.00010000
1616140800001,8,0.00087075
1616169600000,8,0.00092910
1616198400000,8,0.00078537
1616227200000,8,0.00194452
1616256000007,8,0.00234300
1616284800000,8,0.00070622
1616313600000,8,0.00035337
1616342400000,8,0.00047751
1616371200007,8,0.00010000
1616400000001,8,0.00017344
1616428800000,8,0.00073802
1616457600000,8,0.00010000
1616486400010,8,0.00010000
1616515200023,8,0.00010000
1616544000002,8,0.00010000
1616572800000,8,0.00021892
1616601600000,8,0.00042808
1616630400000,8,0.00010000
1616659200000,8,0.00010000
1616688000000,8,0.00010000
1616716800008,8,0.00010000
1616745600000,8,0.00010000
1616774400012,8,0.00010906
1616803200018,8,0.00010000
1616832000000,8,0.00012683
1616860800001,8,0.00013033
1616889600000,8,0.00010000
1616918400000,8,0.00059818
1616947200005,8,0.00038250
1616976000003,8,0.00010000
1617004800000,8,0.00034099
1617033600000,8,0.00168706
1617062400018,8,0.00133406
1617091200012,8,0.00150242
1617120000001,8,0.00208997
1617148800000,8,0.00139977
1617177600000,8,0.00187114
1617206400000,8,0.00120593
1617235200025,8,0.00156060
1617264000011,8,0.00197392
1617292800004,8,0.00287677
1617321600000,8,0.00194039
1617350400000,8,0.00311757
1617379200000,8,0.00276208
1617408000003,8,0.00182636
1617436800000,8,0.00307174
1617465600000,8,0.00319956
1617494400000,8,0.00010000
1617523200000,8,0.00090949
1617552000016,8,0.00112082
1617580800000,8,0.00086421
1617609600001,8,0.00145132
1617638400001,8,0.00241762
1617667200010,8,0.00260840
1617696000000,8,0.00276495
1617724800003,8,0.00203141
1617753600000,8,0.00079496
1617782400006,8,0.00069723
1617811200004,8,0.00017980
1617840000013,8,0.00021065
1617868800003,8,0.00027671
1617897600005,8,0.00035265
1617926400000,8,0.00106317
1617955200004,8,0.00106853
1617984000004,8,0.00093891
1618012800011,8,0.00054699
1618041600005,8,0.00178253
1618070400000,8,0.00190047
1618099200004,8,0.00109653
1618128000000,8,0.00113523
1618156800000,8,0.00232574
1618185600001,8,0.00170303
1618214400001,8,0.00262227
1618243200008,8,0.00142692
1618272000003,8,0.00170969
1618300800008,8,0.00194633
1618329600008,8,0.00237594
1618358400008,8,0.00139617
1618387200000,8,0.00358220
1618416000012,8,0.00072000
1618444800006,8,0.00144064
1618473600000,8,0.00197460
1618502400008,8,0.00313596
1618531200008,8,0.00248495
1618560000000,8,0.00226637
1618588800002,8,0.00221695
1618617600008,8,0.00225277
1618646400000,8,0.00258968
1618675200001,8,0.00188518
1618704000006,8,0.00154194
1618732800004,8,0.00010000
1618761600000,8,0.00010000
1618790400000,8,0.00010000
1618819200000,8,0.00011300
1618848000009,8,0.00010000
1618876800004,8,0.00010000
1618905600000,8,0.00010000
1618934400001,8,0.00010000
1618963200013,8,0.00010000
1618992000001,8,0.00010000
1619020800002,8,0.00010000
1619049600000,8,0.00010000
1619078400000,8,0.00010000
1619107200001,8,0.00010000
1619136000002,8,0.00010000
1619164800009,8,0.00010000
1619193600001,8,0.00010000
1619222400019,8,0.00010000
1619251200001,8,0.00010000
1619280000011,8,0.00010000
1619308800000,8,0.00010000
