calc_time,funding_interval_hours,last_funding_rate
1660665600000,8,0.00010000
1660694400020,8,0.00010000
1660723200016,8,0.00033137
1660752000001,8,0.00010000
1660780800005,8,0.00010000
1660809600012,8,0.00010000
1660838400013,8,0.00010000
1660867200000,8,0.00010000
1660896000000,8,0.00010000
1660924800009,8,0.00010000
1660953600000,8,0.00010000
1660982400005,8,0.00010000
1661011200000,8,0.00010000
1661040000010,8,-0.00003237
1661068800013,8,-0.00043491
1661097600000,8,-0.00023699
1661126400011,8,-0.00292582
1661155200005,8,-0.00018878
1661184000005,8,-0.00254715
1661212800000,8,0.00010000
1661241600021,8,-0.00048032
1661270400005,8,0.00010000
1661299200017,8,-0.00010008
1661328000021,8,-0.00022205
1661356800000,8,-0.00013159
1661385600003,8,0.00010000
1661414400000,8,0.00010000
1661443200004,8,0.00010000
1661472000001,8,0.00000446
1661500800004,8,-0.00014574
1661529600000,8,0.00002562
1661558400010,8,0.00002654
1661587200007,8,0.00010000
1661616000008,8,0.00010000
1661644800019,8,0.00010000
1661673600000,8,0.00010000
1661702400000,8,0.00010000
1661731200000,8,0.00010000
1661760000000,8,0.00010000
1661788800001,8,-8.6E-7
1661817600001,8,-0.00005638
1661846400005,8,0.00010000
1661875200010,8,0.00010000
1661904000000,8,0.00007616
1661932800005,8,0.00010000
1661961600013,8,0.00000721
1661990400012,8,0.00010000
1662019200000,8,0.00010000
1662048000013,8,0.00010000
1662076800002,8,0.00010000
1662105600013,8,0.00010000
1662134400000,8,0.00010000
1662163200000,8,0.00010000
1662192000002,8,0.00010000
1662220800007,8,0.00010000
1662249600008,8,0.00010000
1662278400009,8,0.00010000
1662307200000,8,0.00010000
1662336000015,8,0.00010000
1662364800013,8,0.00010000
1662393600007,8,0.00004747
1662422400018,8,0.00010000
1662451200020,8,0.00010000
1662480000028,8,0.00006966
1662508800013,8,0.00010000
1662537600022,8,0.00010000
1662566400021,8,0.00010000
1662595200010,8,0.00010000
1662624000000,8,0.00010000
1662652800003,8,0.00010000
1662681600011,8,0.00010000
1662710400000,8,0.00010000
1662739200000,8,0.00010000
1662768000003,8,0.00010000
1662796800000,8,0.00010000
1662825600012,8,0.00010000
1662854400009,8,0.00010000
1662883200012,8,0.00010000
1662912000005,8,0.00010000
1662940800007,8,-0.00179148
1662969600013,8,-0.00019733
1662998400000,8,0.00010000
1663027200004,8,0.00010000
1663056000000,8,0.00010000
1663084800000,8,0.00010000
1663113600000,8,0.00010000
1663142400000,8,0.00003287
1663171200000,8,0.00001952
1663200000019,8,0.00008807
1663228800012,8,0.00002174
1663257600007,8,0.00010000
1663286400000,8,-0.00002186
1663315200000,8,0.00004929
1663344000000,8,0.00010000
1663372800000,8,0.00010000
1663401600012,8,0.00010000
1663430400017,8,0.00010000
1663459200000,8,0.00010000
1663488000004,8,-0.00010567
1663516800000,8,0.00010000
1663545600018,8,-0.00015252
1663574400006,8,0.00010000
1663603200010,8,0.00001640
1663632000007,8,-0.00100491
1663660800001,8,-0.00297534
1663689600000,8,-0.00055357
1663718400001,8,0.00010000
1663747200005,8,0.00005917
1663776000000,8,0.00010000
1663804800000,8,0.00003356
1663833600000,8,0.00010000
1663862400011,8,0.00010000
1663891200023,8,0.00010000
1663920000004,8,0.00010000
1663948800005,8,0.00010000
1663977600000,8,0.00010000
1664006400005,8,0.00010000
1664035200000,8,-0.00024042
1664064000010,8,0.00010000
1664092800000,8,-0.00040557
1664121600003,8,-0.00027642
1664150400001,8,-0.00263285
1664179200006,8,-0.00098393
1664208000000,8,-0.00041354
1664236800026,8,-0.00036964
1664265600004,8,0.00010000
1664294400006,8,0.00007539
1664323200011,8,0.00010000
1664352000000,8,0.00010000
1664380800000,8,0.00000280
1664409600010,8,0.00010000
1664438400000,8,0.00010000
1664467200000,8,0.00000648
1664496000006,8,0.00010000
1664524800002,8,0.00010000
1664553600007,8,0.00010000
1664582400008,8,0.00010000
1664611200011,8,0.00010000
1664640000000,8,0.00010000
1664668800000,8,0.00010000
1664697600000,8,0.00010000
1664726400006,8,0.00010000
1664755200000,8,0.00010000
1664784000014,8,0.00010000
1664812800010,8,0.00010000
1664841600006,8,0.00010000
1664870400004,8,0.00003153
1664899200013,8,-0.00121326
1664928000000,8,0.00010000
1664956800000,8,-0.00004732
1664985600012,8,0.00010000
1665014400008,8,-0.00004648
1665043200002,8,-0.00059335
1665072000006,8,0.00002060
1665100800000,8,0.00010000
1665129600000,8,0.00010000
1665158400007,8,0.00010000
1665187200010,8,-0.00148951
1665216000004,8,-0.00276005
1665244800018,8,-0.00048367
1665273600000,8,0.00010000
1665302400007,8,0.00010000
1665331200011,8,0.00009840
1665360000018,8,0.00010000
1665388800000,8,0.00010000
1665417600026,8,0.00010000
1665446400020,8,0.00010000
1665475200027,8,0.00010000
1665504000000,8,0.00010000
1665532800014,8,0.00010000
1665561600000,8,0.00009794
1665590400000,8,0.00010000
1665619200013,8,0.00010000
1665648000016,8,0.00005450
1665676800009,8,-0.00017420
1665705600020,8,-0.00012457
1665734400000,8,-0.00008599
1665763200009,8,0.00005336
1665792000001,8,-0.00003948
1665820800005,8,-0.00029499
1665849600004,8,-0.00014182
1665878400012,8,-0.00024272
1665907200000,8,0.00001692
1665936000010,8,-0.00043303
1665964800012,8,-0.00005613
1665993600010,8,-0.00291841
1666022400017,8,-0.00392500
1666051200010,8,-0.00098193
1666080000008,8,0.00009186
1666108800000,8,0.00010000
1666137600007,8,0.00010000
1666166400022,8,0.00010000
1666195200016,8,0.00010000
1666224000000,8,0.00010000
1666252800013,8,0.00010000
1666281600000,8,0.00010000
1666310400005,8,0.00010000
1666339200018,8,0.00010000
1666368000000,8,0.00010000
1666396800000,8,-0.00007697
1666425600015,8,0.00004578
1666454400000,8,-0.00011315
1666483200025,8,0.00010000
1666512000000,8,-0.00016165
1666540800004,8,0.00004617
1666569600009,8,-0.00003953
1666598400012,8,0.00009386
1666627200002,8,0.00010000
1666656000013,8,0.00006564
1666684800013,8,0.00009244
1666713600000,8,-0.00031735
1666742400006,8,-0.00007999
1666771200013,8,0.00010000
1666800000000,8,0.00004336
1666828800009,8,-0.00000629
1666857600006,8,0.00010000
1666886400009,8,0.00004771
1666915200000,8,0.00000225
1666944000000,8,0.00010000
1666972800007,8,-0.00020775
1667001600000,8,0.00006491
1667030400003,8,0.00010000
1667059200010,8,0.00010000
1667088000000,8,0.00010000
1667116800013,8,-0.00017578
1667145600009,8,0.00010000
1667174400012,8,0.00010000
1667203200000,8,0.00010000
1667232000010,8,0.00010000
1667260800000,8,0.00010000
1667289600000,8,0.00008831
1667318400000,8,0.00003977
1667347200000,8,0.00010000
1667376000000,8,-0.00008792
1667404800019,8,0.00010000
1667433600011,8,0.00008069
1667462400016,8,0.00004920
1667491200005,8,0.00010000
1667520000000,8,0.00010000
1667548800004,8,0.00010000
1667577600020,8,-0.00010260
1667606400009,8,0.00010000
1667635200007,8,0.00010000
1667664000018,8,0.00010000
1667692800009,8,-0.00001121
1667721600000,8,0.00010000
1667750400010,8,0.00010000
1667779200012,8,-0.00004021
1667808000014,8,0.00010000
1667836800006,8,0.00008085
1667865600000,8,0.00010000
1667894400001,8,-0.00046128
1667923200005,8,0.00010000
1667952000000,8,-0.00219422
1667980800013,8,0.00007307
1668009600004,8,-0.00021487
1668038400006,8,-0.00230458
1668067200000,8,-0.00028533
1668096000015,8,0.00010000
1668124800000,8,-0.00104257
1668153600015,8,-0.00002819
1668182400027,8,0.00010000
1668211200007,8,0.00010000
1668240000016,8,0.00003227
1668268800000,8,0.00010000
1668297600004,8,0.00006339
1668326400000,8,0.00006074
1668355200017,8,0.00010000
1668384000000,8,0.00010000
1668412800000,8,0.00010000
1668441600000,8,0.00005113
1668470400014,8,0.00010000
1668499200009,8,0.00010000
1668528000010,8,0.00010000
1668556800011,8,0.00010000
1668585600004,8,0.00010000
1668614400008,8,0.00008324
1668643200000,8,0.00006515
1668672000000,8,0.00002546
1668700800006,8,-0.00001814
1668729600004,8,0.00010000
1668758400016,8,0.00010000
1668787200000,8,0.00010000
1668816000000,8,0.00010000
1668844800004,8,0.00010000
1668873600024,8,0.00010000
1668902400015,8,0.00010000
1668931200004,8,0.00010000
1668960000000,8,0.00010000
1668988800006,8,0.00010000
1669017600015,8,0.00010000
1669046400000,8,0.00010000
1669075200000,8,0.00010000
1669104000000,8,0.00010000
1669132800000,8,0.00010000
1669161600000,8,0.00010000
1669190400011,8,0.00010000
1669219200014,8,0.00010000
1669248000007,8,0.00010000
1669276800014,8,-0.00001499
1669305600013,8,-0.00004233
1669334400004,8,-0.00002278
1669363200015,8,0.00010000
1669392000000,8,0.00001185
1669420800011,8,0.00010000
1669449600000,8,0.00010000
1669478400000,8,0.00006075
1669507200012,8,0.00010000
1669536000000,8,0.00010000
1669564800003,8,0.00010000
1669593600015,8,0.00010000
1669622400004,8,0.00010000
1669651200011,8,0.00006930
1669680000000,8,-0.00003927
1669708800015,8,0.00009532
1669737600000,8,-0.00004140
1669766400007,8,-0.00018610
1669795200000,8,0.00010000
1669824000015,8,0.00010000
1669852800001,8,-0.00007872
1669881600006,8,0.00010000
1669910400000,8,0.00010000
1669939200001,8,0.00010000
1669968000016,8,0.00010000
1669996800017,8,0.00008916
1670025600006,8,0.00004225
1670054400000,8,0.00004182
1670083200011,8,0.00010000
1670112000006,8,0.00008534
1670140800000,8,0.00000283
1670169600006,8,0.00010000
1670198400002,8,0.00006462
1670227200011,8,-0.00013192
1670256000008,8,0.00010000
1670284800014,8,0.00010000
1670313600027,8,0.00010000
1670342400009,8,0.00010000
1670371200000,8,0.00010000
1670400000000,8,0.00010000
1670428800000,8,0.00010000
1670457600006,8,0.00010000
1670486400000,8,0.00010000
1670515200014,8,-1.4E-7
1670544000017,8,0.00005138
1670572800005,8,0.00005882
1670601600000,8,0.00007145
1670630400009,8,0.00005482
1670659200010,8,0.00010000
1670688000001,8,0.00010000
1670716800011,8,0.00010000
1670745600007,8,0.00004398
1670774400011,8,0.00010000
1670803200000,8,0.00010000
1670832000004,8,-0.00004972
1670860800000,8,0.00007370
1670889600000,8,0.00010000
1670918400018,8,0.00005185
1670947200011,8,0.00010000
1670976000010,8,0.00010000
1671004800015,8,0.00010000
1671033600004,8,0.00010000
1671062400000,8,0.00010000
1671091200023,8,0.00010000
1671120000010,8,0.00010000
1671148800016,8,0.00010000
1671177600011,8,0.00010000
1671206400001,8,0.00010000
1671235200001,8,0.00004082
1671264000011,8,0.00010000
1671292800011,8,-0.00006679
1671321600008,8,0.00010000
1671350400001,8,0.00000502
1671379200012,8,-0.00011114
1671408000000,8,-0.00026098
1671436800000,8,0.00010000
1671465600000,8,0.00010000
1671494400005,8,0.00010000
1671523200016,8,0.00010000
1671552000000,8,0.00009349
1671580800007,8,0.00010000
1671609600012,8,0.00010000
1671638400017,8,-0.00001302
1671667200004,8,-0.00014358
1671696000000,8,0.00010000
1671724800001,8,0.00008077
1671753600018,8,0.00010000
1671782400000,8,-0.00000716
1671811200000,8,0.00010000
1671840000001,8,0.00010000
1671868800007,8,0.00010000
1671897600008,8,0.00010000
1671926400000,8,0.00010000
1671955200013,8,-0.00005762
1671984000000,8,0.00004647
1672012800001,8,0.00010000
1672041600000,8,0.00010000
1672070400005,8,0.00010000
1672099200005,8,-0.00009965
1672128000010,8,0.00010000
1672156800006,8,0.00010000
1672185600010,8,-0.00010274
1672214400010,8,0.00010000
1672243200010,8,0.00010000
1672272000011,8,0.00010000
1672300800000,8,0.00010000
1672329600008,8,0.00010000
1672358400000,8,0.00010000
1672387200000,8,0.00010000
