calc_time,funding_interval_hours,last_funding_rate
1602662400000,8,0.00010000
1602691200001,8,0.00010000
1602720000000,8,-0.00098385
1602748800000,8,0.00010000
1602777600000,8,0.00010000
1602806400002,8,0.00010000
1602835200003,8,-0.00081999
1602864000000,8,-0.00208600
1602892800006,8,-0.00158565
1602921600007,8,-0.00024404
1602950400009,8,0.00006118
1602979200006,8,-0.00023588
1603008000000,8,-0.00027379
1603036800000,8,0.00010000
1603065600000,8,0.00008368
1603094400000,8,-0.00132718
1603123200000,8,-0.00000316
1603152000015,8,0.00010000
1603180800000,8,-0.00099974
1603209600008,8,-0.00044853
1603238400009,8,0.00010000
1603267200004,8,0.00010000
1603296000000,8,0.00010000
1603324800000,8,0.00010000
1603353600000,8,0.00010000
1603382400004,8,0.00010000
1603411200007,8,0.00010000
1603440000000,8,0.00010000
1603468800000,8,0.00010000
1603497600000,8,0.00010000
1603526400000,8,0.00010000
1603555200008,8,0.00010000
1603584000005,8,0.00010000
1603612800014,8,0.00010000
1603641600000,8,0.00010000
1603670400004,8,0.00010000
1603699200000,8,0.00010000
1603728000000,8,-0.00740000
1603756800000,8,-0.00750000
1603785600000,8,-0.00530556
1603814400000,8,-0.00154622
1603843200000,8,-0.00019921
1603872000006,8,0.00010000
1603900800001,8,0.00010000
1603929600000,8,0.00010000
1603958400000,8,0.00010000
1603987200000,8,0.00010000
1604016000000,8,0.00010000
1604044800002,8,0.00010000
1604073600002,8,0.00010000
1604102400003,8,0.00010000
1604131200000,8,0.00010000
1604160000000,8,0.00010000
1604188800000,8,-0.00055576
1604217600000,8,0.00010000
1604246400000,8,-0.00223209
1604275200000,8,-0.00245572
1604304000010,8,0.00010000
1604332800000,8,0.00010000
1604361600000,8,-0.00085870
1604390400004,8,0.00010000
1604419200009,8,0.00010000
1604448000000,8,0.00010000
1604476800000,8,-0.00108817
1604505600005,8,-0.00162427
1604534400017,8,-0.00187564
1604563200001,8,-0.00340712
1604592000000,8,-0.00054713
1604620800000,8,0.00006379
1604649600001,8,0.00010000
1604678400001,8,0.00024446
1604707200001,8,0.00015670
1604736000000,8,0.00038149
1604764800006,8,0.00032850
1604793600000,8,0.00010000
1604822400000,8,0.00010000
1604851200000,8,0.00010000
1604880000007,8,0.00010000
1604908800001,8,0.00010000
1604937600002,8,0.00010000
1604966400003,8,0.00010000
1604995200011,8,0.00014019
1605024000000,8,0.00010000
1605052800000,8,0.00021683
1605081600009,8,0.00098941
1605110400003,8,0.00020230
1605139200001,8,0.00022081
1605168000001,8,0.00010000
1605196800000,8,0.00010000
1605225600000,8,0.00010000
1605254400000,8,0.00010000
1605283200000,8,0.00026048
1605312000005,8,0.00014279
1605340800004,8,0.00010000
1605369600001,8,0.00010000
1605398400001,8,0.00010000
1605427200000,8,0.00010000
1605456000003,8,0.00014941
1605484800000,8,0.00010000
1605513600010,8,0.00010000
1605542400001,8,0.00027386
1605571200002,8,0.00010000
1605600000003,8,0.00016849
1605628800003,8,0.00010000
1605657600005,8,0.00062099
1605686400006,8,0.00022584
1605715200000,8,0.00010000
1605744000008,8,0.00010000
1605772800000,8,0.00011546
1605801600001,8,0.00018323
1605830400003,8,0.00014978
1605859200005,8,0.00080905
1605888000000,8,0.00141546
1605916800000,8,0.00048099
1605945600000,8,0.00066909
1605974400001,8,0.00261903
1606003200005,8,0.00111517
1606032000000,8,0.00093997
1606060800000,8,0.00064929
1606089600005,8,0.00142994
1606118400000,8,0.00110008
1606147200003,8,0.00144787
1606176000000,8,0.00099743
1606204800000,8,0.00203485
1606233600005,8,0.00094872
1606262400005,8,0.00085835
1606291200005,8,0.00064737
1606320000015,8,0.00242449
1606348800012,8,0.00072804
1606377600002,8,0.00010000
1606406400001,8,0.00010000
1606435200001,8,0.00010000
1606464000000,8,0.00010000
1606492800007,8,0.00010000
1606521600007,8,0.00010000
1606550400012,8,0.00010000
1606579200000,8,0.00010000
1606608000007,8,0.00010000
1606636800000,8,0.00010000
1606665600000,8,0.00010000
1606694400004,8,0.00010000
1606723200007,8,0.00057357
1606752000000,8,0.00010000
1606780800000,8,0.00029997
1606809600003,8,0.00010000
1606838400000,8,0.00010757
1606867200001,8,0.00010000
1606896000011,8,0.00010000
1606924800005,8,0.00010000
1606953600001,8,0.00011374
1606982400031,8,0.00032115
1607011200000,8,0.00067942
1607040000006,8,0.00100298
1607068800009,8,0.00034525
1607097600000,8,0.00025836
1607126400000,8,0.00010000
1607155200000,8,0.00010000
1607184000000,8,0.00010000
1607212800004,8,0.00021663
1607241600000,8,0.00022570
1607270400001,8,0.00010000
1607299200000,8,0.00010000
1607328000008,8,0.00010000
1607356800000,8,0.00010000
1607385600003,8,0.00010000
1607414400003,8,0.00036508
1607443200033,8,0.00010000
1607472000000,8,0.00010000
1607500800010,8,0.00010000
1607529600000,8,0.00010000
1607558400000,8,0.00010000
1607587200000,8,0.00010000
1607616000007,8,0.00010000
1607644800000,8,0.00010000
1607673600016,8,0.00010000
1607702400010,8,0.00010000
1607731200009,8,0.00010000
1607760000002,8,0.00010000
1607788800000,8,0.00010000
1607817600007,8,0.00010000
1607846400000,8,0.00012457
1607875200000,8,0.00010000
1607904000000,8,0.00025162
1607932800000,8,0.00010000
1607961600000,8,0.00010000
1607990400006,8,0.00010000
1608019200001,8,0.00010000
1608048000000,8,0.00010000
1608076800001,8,0.00020169
1608105600000,8,0.00010000
1608134400000,8,0.00097269
1608163200000,8,0.00045733
1608192000000,8,0.00038151
1608220800011,8,0.00203466
1608249600000,8,0.00049957
1608278400000,8,0.00070910
1608307200000,8,0.00085558
1608336000000,8,0.00083171
1608364800018,8,0.00035694
1608393600000,8,0.00152628
1608422400001,8,0.00168090
1608451200011,8,0.00056813
1608480000023,8,0.00084965
1608508800011,8,0.00019171
1608537600000,8,0.00026297
1608566400000,8,0.00010000
1608595200001,8,0.00010000
1608624000006,8,0.00010000
1608652800000,8,0.00010000
1608681600000,8,0.00010000
1608710400000,8,0.00010000
1608739200000,8,0.00010000
1608768000012,8,0.00010000
1608796800009,8,0.00010000
1608825600001,8,0.00010000
1608854400000,8,0.00010000
1608883200000,8,0.00010000
1608912000000,8,0.00010000
1608940800009,8,0.00010000
1608969600001,8,0.00010000
1608998400006,8,0.00010000
1609027200000,8,0.00010000
1609056000000,8,0.00010000
1609084800001,8,0.00010000
1609113600015,8,0.00012090
1609142400019,8,0.00024407
1609171200000,8,0.00021502
1609200000004,8,0.00043805
1609228800003,8,0.00010000
1609257600000,8,0.00012068
1609286400001,8,0.00010000
1609315200001,8,0.00028508
1609344000012,8,0.00011470
1609372800009,8,0.00058497
1609401600000,8,0.00010718
1609430400010,8,0.00046879
