calc_time,funding_interval_hours,last_funding_rate
1578556800000,8,0.00010000
1578585600000,8,0.00010000
1578614400000,8,0.00010000
1578643200000,8,-0.00016501
1578672000000,8,0.00010000
1578700800000,8,-0.00008340
1578729600000,8,0.00010000
1578758400000,8,0.00030815
1578787200000,8,0.00009409
1578816000000,8,0.00010000
1578844800000,8,0.00010000
1578873600001,8,0.00010000
1578902400000,8,0.00010000
1578931200000,8,0.00010000
1578960000000,8,0.00010000
1578988800000,8,0.00010000
1579017600001,8,0.00010000
1579046400000,8,0.00061688
1579075200000,8,0.00038757
1579104000000,8,0.00019672
1579132800000,8,0.00010000
1579161600000,8,0.00010000
1579190400000,8,0.00010000
1579219200000,8,0.00038011
1579248000000,8,0.00089497
1579276800000,8,0.00062640
1579305600001,8,0.00072004
1579334400001,8,0.00070400
1579363200000,8,0.00086863
1579392000000,8,0.00031874
1579420800000,8,0.00043069
1579449600000,8,0.00010000
1579478400000,8,0.00010000
1579507200000,8,0.00010000
1579536000000,8,0.00010000
1579564800000,8,0.00010000
1579593600000,8,0.00010000
1579622400000,8,0E-8
1579651200000,8,0E-8
1579680000001,8,0E-8
1579708800000,8,0.00005852
1579737600000,8,0E-8
1579766400000,8,0E-8
1579795200000,8,0E-8
1579824000000,8,0.00050623
1579852800000,8,0E-8
1579881600001,8,0.00021518
1579910400000,8,0E-8
1579939200000,8,0.00032998
1579968000001,8,0.00003385
1579996800000,8,0E-8
1580025600000,8,0E-8
1580054400000,8,0.00047684
1580083200000,8,0.00037236
1580112000001,8,0E-8
1580140800000,8,0E-8
1580169600000,8,0E-8
1580198400000,8,0E-8
1580227200000,8,0E-8
1580256000001,8,0.00047398
1580284800000,8,0.00031957
1580313600002,8,0.00018885
1580342400000,8,0.00064070
1580371200000,8,0.00038925
1580400000000,8,0.00020806
1580428800000,8,0.00034859
1580457600000,8,0.00043136
1580486400000,8,0.00035987
1580515200000,8,0.00004512
1580544000000,8,0E-8
1580572800000,8,0E-8
1580601600000,8,0E-8
1580630400000,8,0.00034305
1580659200000,8,0.00024822
1580688000000,8,0.00010603
1580716800000,8,0.00026918
1580745600000,8,0.00066319
1580774400000,8,0.00033326
