calc_time,funding_interval_hours,last_funding_rate
1615795200016,8,0.00010000
1615824000030,8,0.00011008
1615852800005,8,0.00048443
1615881600008,8,0.00058025
1615910400012,8,0.00046844
1615939200010,8,0.00078288
1615968000000,8,0.00078016
1615996800009,8,0.00123402
1616025600001,8,0.00108234
1616054400000,8,0.00167323
1616083200000,8,0.00221312
1616112000011,8,0.00019160
1616140800001,8,0.00124040
1616169600000,8,0.00108432
1616198400000,8,0.00168549
1616227200000,8,0.00185454
1616256000007,8,0.00286369
1616284800000,8,0.00099456
1616313600000,8,0.00057819
1616342400000,8,0.00055426
1616371200007,8,0.00052683
1616400000001,8,0.00071850
1616428800000,8,0.00093795
1616457600000,8,0.00027278
1616486400010,8,0.00010000
1616515200023,8,0.00010000
1616544000002,8,0.00010000
1616572800000,8,0.00060551
1616601600000,8,0.00057530
1616630400000,8,0.00010000
1616659200000,8,0.00010000
1616688000000,8,0.00010000
1616716800008,8,0.00010000
1616745600000,8,0.00010000
1616774400012,8,0.00036554
1616803200018,8,0.00010000
1616832000000,8,0.00023991
1616860800001,8,0.00010000
1616889600000,8,0.00083887
1616918400000,8,0.00051598
1616947200005,8,0.00121781
1616976000003,8,0.00097081
1617004800000,8,0.00106269
1617033600000,8,0.00121208
1617062400018,8,0.00108215
1617091200012,8,0.00200638
1617120000001,8,0.00170140
1617148800000,8,0.00152602
1617177600000,8,0.00137185
1617206400000,8,0.00073073
1617235200025,8,0.00117390
1617264000011,8,0.00192630
1617292800004,8,0.00240032
1617321600000,8,0.00112394
1617350400000,8,0.00311744
1617379200000,8,0.00260238
1617408000003,8,0.00199127
1617436800000,8,0.00272045
1617465600000,8,0.00287030
1617494400000,8,0.00010000
1617523200000,8,0.00010000
1617552000016,8,0.00010000
1617580800000,8,0.00010000
1617609600001,8,0.00090821
1617638400001,8,0.00173370
1617667200010,8,0.00214257
1617696000000,8,0.00252869
1617724800003,8,0.00144718
1617753600000,8,0.00119391
1617782400006,8,0.00087031
1617811200004,8,0.00010000
1617840000013,8,0.00060704
1617868800003,8,0.00114872
1617897600005,8,0.00100229
1617926400000,8,0.00088478
1617955200004,8,0.00140496
1617984000004,8,0.00099881
1618012800011,8,0.00090503
1618041600005,8,0.00180602
1618070400000,8,0.00172923
1618099200004,8,0.00122428
1618128000000,8,0.00125010
1618156800000,8,0.00226682
1618185600001,8,0.00132909
1618214400001,8,0.00232171
1618243200008,8,0.00177777
1618272000003,8,0.00143209
1618300800008,8,0.00172463
1618329600008,8,0.00272000
1618358400008,8,0.00292790
1618387200000,8,0.00384486
1618416000012,8,0.00112318
1618444800006,8,0.00086952
1618473600000,8,0.00163273
1618502400008,8,0.00271561
1618531200008,8,0.00235957
1618560000000,8,0.00165498
1618588800002,8,0.00115510
1618617600008,8,0.00157907
1618646400000,8,0.00223851
1618675200001,8,0.00143066
1618704000006,8,0.00182245
1618732800004,8,-0.00069838
1618761600000,8,0.00010000
1618790400000,8,0.00010000
1618819200000,8,0.00010000
1618848000009,8,0.00010000
1618876800004,8,0.00010000
1618905600000,8,0.00011265
1618934400001,8,0.00010000
1618963200013,8,0.00023917
1618992000001,8,0.00010000
1619020800002,8,0.00010000
1619049600000,8,0.00010000
1619078400000,8,0.00010000
1619107200001,8,0.00010000
1619136000002,8,0.00010000
1619164800009,8,0.00004688
1619193600001,8,0.00010000
1619222400019,8,0.00010000
1619251200001,8,0.00010000
1619280000011,8,0.00010000
1619308800000,8,0.00010000
1619337600010,8,0.00010000
1619366400000,8,0.00010000
1619395200003,8,0.00010000
1619424000002,8,0.00010000
1619452800004,8,0.00010000
1619481600000,8,0.00010000
1619510400000,8,0.00010000
1619539200009,8,0.00010000
1619568000000,8,0.00010000
1619596800000,8,0.00013913
1619625600001,8,0.00019825
1619654400004,8,0.00012144
1619683200013,8,0.00028708
1619712000003,8,0.00031357
1619740800004,8,0.00010000
1619769600019,8,0.00045713
1619798400003,8,0.00013683
1619827200002,8,0.00010000
1619856000006,8,0.00037197
1619884800000,8,0.00063359
1619913600010,8,0.00048492
1619942400011,8,0.00025882
1619971200007,8,0.00091478
1620000000003,8,0.00072016
1620028800000,8,0.00118925
1620057600043,8,0.00104624
1620086400004,8,0.00111817
1620115200003,8,0.00025116
1620144000011,8,0.00032117
1620172800001,8,0.00010000
1620201600007,8,0.00068195
1620230400001,8,0.00035808
1620259200003,8,0.00070710
1620288000001,8,0.00060759
1620316800000,8,0.00121249
1620345600000,8,0.00029689
1620374400000,8,0.00077660
1620403200001,8,0.00111941
1620432000006,8,0.00033798
1620460800000,8,0.00106136
1620489600000,8,0.00090020
1620518400005,8,0.00080222
1620547200016,8,0.00053908
1620576000000,8,0.00060140
1620604800004,8,0.00042531
1620633600000,8,0.00099307
1620662400013,8,0.00059427
1620691200000,8,0.00010000
1620720000000,8,0.00010000
1620748800002,8,0.00010000
1620777600004,8,0.00010000
1620806400007,8,0.00010000
1620835200012,8,0.00010000
1620864000016,8,0.00010000
1620892800000,8,0.00010000
1620921600008,8,0.00010000
1620950400007,8,0.00010000
1620979200001,8,0.00010000
1621008000004,8,0.00010000
1621036800022,8,0.00010000
1621065600014,8,0.00010000
1621094400002,8,0.00010000
1621123200000,8,0.00010000
1621152000003,8,0.00010000
1621180800002,8,0.00010000
1621209600005,8,0.00010000
1621238400001,8,0.00010000
1621267200000,8,0.00010000
1621296000019,8,0.00010000
1621324800001,8,0.00010000
1621353600006,8,0.00010000
1621382400000,8,0.00010000
1621411200003,8,0.00010000
1621440000018,8,-0.00750000
1621468800005,8,-0.00023158
1621497600000,8,-0.00067223
1621526400005,8,-0.00098193
1621555200000,8,-0.00117789
1621584000000,8,-0.00035086
1621612800001,8,-0.00049905
1621641600001,8,-0.00127686
1621670400002,8,-0.00048812
1621699200005,8,-0.00082349
1621728000006,8,-0.00066777
1621756800004,8,-0.00040429
1621785600002,8,-0.00016023
1621814400007,8,-0.00076588
1621843200005,8,-0.00034439
1621872000005,8,-0.00039492
1621900800000,8,-0.00053752
1621929600014,8,-0.00050968
1621958400000,8,-0.00077081
1621987200022,8,-0.00084688
1622016000018,8,-0.00001584
1622044800004,8,-0.00034008
1622073600000,8,0.00010000
1622102400017,8,-0.00002192
1622131200000,8,-0.00059555
1622160000005,8,-0.00105224
1622188800009,8,-0.00007158
1622217600000,8,-0.00017589
1622246400006,8,-0.00062701
1622275200000,8,-0.00016711
1622304000000,8,-0.00037289
1622332800003,8,-0.00070086
1622361600004,8,-0.00067806
1622390400018,8,-0.00028629
1622419200002,8,-0.00010007
1622448000000,8,-0.00068267
1622476800000,8,-0.00006576
1622505600001,8,-0.00003512
1622534400010,8,0.00000948
1622563200010,8,-0.00037801
1622592000008,8,-0.00008844
1622620800000,8,0.00010000
1622649600007,8,0.00010000
1622678400019,8,0.00010000
1622707200002,8,0.00010000
1622736000003,8,0.00010000
1622764800003,8,0.00003621
1622793600006,8,0.00004313
1622822400002,8,0.00008024
1622851200000,8,-0.00022189
1622880000004,8,0.00010000
1622908800020,8,-0.00045457
1622937600000,8,-0.00041414
1622966400004,8,-0.00023921
1622995200000,8,-0.00019835
1623024000007,8,-0.00081407
1623052800007,8,0.00010000
1623081600003,8,-0.00000666
1623110400000,8,-0.00050080
1623139200000,8,-0.00067255
1623168000002,8,-0.00033971
1623196800009,8,-0.00064187
1623225600002,8,-0.00049772
1623254400000,8,-0.00054581
1623283200007,8,-0.00026069
1623312000003,8,-0.00042019
1623340800000,8,-0.00053465
1623369600010,8,-0.00038749
1623398400007,8,-0.00067374
1623427200006,8,0.00010000
1623456000005,8,-0.00060183
1623484800000,8,-0.00066156
1623513600018,8,-0.00058795
1623542400002,8,-0.00043301
1623571200000,8,-0.00053616
1623600000003,8,-0.00007869
1623628800000,8,0.00003960
1623657600015,8,-0.00018805
1623686400000,8,0.00006632
1623715200000,8,0.00000556
1623744000000,8,-0.00006552
1623772800004,8,0.00010000
1623801600004,8,0.00008122
1623830400001,8,0.00001073
1623859200000,8,-0.00037281
1623888000004,8,-0.00049640
1623916800000,8,-0.00011378
1623945600002,8,-0.00050712
1623974400009,8,-0.00050977
1624003200014,8,-0.00006073
1624032000007,8,-0.00031450
1624060800003,8,-0.00057803
1624089600001,8,0.00002575
1624118400000,8,0.00010000
1624147200005,8,-0.00030863
1624176000000,8,0.00008870
1624204800002,8,-0.00037526
1624233600019,8,0.00010000
1624262400000,8,-0.00017375
1624291200024,8,-0.00050141
1624320000008,8,-0.00000495
1624348800009,8,-0.00035452
1624377600001,8,0.00006113
1624406400003,8,-0.00051729
1624435200000,8,-0.00082742
1624464000000,8,-0.00041668
1624492800009,8,-0.00048964
1624521600018,8,-0.00046431
1624550400001,8,-0.00036507
1624579200009,8,-0.00037894
1624608000004,8,-0.00067566
1624636800000,8,-0.00060708
1624665600007,8,-0.00056311
1624694400000,8,-0.00024279
1624723200002,8,-0.00042802
1624752000005,8,0.00010000
1624780800010,8,-0.00093100
1624809600001,8,-0.00078397
1624838400025,8,-0.00069752
1624867200017,8,0.00006797
1624896000007,8,0.00009965
1624924800008,8,-0.00025902
1624953600000,8,0.00009630
1624982400000,8,0.00009781
1625011200011,8,0.00010000
1625040000044,8,-0.00015169
1625068800005,8,-0.00018520
1625097600000,8,-0.00028813
1625126400004,8,-0.00023861
1625155200028,8,-0.00040701
1625184000002,8,-0.00084322
1625212800016,8,-0.00069348
1625241600007,8,-0.00067547
1625270400008,8,-0.00064138
1625299200000,8,-0.00005603
1625328000004,8,0.00010000
1625356800012,8,0.00010000
1625385600002,8,0.00010000
1625414400003,8,0.00007463
1625443200004,8,0.00010000
1625472000000,8,-0.00050048
1625500800009,8,-0.00084502
1625529600008,8,-0.00070594
1625558400019,8,-0.00018183
1625587200000,8,0.00005402
1625616000007,8,0.00010000
1625644800001,8,-0.00014954
1625673600008,8,0.00010000
1625702400002,8,-0.00032764
1625731200010,8,0.00010000
1625760000003,8,-0.00028528
1625788800000,8,-0.00006820
1625817600006,8,-0.00031053
1625846400000,8,-0.00052082
1625875200002,8,-0.00046772
1625904000000,8,-0.00015421
1625932800001,8,-0.00079803
1625961600001,8,-0.00037377
1625990400025,8,-0.00012261
1626019200006,8,0.00003457
1626048000000,8,0.00000726
1626076800021,8,0.00010000
1626105600000,8,-0.00012230
1626134400000,8,0.00010000
1626163200013,8,-0.00010064
1626192000005,8,0.00008267
1626220800000,8,0.00003952
1626249600000,8,0.00006326
1626278400005,8,-0.00034864
1626307200005,8,-0.00044978
1626336000001,8,-0.00020701
1626364800000,8,-0.00019600
1626393600000,8,-0.00014805
1626422400000,8,0.00001217
